start;measure
0.740136054;1
4.168707483;2
7.143764172;3
10.445351474;4
13.757641723;5
17.309750567;6
20.328344671;7
23.651700680;8
26.460952381;9
28.805079365;10
30.923174603;11
33.454829932;12
36.718730159;13
39.398095238;14
42.509931973;15
45.808253968;16
49.763265306;17
52.723809524;18
55.296507937;19
57.996190476;20
61.460317460;21
64.812698413;22
67.753650794;23
70.641269841;24
73.983492063;25
76.957460317;26
79.870476190;27
82.598095238;28
85.742222222;29
88.790204082;30
91.385034014;31
93.957369615;32
96.297505669;33
99.649886621;34
101.130158730;35
102.454421769;36
103.785941043;37
105.099319728;38
106.409070295;39
107.706961451;40
109.014058957;41
110.323968254;42
111.637188209;43
112.983219955;44
114.325623583;45
115.559183673;46
116.712925170;47
117.874285714;48
119.005895692;49
120.253968254;50
121.425850340;51
122.525170068;52
123.642630385;53
124.736507937;54
125.801360544;55
126.911564626;56
128.228571429;57
129.545578231;58
130.949659864;59
133.082993197;60
135.452154195;61
137.766893424;62
140.226757370;63
142.690249433;64
145.044897959;65
147.305215420;66
149.609070295;67
152.015238095;68
152.819954649;69
153.538321995;70
154.245804989;71
154.931519274;72
155.606349206;73
156.313832200;74
157.010430839;75
157.732426304;76
158.436281179;77
159.136507937;78
159.836734694;79
160.544217687;80
161.273469388;81
161.962811791;82
162.637482993;83
163.294331066;84
163.983673469;85
164.664716553;86
165.347845805;87
166.040113379;88
166.744671202;89
167.473922902;90
168.277551020;91
168.990476190;92
169.776326531;93
170.746485261;94
171.550929705;95
172.448072562;96
173.775963719;97
174.799092971;98
175.687981859;99
176.725623583;100
177.596371882;101
178.434467120;102
179.635374150;103
180.520634921;104
181.322448980;105
182.225850340;106
182.955102041;107
183.611791383;108
184.500680272;109
185.299591837;110
186.009977324;111
187.765986395;112
190.558911565;113
193.232108844;114
196.192653061;115
198.939863946;116
201.778503401;117
204.995918367;118
208.039183673;119
211.418639456;120
214.896326531;121
218.531700680;122
223.503673469;123
228.928435374;124
234.452063492;125
235.305215420;126
236.100498866;127
236.913197279;128
237.720090703;129
238.496643991;130
239.264943311;131
240.000000000;132
240.792380952;133
241.641360544;134
242.934421769;135
243.918367347;136
245.404444444;137
246.374603175;138
247.875034014;139
248.868571429;140
250.219682540;141
251.222494331;142
252.317460317;143
253.052517007;144
253.709931973;145
254.362993197;146
255.055238095;147
255.660408163;148
256.322176871;149
257.005714286;150
257.684897959;151
258.380226757;152
259.221768707;153
259.979319728;154
260.749931973;155
261.498775510;156
262.400000000;157
263.122721088;158
263.915102041;159
264.759727891;160
266.318367347;161
268.382040816;162
272.683537415;163
276.288435374;164
278.722176871;165
281.930884354;166
284.300317460;167
286.949138322;168
289.573424036;169
291.940136054;170
295.967346939;171
300.495238095;172
305.564444444;173
306.844444444;174
308.104126984;175
309.302857143;176
310.476190476;177
311.685079365;178
312.863696145;179
314.069569161;180
315.545396825;181
316.286984127;182
317.023492063;183
317.912380952;184
318.974671202;185
319.664761905;186
320.380952381;187
321.188571429;188
322.481632653;189
323.097687075;190
323.779047619;191
324.485079365;192
325.404580499;193
326.267936508;194
327.014603175;195
327.705396825;196
328.441904762;197
329.762539683;198
330.595555556;199
331.316825397;200
332.099047619;201
332.881269841;202
333.631564626;203
334.354285714;204
335.081360544;205
335.725714286;206
336.357006803;207
337.086984127;208
337.732063492;209
340.200634921;210
343.453605442;211
345.369251701;212
349.879727891;213
353.484625850;214
356.139682540;215
358.582857143;216
361.178412698;217
363.911836735;218
366.425396825;218.999
