Filename,Orig_filename
001,001_Belcea_1
002,002_Tokyo_1
003,003_Avalon_1
004,004_Takacs_1
005,005_Schoenberg_1
006,006_Doric_1
007,007_Emerson_1
008,008_Hagen_1
009,009_Prazak_1
010,010_Janacek_1
011,011_Belcea_1
012,012_AlbanBerg_1
013,013_Jerusalem_1
014,014_Panocha_1
015,015_PavelHass_1
016,016_Wallinger_1
017,017_Excelsior_1
019,019_Lindsay_1
020,020_Artemis_1
021,021_NewHelsinki_1
022,022_Vlach_1
023,023_Lyris_1
024,024_Schumann_1
026,026_Smetana_1
027,027_Dissonances_1
028,028_Taurus_1
029,029_Acies_1
030,030_Austrian_1
031,031_Voce_1
032,032_Heine_1
033,033_Guarneri_1
034,034_Melos_1
035,035_Diotima_1
036,036_Brodsky_1
037,037_Janacek_1
038,038_Mandelring_1
040,040_Zaide_1
041,041_Hermes_1
042,042_Medici_1
043,043_Juilliard_1
044,044_Petersen_1
045,045_Janacek_1
046,046_Gabrieli_1
047,047_Merel_1
048,048_Wihan_1
050,050_NewZealand_1
051,051_Arianna_1
052,052_Martinu_1
053,053_Smetana_1
054,054_Kubin_1
055,055_Mandelring_1
056,056_Smetana_1
057,057_Penny_1
058,058_Vanbrugh_1
059,059_Amati_1
060,060_Alkyona_1
061,061_Koeckert_1
062,062_Petersen_1
063,063_Janacek_1
064,064_Zagrebacki_1
065,065_Amphion_1
066,066_Smetana_1
067,067_Talich_1
068,068_Vaghy_1
069,069_Pacifica_1
070,070_Arcadia_1
071,071_Janacek_1
