Filename,Orig_filename
001,001_Brodsky_1
002,002_Duke_1
003,003_Skampa_1
004,004_Prague_1
005,005_AlbanBerg_1
006,006_Panocha_1
007,007_PavelHass_1
008,008_Emerson_1
009,009_Escher_1
010,010_Talich_1
011,011_Prazak_1
012,012_Modigliani_1
014,014_Guarneri_1
015,015_Tokyo_1
016,016_Panocha_1
017,017_Endellion_1
024,024_Vlach_1
027,027_Albion_1
028,028_Alexander_1
029,029_Varese_1
031,031_Sacconi_1
032,032_Lipkind_1
033,033_Cypress_1
035,035_Jupiter_1
038,038_Takacs_1
039,039_Jerusalem_1
040,040_Keller_1
041,041_Matangi_1
042,042_Melos_1
043,043_Tang_1
044,044_Jade_1
047,047_Miro_1
049,049_Serafin_1
052,052_Masin_1
053,053_Hagen_1
054,054_Cavani_1
056,056_Skampa_1
057,057_Stamic_1
058,058_Schidlof_1
059,059_Cleveland_1
060,060_NewYork_1
062,062_Kallaci_1
065,065_Lindsay_1
067,067_Bowman_1
069,069_NewRussian_1
070,070_Australian_1
072,072_Orion_1
074,074_Vogler_1
076,076_Panocha_1
077,077_Carmina_1
078,078_Borromeo_1
