Filename,Orig_filename
001,001_Janacek_1
002,002_Takacs_1
003,003_Koeckert_1
004,004_PavelHass_1
005,005_Travnicek_1
006,006_Prazak_1
007,007_Jerusalem_1
008,008_Dante_1
009,009_AlbanBerg_1
010,010_Skampa_1
011,011_MoyzesQuartet_1
012,012_Talich_1
013,013_EnergieNove_1
014,014_Hollywood_1
015,015_Vlach_1
016,016_Guarneri_1
017,017_Amadeus_1
018,018_Excelsior_1
019,019_Lindsay_1
020,020_Takacs_1
021,021_Tokyo_1
022,022_Talich_1
023,023_Talich_1
024,024_Smetana_1
025,025_Emerson_1
026,026_Wihan_1
027,027_Endellion_1
028,028_Juilliard_1
029,029_Panocha_1
030,030_Sevcik-Lhotsky_1
031,031_Medici_1
032,032_Talich_1
033,033_Sacconi_1
034,034_Prazak_1
035,035_Czech_1
036,036_Koeckert_1
037,037_Talich_1
038,038_Martinu_1
039,039_Janacek_1
040,040_Kocian_1
041,041_Stamitz_1
042,042_Wihan_1
043,043_Melos_1
044,044_Vlach_1
045,045_Seoul_1
046,046_PavelHaas_1
047,047_Zemlinsky_1
048,048_Armida_1
049,049_Haba_1
050,050_Guarneri_1
051,051_Helikon_1
052,052_Shoreline_1
053,053_VIVArdo_1
054,054_Smetana_1
055,055_Smetana_1
056,056_Avalon_1
057,057_KarpFamily_1
058,058_Dover_1
059,059_Buffa_1
062,062_Jasper_1
