Filename,Orig_filename
001,001_Belcea_2
002,002_Tokyo_2
003,003_Avalon_2
004,004_Takacs_2
005,005_Schoenberg_2
006,006_Doric_2
008,008_Hagen_2
009,009_Prazak_2
010,010_Janacek_2
011,011_Belcea_2
012,012_AlbanBerg_2
013,013_Jerusalem_2
014,014_Panocha_2
015,015_PavelHass_2
016,016_Wallinger_2
017,017_Excelsior_2
019,019_Lindsay_2
020,020_Artemis_2
021,021_NewHelsinki_2
022,022_Vlach_2
023,023_Lyris_2
024,024_Schumann_2
026,026_Smetana_2
027,027_Dissonances_2
028,028_Taurus_2
029,029_Acies_2
030,030_Austrian_2
031,031_Voce_2
032,032_Heine_2
033,033_Guarneri_2
034,034_Melos_2
036,036_Brodsky_2
037,037_Janacek_2
038,038_Mandelring_2
039,039_Talich_2
040,040_Zaide_2
041,041_Hermes_2
042,042_Medici_2
043,043_Juilliard_2
044,044_Petersen_2
045,045_Janacek_2
046,046_Gabrieli_2
047,047_Merel_2
048,048_Wihan_2
049,049_Skampa_2
050,050_NewZealand_2
051,051_Arianna_2
052,052_Martinu_2
053,053_Smetana_2
054,054_Kubin_2
055,055_Mandelring_2
057,057_Penny_2
058,058_Vanbrugh_2
059,059_Amati_2
060,060_Alkyona_2
061,061_Koeckert_2
062,062_Petersen_2
063,063_Janacek_2
064,064_Zagrebacki_2
065,065_Amphion_2
066,066_Smetana_2
067,067_Talich_2
068,068_Vaghy_2
069,069_Pacifica_2
070,070_Arcadia_2
071,071_Janacek_2
