1_mean,0_mean,1_std,0_std
0.9375393750000001,0.8773693571428579,0.03448869723314293,0.03124794258238415
1.2283674999999619,1.273061428571424,0.09429470910016878,0.1964783418425153
1.0209804999999932,0.900320571428592,0.12529146610433065,0.04734977328630829
1.040152250000002,0.9716512857142833,0.025570252112002416,0.04302047186993677
0.8830439999999982,0.8087477857142825,0.057507763451041825,0.05817287380555661
0.9699200000000019,0.8928565714285688,0.048697315854460965,0.042589173369119514
0.899182999999999,0.8377544285714288,0.052372293656639014,0.02537628901072703
0.8949150000000117,0.777411714285701,0.08581541653041415,0.0571135993268475
0.9793365000000023,0.8581630714285718,0.05249739901856461,0.08666591568019603
0.985322999999994,0.9078230000000157,0.04267819784655257,0.05188745216628549
