1_mean,0_mean,1_std,0_std
3.5097078461538453,4.142485916666666,0.22039429345374298,0.43925269237245057
2.072695384615383,2.099497749999999,0.15708481533953805,0.22445356443599082
8.129813000000004,7.396689000000019,2.0008360051776894,1.4578689303849572
3.618189538461537,4.058643333333336,0.2439209623985522,0.308082978526401
4.688495153846143,4.884649000000015,0.356125878062281,0.31362977595191205
2.689438307692311,2.521746000000005,0.24475000327387708,0.19011957959519749
3.1756683076923062,3.7541905833333638,0.2405551362846049,0.4646389205153879
3.3415442307692205,4.033605999999996,0.273775381167691,0.5458604550282278
4.287595999999998,4.809262666666668,0.20199009876723936,0.503114542052045
3.8809803076923073,4.583790583333332,0.448890369803769,0.5113404987144414
