1_mean,0_mean,1_std,0_std
2.821348636363636,2.604903909090908,0.41316034780622546,0.29707289774442686
2.2787380606060577,2.2169143636363646,0.25766657512774016,0.23271424586467443
2.086868757575757,2.001914424242424,0.33767517834294425,0.2345882157354444
1.9472946060606064,1.8531820606060612,0.33426595856686075,0.2779620562839838
1.8795765454545454,1.7069166060606078,0.39704306574028164,0.2505938486399555
2.788217787878789,2.504658363636362,0.56814433126956,0.3916140822948176
2.06946215151515,1.900626878787879,0.2978788801373512,0.2673331267738301
3.0973613636363626,2.8518779696969716,0.44408802440428485,0.37508628038721764
0.8476971818181831,0.8872821515151519,0.09790265193562714,0.10369517888839036
2.775311939393938,2.537278545454542,0.43091428522633224,0.42343023872925967
