start;measure
0.331269841;1
4.614965986;2
8.794557823;3
13.000272109;4
17.414965986;5
21.459591837;6
25.721904762;7
29.696870748;8
34.181224490;9
38.234557823;10
42.274829932;11
46.254149660;12
50.359727891;13
54.108299320;14
57.917823129;15
61.705578231;16
66.120272109;17
70.034285714;18
74.296598639;19
78.288979592;20
82.642721088;21
86.865850340;22
91.049795918;23
95.046530612;24
98.767755102;25
102.343401361;26
106.165986395;27
110.080000000;28
114.958367347;29
119.053061224;30
123.358911565;31
127.381768707;32
131.678911565;33
135.601632653;34
139.607074830;35
143.251156463;36
146.660136054;37
149.986394558;38
153.691428571;39
158.249795918;40
163.036734694;41
168.087823129;42
175.403537415;43
178.830430839;44
183.476825397;45
187.794285714;46
192.320000000;47
196.566349206;48
201.066666667;49
205.192335601;50
209.255328798;51
213.246258503;52
217.277097506;53
220.974149660;54
224.504308390;55
227.758730159;56
230.828117914;57
233.817687075;58
236.593197279;59
239.125623583;60
241.589115646;61
244.114285714;62
246.780952381;63
249.219047619;64
251.635374150;65
254.207709751;66
256.827210884;67
259.512018141;68
263.256235828;69
267.936507937;70
272.645804989;71
277.195464853;72
281.904761905;73
286.479818594;74
291.156462585;75
295.883900227;76
301.021315193;77
305.473015873;78
310.149659864;79
314.590476190;80
319.361451247;81
323.947392290;82
328.475283447;83
332.887074830;84
337.135600907;85
341.293424036;86
345.723356009;87
350.795464853;88
357.061224490;89
361.919274376;90
367.833106576;91
373.224489796;92
378.423582766;93
384.064852608;94
388.894331066;95
393.821315193;96
398.708390023;97
403.809523810;98
408.830839002;99
413.468321995;100
418.144217687;101
423.637188209;102
431.360294785;102.999
