start;measure
1.502040816;0.875
1.699591837;1
3.422040816;2
5.227392290;3
6.785306122;4
8.385306122;5
10.099591837;6
11.882448980;7
13.640000000;8
15.159206349;9
16.772607710;10
18.318367347;11
19.898775510;12
21.384489796;13
22.945306122;14
24.382040816;15
25.844897959;16
27.318276644;17
28.907755102;18
30.283628118;19
31.709387755;20
33.237551020;21
34.772244898;22
36.116462585;23
37.552471655;24
39.130702948;25
40.895419501;26
42.443537415;27
44.168231293;28
46.000158730;29
47.418412698;30
48.780362812;31
50.197551020;32
51.595102041;33
53.077551020;34
54.511020408;35
55.856326531;36
57.282539683;37
58.648163265;38
60.017959184;39
61.326802721;40
62.688798186;41
64.019591837;42
65.320997732;43
66.625306122;44
67.994557823;45
69.161723356;46
70.644897959;47
71.930612245;48
73.270566893;49
74.599909297;50
75.882811791;51
77.216507937;52
78.593741497;53
80.119183673;54
81.515918367;55
82.932970522;56
84.416326531;57
85.869750567;58
87.275464853;59
88.723900227;60
90.118820862;61
91.514920635;62
92.892154195;63
94.301315193;64
95.660408163;65
97.053605442;66
98.561814059;67
100.141859410;68
101.583673469;69
103.206893424;70
104.658458050;71
106.245328798;72
107.873696145;73
109.600612245;74
111.150000000;75
112.669024943;76
114.028480726;77
115.511020408;78
117.266213152;79
118.743673469;80
120.928435374;81
122.665215420;82
124.405578231;83
126.066122449;84
127.808435374;85
129.470158730;86
131.181133787;87
132.675102041;88
134.461950113;89
136.194716553;90
137.815170068;91
139.382131519;92
140.969795918;93
142.596643991;94
144.262108844;95
145.857732426;96
147.541700680;97
149.067755102;98
150.870204082;99
152.479637188;100
154.010702948;101
155.663673469;102
157.268752834;103
158.983673469;104
160.945306122;105
162.671473923;106
164.432653061;107
166.912290249;108
168.708934240;109
170.367346939;110
171.929795918;111
173.591020408;112
175.065306122;113
176.470204082;114
178.079637188;115
179.467755102;116
180.984807256;117
182.380408163;118
183.836734694;119
185.277505669;120
186.736326531;121
188.140408163;122
189.535124717;123
191.001904762;124
192.504489796;125
193.983492063;126
195.821247166;127
197.629501134;128
199.304126984;129
200.822857143;130
202.401995465;131
203.925532880;132
205.549342404;133
207.058911565;134
208.716643991;135
210.366893424;136
211.908775510;137
213.480566893;138
214.799274376;139
216.135328798;140
217.745306122;141
219.307074830;142
220.785215420;143
222.318072562;144
223.822811791;145
225.238594104;146
226.629818594;147
228.048979592;148
229.377936508;149
230.748571429;150
232.091043084;151
233.492947846;152
235.136099773;153
236.739478458;154
238.561632653;155
240.129637188;156
241.684716553;157
243.136916100;158
244.505306122;159
245.780657596;160
247.058503401;161
248.397460317;162
249.830521542;163
251.303764172;164
252.901587302;165
254.608253968;166
256.208979592;167
257.619591837;168
258.890884354;169
260.327868481;170
261.671836735;171
263.000816327;172
264.188367347;173
265.461224490;174
266.684081633;175
267.910204082;176
269.232653061;177
270.571882086;178
271.934693878;179
273.280544218;180
274.575510204;181
275.885873016;182
277.267709751;183
278.563764172;184
279.874036281;185
281.222857143;186
282.533945578;187
283.768979592;188
285.113469388;189
286.636870748;190
287.939591837;191
289.324081633;192
290.669387755;193
292.053560091;194
293.386757370;195
294.839546485;196
296.264489796;197
297.617414966;198
298.967074830;199
300.302925170;200
301.708480726;201
303.043922902;202
304.275736961;203
305.446893424;204
306.880725624;205
308.318911565;206
309.832108844;207
311.386213152;208
312.981473923;209
314.287891156;210
315.756553288;211
317.200544218;212
318.486349206;213
319.812789116;214
321.259682540;215
322.521383220;216
324.165079365;217
325.598480726;218
327.310634921;219
329.024761905;220
330.923537415;221
332.747823129;222
334.375555556;223
335.979682540;224
337.475918367;225
339.141950113;226
340.649795918;227
342.212789116;228
343.700317460;229
345.226417234;230
346.752925170;231
