1_mean,0_mean,1_std,0_std
56.565138444444464,51.51603678787878,3.9970065589978905,4.207884638945307
42.72238322222221,48.48132733333333,3.178604843290993,12.931916152637474
45.71017418518519,41.554609000000006,3.5261336097230114,3.5976507772503536
40.43434674074074,37.760878727272726,2.9678403517164402,2.480130128550808
47.0273198888889,43.65742303030302,3.3544962125986686,3.483927816459896
41.029749962962974,38.27930675757576,3.359459710936606,3.0209329130296725
42.63505848148147,40.398311121212124,3.0777328509259148,3.1321520008158363
34.008268962962966,32.291972666666666,2.3610669276911738,2.5674874228838354
23.33790411111111,23.892698757575765,1.376115362557513,1.9662336186623246
42.34957037037038,41.18052863636365,2.1058547012036226,3.6131914456962564
