,mov4
001_AlbanBerg_4,664.625488
002_Ragazze_4,634.94898
003_Prague_4,615.82
004_Chilingirian_4,610.9654879999999
005_Panocha_4,652.505488
006_PavelHass_4,625.6654880000001
007_Bennewitz_4,651.54898
008_Signum_4,617.94898
009_Stamic_4,675.345488
010_Martinu_4,643.765488
011_Emerson_4,621.34898
012_Cypress_4,636.245488
013_Wihan_4,673.48898
014_Artemis_4,633.56898
016_Weithaas_4,617.58898
018_Pacifica_4,668.345488
020_Wister_4,636.265488
021_Audubon_4,654.185488
022_Vlach_4,668.205488
023_Lindsay_4,627.985488
024_Cecilia_4,646.6489799999999
025_Vogler_4,690.02898
