CD,mov1,mov2,mov3,mov4
001_Belcea_1,390.812789,364.228708,323.007619,512.539138
002_Tokyo_1,354.612789,339.128844,331.707619,441.219138
003_Avalon_1,341.322948,335.000544,304.087619,428.559138
004_Takacs_1,361.722948,337.626531,317.627619,487.412109
005_Schoenberg_1,369.8327890000001,371.248708,345.207619,456.779138
006_Doric_1,405.272789,371.388708,347.527619,494.279138
007_Emerson_1,325.472789,368.608708,346.127619,440.619138
008_Hagen_1,397.592789,335.688844,388.247619,444.219138
009_Prazak_1,356.932789,407.588708,346.247619,456.779138
010_Janacek_1,373.292789,365.428708,314.927619,476.219138
011_Belcea_1,373.232789,331.268844,348.547619,496.719138
012_AlbanBerg_1,352.252789,358.328708,338.027619,444.619138
013_Jerusalem_1,350.712789,332.22884400000004,353.287619,487.239138
014_Panocha_1,345.702948,348.588708,367.227619,455.772109
015_PavelHass_1,372.895737,323.328844,311.667619,449.639138
016_Wallinger_1,354.232789,376.228708,314.00761900000003,439.879138
017_Excelsior_1,387.478685,371.648708,326.06761900000004,506.45913800000005
019_Lindsay_1,337.152789,376.328708,361.487619,457.45913800000005
020_Artemis_1,374.332789,383.448708,322.567619,451.2791380000001
021_NewHelsinki_1,385.572789,345.668708,317.707619,487.299138
022_Vlach_1,377.892789,344.368708,345.036598,471.119138
023_Lyris_1,370.512789,328.448708,303.327619,466.713197
024_Schumann_1,364.812789,354.248708,372.347619,476.259138
026_Smetana_1,342.432789,331.16870800000004,309.607619,514.187573
027_Dissonances_1,341.692789,332.908708,321.207619,453.799138
028_Taurus_1,355.392789,366.288708,331.727619,448.95913800000005
029_Acies_1,391.352789,399.528708,338.06897999999995,451.239138
030_Austrian_1,389.172789,348.308708,357.367619,505.239138
031_Voce_1,357.612789,363.428708,312.847619,511.379138
032_Heine_1,382.312789,324.748708,330.127619,470.159138
033_Guarneri_1,325.032789,360.628708,337.207619,460.319138
034_Melos_1,377.072789,347.528708,323.556598,437.779138
035_Diotima_1,335.672789,362.008708,304.707619,452.799138
036_Brodsky_1,340.572789,332.508708,324.587619,480.499138
037_Janacek_1,371.332789,353.70340100000004,350.167619,476.819138
038_Mandelring_1,352.932789,364.544082,346.247619,473.539138
040_Zaide_1,370.852789,355.728708,330.42898,448.779138
041_Hermes_1,374.222948,358.348708,377.047619,437.799138
042_Medici_1,382.112789,383.948708,328.32898,481.139138
043_Juilliard_1,402.172789,324.32870799999995,327.827619,489.699138
044_Petersen_1,319.292789,372.628844,327.967619,423.659138
045_Janacek_1,370.692789,371.188708,347.907619,507.859138
046_Gabrieli_1,346.832789,364.808708,363.727619,445.519138
047_Merel_1,374.692789,350.608708,345.967619,453.339138
048_Wihan_1,349.672789,326.528844,310.867619,460.819138
050_NewZealand_1,351.90294800000004,346.368708,344.44761900000003,512.759138
051_Arianna_1,371.612789,342.568844,333.587619,462.999138
052_Martinu_1,355.592789,352.368844,338.247619,488.932109
053_Smetana_1,342.31278899999995,323.488708,357.587619,498.552109
054_Kubin_1,351.192789,327.068708,327.367619,478.799138
055_Mandelring_1,349.53278900000004,325.648708,333.44898,423.2791380000001
056_Smetana_1,357.132789,380.808708,308.187619,465.039138
057_Penny_1,376.272789,339.488844,378.987619,448.239138
058_Vanbrugh_1,336.272789,371.188708,324.04761900000005,405.359138
059_Amati_1,388.032789,355.888708,322.147619,492.879138
060_Alkyona_1,341.052789,370.648708,353.487619,438.159138
061_Koeckert_1,373.952789,353.566122,348.727619,452.879138
062_Petersen_1,350.82,348.808844,322.807619,474.519138
063_Janacek_1,375.432789,368.248708,342.767619,475.839138
064_Zagrebacki_1,422.392789,370.768708,343.207619,496.059138
