,mov1
001_AlbanBerg_1,577.235782
002_Ragazze_1,544.225442
003_Prague_1,550.975782
004_Chilingirian_1,570.645442
005_Panocha_1,553.285442
006_PavelHass_1,549.445442
007_Bennewitz_1,576.925442
008_Signum_1,587.585442
009_Stamic_1,606.5012250000001
010_Martinu_1,606.965442
011_Emerson_1,575.925442
012_Cypress_1,565.5054419999999
013_Wihan_1,600.485442
014_Artemis_1,588.205442
015_Guarneri_1,597.125442
016_Weithaas_1,568.365442
017_Vlach_1,592.265442
018_Pacifica_1,606.7454419999999
019_Vlach_1,526.725442
020_Wister_1,573.265442
021_Audubon_1,566.425442
022_Vlach_1,621.5021770000001
023_Lindsay_1,565.0054419999999
024_Cecilia_1,618.725442
025_Vogler_1,618.4854419999999
