,mov1
001_Belcea_1,251.864127
002_Tokyo_1,233.924127
003_Takacs_1,248.183175
004_Schoenberg_1,246.64984099999998
005_Doric_1,271.864127
006_Emerson_1,230.72412699999998
007_Hagen_1,259.76412700000003
008_Prazak_1,244.544127
009_Belcea_1,253.464127
010_AlbanBerg_1,232.34412700000001
011_Jerusalem_1,262.049841
012_Panocha_1,238.164127
013_Wallinger_1,251.68412700000002
014_Excelsior_1,244.004127
016_Wihan_1,245.56412699999998
017_Lindsay_1,230.184127
018_NewHelsinki_1,258.20412699999997
020_Vlach_1,258.64412699999997
021_Navarra_1,256.364127
022_EnergieNove_1,259.204127
023_Hagen_1,251.984127
024_Acies_1,253.264127
025_Taurus_1,246.26412699999997
026_Austrian_1,293.544127
027_Calidore_1,243.78412699999998
028_Guarneri_1,241.40317499999998
029_PavelHaas_1,254.214286
030_Melos_1,238.844127
031_Diotima_1,255.764127
032_Brodsky_1,251.344127
033_Janacek_1,235.02412700000002
034_Martinu_1,257.044127
035_Casal_1,235.964127
036_Talich_1,242.22412699999998
037_Henschel_1,249.604127
038_Cecilia_1,239.364127
039_Gerhard_1,231.72412699999998
040_Zaide_1,260.724127
041_Medici_1,236.944127
042_Juilliard_1,261.28412699999996
043_Nostitz_1,238.94412699999998
044_Janacek_1,282.684127
045_Gabrieli_1,265.684127
046_Tokyo_1,237.484127
047_Skampa_1,230.23428600000003
048_Vlach_1,263.404127
049_Smetana_1,249.464127
050_NewZealand_1,236.66412699999998
051_Vanbrugh_1,237.244127
053_Janacek_1,259.304127
054_Arianna_1,235.54381
055_Janacek_1,277.06412700000004
056_Meccore_1,247.58412700000002
057_PavelHaas_1,256.74412700000005
058_Arete_1,248.704127
059_Smetana_1,221.304127
060_Kubin_1,232.964127
061_Endress_1,258.459048
062_Stamitz_1,232.68412700000002
063_Mandelring_1,239.444127
064_Smetana_1,229.184127
065_Sebastian_1,235.164127
066_Debussy_1,247.744127
067_Talich_1,254.304127
068_Arcadia_1,250.10412699999998
