,mov4
001_Brodsky_4,-0.15263206954795283
002_Duke_4,-0.8284305437747932
003_Skampa_4,0.36750495836820585
004_Prague_4,1.043458397994233
005_AlbanBerg_4,-1.2979459631346337
006_Panocha_4,-1.0625554833477564
007_PavelHass_4,0.42951642884969216
008_Emerson_4,-0.6044299259130878
009_Escher_4,-1.6371107404619607
010_Talich_4,-0.3131748942947045
011_Prazak_4,0.44217183098877433
012_Modigliani_4,-1.5396641439910486
013_Janacek_4,1.7709890555921042
014_Guarneri_4,-1.3662851346856648
015_Tokyo_4,0.6043159437681802
016_Panocha_4,-1.1524088385352242
017_Endellion_4,0.8268960560167851
020_Amadeus_4,0.6395961043584122
021_Concord_4,-0.9750524261685523
022_Griller_4,-1.800365428056083
023_Moyzes_4,1.0622865358036624
024_Vlach_4,0.6990764944120813
025_Stamic_4,0.9850885827552767
026_Amadeus_4,1.3685472675693806
027_Albion_4,-0.3867570091209233
028_Alexander_4,-0.5689947999236654
029_Varese_4,-0.47281374366666007
030_CzechPhil_4,-0.14630436847841533
031_Sacconi_4,1.1834168314997071
032_Lipkind_4,2.1772274642565517
033_Cypress_4,-0.2576719073023129
034_Excelsior_4,1.2306033842534154
035_Jupiter_4,-0.504452249014362
036_ProArte_4,1.251032810095499
037_Orlando_4,-0.4778759045222908
038_Takacs_4,-0.37916376783747546
039_Jerusalem_4,-1.1119115516901679
040_Keller_4,-0.7638879928654861
041_Matangi_4,0.35991171708475794
042_Melos_4,1.5330674953774097
043_Tang_4,-0.7510518083068504
044_Jade_4,1.2888182340931778
046_Guarneri_4,-0.7740123145767476
047_Miro_4,0.25360633911649116
048_Wihan_4,1.2090892006169822
049_Serafin_4,-0.05123388703612649
050_Bartok_4,-0.8081819003522667
051_Hungarian_4,-0.41839551446862167
052_Masin_4,2.393634840834806
053_Hagen_4,-0.8372893252721443
054_Cavani_4,0.3181488900257946
055_KumhoAsiana_4,0.9498342391854115
056_Skampa_4,-0.22856448238243168
057_Stamic_4,1.0698797770871067
058_Schidlof_4,0.5560704502404891
059_Cleveland_4,-1.4028050184694367
060_NewYork_4,-1.310601365273716
061_Smetana_4,1.443214140189949
062_Kallaci_4,-1.7079809924408054
063_Novus_4,-0.34863583730449366
064_Crondes_4,-0.8714589110476597
065_Lindsay_4,0.017105284514900898
066_Kontras_4,0.6269407022193336
067_Bowman_4,1.1572020518467536
068_Smetana_4,0.4322282916970664
069_NewRussian_4,-0.6297407301912449
070_Australian_4,0.9964784446804485
071_Koeckert_4,-1.7849981630696339
072_Orion_4,-0.21590908024335306
073_Montclaire_4,0.356115096443034
074_Vogler_4,-0.07037195564393645
075_FineArts_4,0.7750089072465602
076_Panocha_4,-0.5019211685865448
077_Carmina_4,-1.3308500086962425
078_Borromeo_4,0.02580910061306173
