CD,mov1,mov2,mov3,mov4
001_Janacek_1,0.7396393760054698,1.211474976861237,2.5042415786816896,1.7626473373614535
002_Takacs_1,-1.013234593120176,-0.2505103291009565,-1.2795708893370883,-0.1483407166826748
003_Koeckert_1,-0.0969742804815399,2.309576914525695,2.2399627140757548,0.9876004633947908
004_PavelHass_1,0.1801701815745299,0.4669334750605448,0.7650224246361408,-0.0003812909631776
005_Travnicek_1,-0.5981654338259231,0.0630487435811392,-1.6736106567625495,-0.6752765898305385
006_Prazak_1,-0.2258335046618132,-0.8131101467527828,0.0730082588731776,-0.4641462423239061
007_Jerusalem_1,-1.3590176369004106,-0.2466392294382144,-0.6471515847421101,-1.965517602371084
008_Dante_1,0.0273522071697813,0.0798235087863535,-0.1571786272962162,-0.1330144579865761
009_AlbanBerg_1,-0.3518911415236108,1.385674461684626,-0.2126771860885312,-0.5083572979983733
010_Skampa_1,-0.4900272909208694,0.163697334812429,1.0386831818595197,-0.6608280559295465
011_MoyzesQuartet_1,0.634091368259818,-0.0672782783978373,-0.0307211836912058,0.186387862600383
012_Talich_1,-0.1209330307060115,-0.5421331703608461,0.0394448579603407,-0.4027921242450545
013_EnergieNove_1,0.7752537344472531,0.4424165105298463,-0.1275793959403137,1.247453198787574
014_Hollywood_1,-1.0741027693661347,-1.038924293746061,0.7048989859444595,0.2405238491405452
015_Vlach_1,1.2829202256901442,0.4720949412775366,1.2639809224921028,0.73677039242537
016_Guarneri_1,-1.4962948003487415,-1.4208727938032604,-0.9628327057647006,-1.6677696764001906
017_Amadeus_1,-0.6039932379345808,0.0127244479654924,-0.0264927022480172,-0.4442963805925133
018_Excelsior_1,0.5764608609631114,2.017954073265802,0.0971897671685756,0.2919530363537018
019_Lindsay_1,-1.171232837843729,-0.1885727344970836,0.6013016761987985,-1.0803942224394236
020_Takacs_1,-1.4431970295809906,-0.8647248089226721,-1.437609649076471,-0.7420443065634093
021_Tokyo_1,-0.9303502680192958,-0.6969771568705247,-1.7133846238970447,-0.8719706742597969
022_Talich_1,-0.0762531992063184,-0.7640762176913822,0.3203732902039664,-0.3721150652056312
023_Talich_1,-0.3488649247334325,-0.975696332587942,0.0786902475711372,-1.5721294335125695
024_Smetana_1,-0.1105724900684035,-0.6479432278091278,-0.4923051483532636,0.7710565172341394
025_Emerson_1,-1.9510690804254696,-0.8363367447292315,1.0471400984970929,0.7169205306939772
026_Wihan_1,1.2032735695385175,0.4772564074945211,0.9442034990938476,0.5319559100150895
027_Endellion_1,-0.6052883055142809,-0.8789188410193906,0.90456166477808,0.0618750935580066
028_Juilliard_1,0.9753416755110969,-1.295707238041272,-1.1583990359738623,-0.6391859321370987
029_Panocha_1,-0.5800344877101056,-0.7911739153305766,-0.5979957249901706,1.232114669267857
030_Sevcik-Lhotsky_1,-0.4045528306605854,-0.4801955757569768,-0.2117522101086601,-0.4479054463618567
031_Medici_1,-0.9970462483739104,0.2269252959705444,-1.5389605621574158,2.335586528244842
032_Talich_1,-0.2504397886761385,-0.258252528426437,0.3154840984183619,-0.3215881444348125
033_Sacconi_1,1.6034494516662032,3.2425119332464982,-0.5654894328759271,2.015208271160529
