,mov3
001_Janacek_3,574.186168
002_Takacs_3,492.371882
003_Koeckert_3,568.4718819999999
004_PavelHass_3,536.580453
005_Travnicek_3,483.851882
006_Prazak_3,521.6175959999999
007_Jerusalem_3,506.046168
008_Dante_3,516.640453
009_AlbanBerg_3,515.440453
010_Skampa_3,542.497596
011_MoyzesQuartet_3,519.374739
012_Talich_3,520.891882
013_EnergieNove_3,517.280453
014_Hollywood_3,535.280453
015_Vlach_3,547.369025
016_Guarneri_3,499.220453
017_Amadeus_3,519.466168
018_Excelsior_3,522.140453
019_Lindsay_3,533.040453
021_Tokyo_3,488.954739
022_Talich_3,482.991882
023_Talich_3,526.9661679999999
024_Smetana_3,521.740453
025_Emerson_3,509.39428599999997
026_Wihan_3,542.680453
027_Endellion_3,540.4547389999999
028_Juilliard_3,539.597596
029_Panocha_3,494.991882
030_Sevcik-Lhotsky_3,507.10902500000003
031_Medici_3,515.460453
032_Talich_3,486.763311
033_Sacconi_3,526.860453
034_Prazak_3,507.811882
036_Koeckert_3,517.78
