,mov4
001_Belcea_4,335.268708
002_Tokyo_4,300.208708
003_Takacs_4,322.247755
004_Schoenberg_4,314.948708
005_Doric_4,318.128708
006_Emerson_4,297.788708
007_Hagen_4,316.108708
008_Prazak_4,296.50870799999996
009_Belcea_4,324.728708
010_AlbanBerg_4,303.148708
011_Jerusalem_4,309.928708
012_Panocha_4,305.328708
013_Wallinger_4,322.008708
014_Excelsior_4,321.608708
016_Wihan_4,310.88870799999995
017_Lindsay_4,323.54870800000003
018_NewHelsinki_4,313.348708
020_Vlach_4,314.548708
021_Navarra_4,315.688708
022_EnergieNove_4,320.038232
023_Hagen_4,295.22870800000004
024_Acies_4,319.068708
025_Taurus_4,337.98870800000003
026_Austrian_4,325.488708
027_Calidore_4,303.328708
028_Guarneri_4,303.22870800000004
029_PavelHaas_4,326.86870799999997
030_Melos_4,327.388708
031_Diotima_4,314.048708
032_Brodsky_4,309.628708
033_Janacek_4,298.72870800000004
034_Martinu_4,309.528708
035_Casal_4,293.808708
036_Talich_4,278.449524
037_Henschel_4,303.149524
038_Cecilia_4,292.42870800000003
039_Gerhard_4,302.768708
040_Zaide_4,335.488708
041_Medici_4,335.16870800000004
042_Juilliard_4,341.328708
043_Nostitz_4,309.108708
044_Janacek_4,295.18870799999996
045_Gabrieli_4,336.30870799999997
046_Yokyo_4,306.608708
047_Skampa_4,293.348708
048_Vlach_4,333.608708
049_Smetana_4,297.16870800000004
050_NewZealand_4,308.80870799999997
051_Vanbrugh_4,292.608708
052_DITTO_4,321.708708
053_Janacek_4,295.668708
054_Arianna_4,306.828708
055_Janacek_4,289.36870799999997
056_Meccore_4,339.648708
057_PavelHaas_4,333.94870799999995
058_Arete_4,310.30870799999997
059_Smetana_4,282.468708
060_Kubin_4,282.228708
061_Endress_4,316.568708
062_Stamitz_4,288.828708
063_Mandelring_4,343.60870800000004
064_Smetana_4,289.04870800000003
065_Sebastian_4,327.848708
066_Debussy_4,322.03619
067_Talich_4,290.928708
068_Arcadia_4,303.22870800000004
