,mov2
001_Belcea_2,2.431017645124837
002_Tokyo_2,-0.6189093041854451
003_Takacs_2,0.9310060211060052
004_Schoenberg_2,-0.5064426975464335
005_Doric_2,-0.39081925852639465
006_Emerson_2,-1.6626133386074793
007_Hagen_2,0.13886109049783846
008_Prazak_2,-0.7126899130956943
009_Belcea_2,1.3779068626990743
010_AlbanBerg_2,0.14354852721486727
011_Jerusalem_2,1.8185259140997645
012_Panocha_2,-0.42363131554559413
013_Wallinger_2,-0.35485036912616597
014_Excelsior_2,0.723483275902094
016_Wihan_2,2.1778960624052948
017_Lindsay_2,-1.2751823191391314
018_NewHelsinki_2,0.3888577154060312
020_Vlach_2,0.6669789606164013
021_Navarra_2,1.8404006187792337
022_EnergieNove_2,0.2951089810654639
023_Hagen_2,0.016987735855093878
024_Acies_2,0.67166639733343
025_Taurus_2,-1.618927678387898
026_Austrian_2,1.0373183358313345
027_Calidore_2,-0.3720057625189289
028_Guarneri_2,-1.4720546612543324
029_PavelHaas_2,0.784164878542117
030_Melos_2,0.6747913551447796
031_Diotima_2,0.27479675529166947
032_Brodsky_2,-1.3360232946275283
033_Janacek_2,-0.9564047478115082
034_Martinu_2,-0.3736001159942812
035_Casal_2,-0.49550534520670103
036_Talich_2,-0.4642557670931764
037_Henschel_2,0.7060409332583065
038_Cecilia_2,-0.44075483436868407
039_Gerhard_2,-1.3001819816299502
040_Zaide_2,0.48416892865228217
041_Medici_2,-0.7764964735470691
042_Juilliard_2,0.9388502902040632
043_Nostitz_2,-0.922062086456307
044_Janacek_2,-0.611128784226742
045_Gabrieli_2,-1.4267427729897213
046_Tokyo_2,0.668541439522076
047_Skampa_2,-1.1329967387225945
048_Vlach_2,-0.034574068032218574
049_Smetana_2,-0.054886293806008596
050_NewZealand_2,-0.4016928617267788
051_Vanbrugh_2,-0.17050973282604956
052_DITTO_2,0.4811077199802786
053_Janacek_2,-0.6220661365664744
054_Arianna_2,0.2607663197102627
055_Janacek_2,-1.0064359473628233
056_Meccore_2,1.2154728056481001
057_PavelHaas_2,1.13422390255294
058_Arete_2,1.2909500679135888
059_Smetana_2,-1.3264890483450922
060_Kubin_2,-1.2626824878937197
061_Endress_2,0.6467304839819618
062_Stamitz_2,-0.5844390664275978
063_Mandelring_2,-0.6423783623402645
064_Smetana_2,-1.4892419292167707
065_Sebastian_2,2.3169566850104797
066_Debussy_2,0.23104734593273538
067_Talich_2,0.39667010993441404
068_Arcadia_2,0.07483132993478962
