CD,mov1,mov2,mov3,mov4
001_Belcea_1,1.3521533950623432,0.5267077494915137,-0.677342824920132,1.610879457632008
002_Tokyo_1,-0.4504966601996749,-0.7785875967912851,-0.2309818744475308,-1.0192638385518356
003_Avalon_1,-1.1122903787928653,-0.9932760420378138,-1.6480496275570948,-1.486140088267026
004_Takacs_1,-0.0964323366010075,-0.8567140028769983,-0.9533683322238768,0.6842433544720687
005_Schoenberg_1,0.307413114416015,0.8917763941226254,0.4616471866306398,-0.4454412125195779
006_Doric_1,2.072217477910099,0.8990569653830772,0.5806767734233296,0.9374860674424824
007_Emerson_1,-1.9015801577227496,0.7544856217827205,0.5088485744967056,-1.0413906750312274
008_Hagen_1,1.6897768032025764,-0.9574816334766164,2.669851245060598,-0.9086296561548688
009_Prazak_1,-0.334967706381778,2.781604677013601,0.5150052772618452,-0.4454412125195779
010_Janacek_1,0.4797106058858063,0.5891126460096521,-1.0918941444395105,0.2714682894127541
011_Belcea_1,0.4767227881146537,-1.1873396689850957,0.6330087469270156,1.027468535792016
012_AlbanBerg_1,-0.5680174925316747,0.2198836749439985,0.093271137849805,-0.8938784318352763
013_Jerusalem_1,-0.6447048153245903,-1.1374157517705827,0.8761985061500182,0.6778645194176042
014_Panocha_1,-0.8941796814987316,-0.2866360684615629,1.5914021440336994,-0.4825784892079219
015_PavelHass_1,0.4599386221912801,-1.6002520676134482,-1.259151236225794,-0.7087505666243538
016_Wallinger_1,-0.4694195060836407,1.150756714672903,-1.139095532305576,-1.068680440022479
017_Excelsior_1,1.1861251420278334,0.9125780262953402,-0.5203469044090769,1.386660847974162
019_Lindsay_1,-1.3199516316050592,1.1559571227160823,1.296906528434536,-0.4203641311762635
020_Artemis_1,0.531499447252451,1.5262261753903736,-0.6999174017256425,-0.6482705469140113
021_NewHelsinki_1,1.091217309715023,-0.4384879833223684,-0.9492638637137848,0.6800772030655456
022_Vlach_1,0.7087766350075004,-0.5060932878836832,0.4528728077673326,0.083390179337913
023_Lyris_1,0.341275049155741,-1.3339982483576605,-1.6870420784029736,-0.0790923807368416
024_Schumann_1,0.0574323608962524,0.007707026782324,1.854088128679643,0.2729434118447122
026_Smetana_1,-1.0570236677436364,-1.1925471495832107,-1.3648413003606854,1.6716705437851906
027_Dissonances_1,-1.093873420254518,-1.102060049631912,-0.769693366397222,-0.5553378337005616
028_Taurus_1,-0.4116550291746936,0.6338361551809857,-0.2299557573200085,-0.7338276479676639
029_Acies_1,1.379043755002717,2.362451788733434,0.0953931993753762,-0.6497456693459717
030_Austrian_1,1.2704863759841751,-0.3011972109824605,1.085526400164753,1.341669613799393
031_Voce_1,-0.3011057716420519,0.4851044851460871,-1.1986103257019238,1.5681009071051828
032_Heine_1,0.928879210815734,-1.526413345955255,-0.3120451275218669,0.047987240970885
033_Guarneri_1,-1.923490821377868,0.3394930599370987,0.0512003356213535,-0.3148928772911586
034_Melos_1,0.6679431254684164,-0.3417603937192524,-0.649176987192602,-1.1461243677003552
