,motif1,motif2,motif3,motif4,motif5,motif6,motif7,motif8,motif9,motif10,motif11,motif12,motif13
001_Brodsky_3,12.729479,9.732698,9.736190999999998,11.708934,19.458776,18.271836000000008,13.337324999999993,9.913922,10.089570000000009,16.310793000000004,20.30589599999999,19.770385000000005,44.928799
002_Duke_3,12.909479000000001,9.452697999999998,10.076190999999998,11.906485000000004,19.441224999999996,19.131836000000007,13.137325000000004,9.733921999999993,9.769570000000002,14.670792999999989,19.945896000000005,19.290385000000015,44.04149699999999
003_Skampa_3,14.449479,10.212698,10.696191000000002,14.768933999999994,21.69877600000001,21.091836,13.77732499999999,9.893922000000003,10.429570000000012,18.390792999999974,21.425896000000023,23.63038499999999,50.088798999999995
004_Prague_3,12.169478999999999,9.012698,9.296191,11.726484999999997,18.422449,18.110611999999996,12.197325000000006,9.253922000000003,9.418140999999991,15.142222000000004,18.505895999999993,19.350385000000017,42.68879899999999
005_AlbanBerg_3,13.349478999999999,9.812698000000001,10.216190999999998,13.506484999999998,21.061225000000007,20.46652999999999,14.482630999999998,9.733922000000007,10.189570000000003,18.370792999999992,21.56589600000001,20.470384999999993,47.048799
006_Panocha_3,13.809479,9.772698,9.916190999999998,14.608934000000005,19.418776,19.011836000000002,14.417324999999991,9.713921999999997,10.069570000000013,19.708570999999992,19.728117999999995,21.250384999999994,47.848799000000014
007_PavelHass_3,13.189478999999999,9.832698000000002,10.076191000000001,14.406484999999996,20.681225000000005,19.611835999999997,13.677324999999996,10.113922000000002,10.069569999999999,17.230793000000006,21.165896000000004,21.230384999999984,48.648799
008_Emerson_3,12.849478999999999,9.172698,9.496191000000003,12.928933999999998,19.419999999999995,19.03183700000001,13.376099999999994,9.453922000000006,9.169569999999993,14.050793000000013,19.965895999999987,19.95038500000001,44.928799
009_Escher_3,13.431383,9.952698000000002,10.036190999999995,13.426485000000007,19.701224999999994,19.471835999999996,13.997325000000004,9.633921999999998,10.069569999999999,16.550793,19.905896000000013,19.63038499999999,47.988799
010_Talich_3,13.009478999999999,9.612698,9.916190999999998,13.488934,19.938775999999997,19.631836000000007,13.457324999999997,9.593922000000006,9.769570000000002,16.530793000000003,20.445895999999976,21.050385000000006,46.02879900000002
