,motif1,motif2,motif3,motif4,motif5,motif6,motif7,motif8,motif9
002_Duke_2,-0.6353049750602161,-0.37896940632843257,-0.3374405895916295,-0.28599044848555377,-0.24794409922356492,-0.042136417023283156,-0.12238616057498612,-0.04637625802943661,-0.9125273237336152
003_Skampa_2,-0.34630894204886903,-0.46298318495328844,-0.7218228619196237,-0.7394222299436721,-0.40720724871924785,-0.9345938306346026,-0.431088428305406,-0.8704124592168679,-0.33285809839036584
004_Prague_2,0.2307468685716382,0.8700354358944038,0.05074744780891576,0.8266320740839681,0.15558418690296694,0.29639729154280986,0.5823718573633058,0.3689882244100845,1.629928859981216
005_AlbanBerg_2,-1.1032033142214426,-1.0342768796023003,-1.3573856290362059,-1.2576299801815312,-0.929764683734232,-1.0698906045528775,-0.9349876764870666,-0.9598537456641651,-0.8424277895060612
006_Panocha_2,1.2408756202039182,1.5757511763431864,1.2876210963890864,0.8952183939683929,1.6774320598616643,1.5154757173520708,1.760024032888972,1.1909962379496135,0.39509860320349455
007_PavelHass_2,-0.5940198274871668,-0.5750015564530964,-0.43639048147804527,-0.4345941415684634,-0.48978814105033147,-0.11114085622003736,-0.17064612025645765,0.06659149404061813,-0.0902058645257457
008_Emerson_2,0.7592155651850081,0.5563839956949489,0.41610089477413387,0.6132524122213203,0.31832487676106025,-0.05327718373159492,-0.055022474508664536,0.07510971179749666,0.5352976716586103
009_Escher_2,-0.048138431799068356,-0.32856113915352175,-0.08245432973048537,-0.32409395953245285,-0.1358700310599418,-0.2537500305599917,-0.28388190636470373,-0.36128965757085235,-0.5176442452045081
010_Talich_2,0.3830619984083372,0.5563839956949489,0.43512972013690737,0.769476807513614,0.4775880262567432,0.5743032398010326,0.7975198509689525,0.6713849547795508,-0.16300153468513404
011_Prazak_2,-0.12612148832594025,0.02429673107086946,0.25625876172685463,-0.0002141156337945814,0.29125279573262,0.31479847532860006,0.2086937632061435,0.41583842207295274,0.8938837505918756
012_Modigliani_2,0.5803132590351288,0.19232428832057533,0.33617982825049697,0.3693899415211523,0.34191941742708176,0.8043180371235378,0.39553281028472465,0.6225644933495019,0.9167000705285688
013_Janacek_2,0.9060072010002966,0.7972234944195323,1.1125559030515875,1.108598055831035,1.0084651912423277,0.9515275074099381,1.1542125772099108,0.743789805713079,0.829176488227975
014_Guarneri_2,0.2133341694969114,0.11951234684570378,0.17633769520321235,-0.1678695642401591,0.005697212936212405,0.14453554196576276,-0.0606842638140873,0.26676961132744526,0.6242701574089662
015_Tokyo_2,-0.6582411681563549,-0.4082185233107492,-0.47399086953012204,-0.4875502107038879,-0.2538427343900745,-0.7597825846695072,-0.4367502176108127,-0.5935703821180613,-0.10368654418489424
016_Panocha_2,0.19863619823704246,0.5619849142699381,0.7357851608687057,0.16744133297257535,0.7041572573880802,0.6348790167646954,0.7489516068598072,0.5223161440340434,0.017639572747419653
017_Endellion_2,-0.7499859405409088,-1.0006713681523571,-1.0262840677239757,-0.8765948697125163,-0.9297646837342405,-1.0376885329277235,-1.099179566344005,-1.113181665288124,0.006855029020105417
019_Sevcik-Lhotsky_2,0.892245485142613,1.13327860891895,1.405599813638273,1.2000464823436017,-0.2538427343900745,-0.46076334815024117,-0.034763176926584836,-0.461538006886323,0.45171745777190003
020_Amadeus_2,-0.20410454485281052,-0.4405795106533257,0.19156075549342955,0.19924614312586572,0.4130776027582378,1.16585322542188,0.559724700141663,1.169700693557393,1.2902157325707524
