,motif1,motif2,motif3,motif4,motif5,motif6,motif7,motif8
001_Belcea_3,1.996042830484653,2.5056185042138845,0.2851756591654832,0.42424343185612423,1.6682488398562403,1.9741053943953348,0.6285338718913448,1.1231269150649827
002_Tokyo_3,0.149492263701873,-0.07248181809973464,-0.5410368600076847,-0.470072374339866,0.454091637463362,0.47363796166112426,-0.7590476223387574,0.8229341527038476
003_Takacs_3,0.4156617147696602,0.17034526636667788,-1.9455981426020446,-1.1802643380837379,-0.045855445874902936,1.2854410103744651,0.7410404795316222,-0.45061089973733737
004_Schoenberg_3,-1.1647194009453326,0.8781603849177123,-0.12793060042111049,0.21381618333944155,0.14460058587299623,0.6743083781970084,1.7498497280394516,0.3862901347240152
005_Doric_3,2.0625851932516017,0.7128313061320692,-1.1193856234288964,-1.416994992665041,-1.1171706244568484,0.24560339741580722,0.8685479681906058,0.17706487610866734
006_Emerson_3,-0.865278768494071,-0.22231129574922315,0.7533627533635902,1.055525177406247,0.16900157459051593,-1.1272784685885797,-0.5752868298596379,-0.9964159222121328
007_Hagen_3,0.9313650262135011,0.516503025074115,-1.0092239542057915,-1.0487473077608043,-2.1646787990703107,1.5180362659046909,0.6735365149474579,1.828125069094924
008_Prazak_3,-1.4641600333965956,-1.8497694150453954,-0.04530934850379176,0.13490596514565517,0.35886362158941243,0.27752823641014573,-0.20776524490138804,-0.04125713288124566
009_Belcea_3,1.9544538537553133,1.33281535157823,-0.6787389465365362,-1.416994992665041,-0.45057451333918447,1.527157648474502,0.6622858541834297,1.3232554233057396
010_AlbanBerg_3,-0.366211047741968,-0.759630801802566,-0.12793060042109092,-0.10182468943562924,-0.4267675093707013,-0.7121417724145419,-1.4640890302178342,-0.8008357891586683
011_Jerusalem_3,2.1873521234396294,1.2759834807456656,-0.8439814503711737,-1.1539609320191548,-0.6886445530240669,0.5785338612139734,1.2435699936582008,1.7235124397872532
012_Panocha_3,-0.2830330942832829,-0.23781089688537776,0.2025544072481449,0.713580898566612,1.2403167531724784,-0.9767756561866723,-1.002811938892691,-0.03670875769395984
013_Wallinger_3,-1.1564016055994644,-0.2843097002938416,0.7809031706693761,1.2133456137937826,-0.26011848159128526,-0.36096854347674723,2.0086149256120915,-0.11857951106516913
014_Excelsior_3,-0.6573338848473599,-0.6459670601374334,1.8274390282886948,1.6078967047626023,0.1684075898414963,0.2957710015497774,0.19200317144971674,-0.16678614774393988
016_Wihan_3,0.01640753816797864,-0.42897264423127796,1.6071790328023243,1.5552293947994722,1.5730208239822907,0.42803104881205956,1.1048118442351942,0.3544515084129757
017_Lindsay_3,-1.6887405077350417,-0.873294543467695,-1.3397089618750666,-0.6804996228565674,-0.5214015404956313,-1.2823419722754021,-0.68779343749991,-0.709868285412868
018_NewHelsinki_3,0.6568777797998457,-0.23781089688538143,-1.477411048403918,-1.5222086169233917,-0.9029075887404492,2.430174522885972,0.2947642692251851,2.214736960014574
020_Vlach_3,0.9064116401758965,0.8058289129489914,1.386792351396354,1.1607388016645979,-0.45057451333918447,0.28664961897996316,-0.21526568541074376,0.3499031332256899
021_Navarra_3,1.0228607750180545,0.24267673833539513,1.7448177763713955,1.4763796744396498,-1.52188969192113,0.9297070901517649,0.42227175788416865,0.4999995144062575
022_EnergieNove_3,-1.5879650105528702,1.1003213345359182,-0.5134964427018986,0.18751277727483984,-0.5934165371501173,-0.42481822146544046,0.03224885139787293,-1.2238346815766368
023_Hagen_3,0.2835389422675159,-0.38764037453486627,-0.18301143503264328,-0.18073490762939692,1.787283859698673,-0.09644844895217324,0.29101404897050726,1.4460615533625665
024_Acies_3,-0.033499233907232105,-0.06731528438768616,0.34025649377703554,-0.3648587500815153,-0.5219955252446509,0.7062332171913501,-1.5428436555660268,-0.3687401463661216
025_Taurus_3,-1.2894863311333586,-1.3124499089920598,0.20255440724816448,0.713580898566612,1.0016527287385764,-0.912812188950426,-1.152820749079731,-2.065284091225269
026_Austrian_3,0.7982803006796069,0.2995086091679596,1.2215498475617166,1.5289864865688532,1.3349507842974084,1.57276456132357,2.147373075035103,0.04061362048997656
027_Calidore_3,0.765009119296134,0.061848058413597404,0.3127160764712496,0.5820638682436783,0.23982860174696274,0.06717798065661418,-0.5073236508052807,-0.20499863962368364
028_Guarneri_3,0.2742591938898991,-0.23264436317332562,-1.2570877099577673,-1.1276575259545718,-0.9261206079599297,-1.8980352957377613,-1.5240925542926536,0.24983887910531147
029_PavelHaas_3,0.149492263701873,-0.031149548403324786,-0.8715218676769401,-0.680499622856586,0.7159686811167276,0.9889960768555494,1.3710774823171843,0.3499031332256899
030_Melos_3,-0.00022805252375778296,0.08251419326180418,1.8274390282886948,1.4763796744396687,-0.3315394934967517,-0.7759914504032287,-0.8565533489603341,0.477257638469809
031_Diotima_3,-0.92350333591515,-1.2297853695992347,-2.0282193945193634,-2.31131079886105,-1.4742756839841635,1.1121347415480205,-0.47028066272870556,-0.23228889074742437
032_Brodsky_3,-0.23312632220807214,1.053822531127456,0.009771486107760597,-0.07552128337104623,-0.4267675093707013,0.40978828367243436,1.9336105205185767,0.0770006219882954
033_Janacek_3,-0.7321940429601766,-0.9817917514207699,1.1802708930829573,1.4368943164258121,1.1921087604864755,-1.6516441771052595,-1.1790722908624656,-1.696865701054788
034_Martinu_3,-0.09172380132831107,0.3305078114402707,-0.1003901831153441,0.10860255908109084,1.6682488398562234,1.171423728251805,0.538528585779124,0.2589356294798896
035_Casal_3,0.01640753816797864,0.06184805841359924,-0.37579435617304713,-0.759409841050335,-0.045855445874902936,0.05405436344973739,0.3660184540640273,0.8593211542021665
036_Talich_3,-0.5907915220804142,0.015349255005137227,-1.1193856234288964,-1.469601804794207,-1.355240664141731,-0.9675404843693017,-1.0440643616941263,-1.2829635590114041
037_Henschel_3,-0.1998551408246008,-0.05698221696358003,0.7809031706693565,0.687277492502029,-1.1171706244568484,-0.9857832495089269,-0.5752868298596325,-0.5597719042323004
038_Cecilia_3,0.22435242181468837,-0.9456260154364104,-0.6787389465365558,0.05599574695190616,0.23982860174696274,0.5922159350686932,0.8122946643704644,1.0639980376302156
