,motif1,motif2,motif3,motif4,motif5,motif6,motif7,motif8,motif9,motif10,motif11,motif12,motif13,motif14
001_AlbanBerg_1,0.6406715771810553,0.07799260896755764,0.0839918084022842,1.181423013475379,0.9732929259506372,0.12160825424544289,-0.9808044262054093,-0.4734149070734404,-0.7189411244879566,-0.8391249073803675,-0.5993464950459043,0.3067660178895301,-0.2249526069113806,-0.6081300037616835
002_Ragazze_1,-1.446287778183149,-1.118213050044015,-0.9400202065062522,-1.013364378172609,-1.4683219165254549,-1.9713627807631124,-1.1729575450243095,-1.2047362312666217,-1.2369195926393768,-0.5021143654684127,-0.7136254046465295,-2.0100790666138586,-1.79698298831125,-0.4547550796523173
003_Prague_1,-1.3887731502794107,-1.8239743888608426,-1.112054225010887,-0.41975640036034223,-0.83675873408402,-0.9759057990265639,-1.545254212735922,-0.7882893661010918,-1.0376971048888175,-1.150859658648901,-0.9707529512479603,0.16182058952418746,-0.5036006064087661,-1.266090268487347
004_Chilingirian_1,-0.6985976154345568,-0.6636548996196229,0.0020708472096059396,-0.19324809303724055,-0.0578308090729669,-0.309655063218629,-0.22420152085596257,-0.1686976886596318,-0.2208849051116008,-0.39258593934703273,-0.6964835682064341,0.371379227417507,-0.8476399657775683,-0.0775245278762356
005_Panocha_1,-0.846492372901311,-1.1660612764044769,-1.488890646497229,-1.0446069033206222,-1.4472698104440638,-1.179700141744276,-0.860708726943584,-0.767974884873493,-1.7947425583408692,-0.7127459541633815,-0.33650500296446334,0.11292638930559944,-0.010584827629632976,-1.3846722537979945
006_PavelHass_1,-0.9450888778791481,-1.142137163224246,-2.0131847981304,-1.4429490989578007,-2.3314582658620426,0.22334552542770775,-1.028842705910126,-1.1320464466760403,-1.108983393511958,-0.9655038605973296,-0.8964716600075524,-1.6039388924379663,0.08695812633785101,-0.6701760953655025
007_Bennewitz_1,0.049092547314035416,-0.8789719182417056,-0.03888963338673319,0.08012400200787297,-0.1635208024438857,0.3802703046179313,-0.8126704472388675,-0.4632576664596555,-0.08142916368620647,-0.13140276936526957,-0.3879305122847495,0.38060968592152244,0.5508545942988959,-0.3494814372961992
008_Signum_1,-0.17274958888609593,0.400968136900686,0.6656306328703335,0.5800044043761048,0.19479446390360705,0.2703749891317986,0.376276975453113,0.09539056729903697,0.346899184977438,-0.35888488515584444,0.0006177803574181195,0.19600051584155473,0.6121025312365548,0.3172516309591825
009_Stamic_1,1.1894363072177596,1.8962252106651434,0.6902069212281393,0.06623826170584932,1.13746145959444,0.38794864839202564,1.1088607409501845,1.3752028846370967,1.631884230968428,1.123961499256752,0.5263007645203164,0.48214472946548237,0.3671107834859487,0.9050294674475006
010_Martinu_1,0.4516949426401991,0.9392606834558929,1.4141207462331624,-0.0555259652744619,0.7632013281008685,1.5793617288956119,0.7846023529433055,1.5174042532302017,0.6258106678281984,0.8038014844404032,0.39488001847957965,0.4267619784415209,1.1531259741858544,1.694581785118337
011_Emerson_1,-0.18918233971573498,0.4847025330314879,-0.10442640234088393,-1.0914706910426508,0.06848182741534999,-0.69372901680203,-0.1506188859182565,0.2769309287893823,0.0978710752892601,0.13820566416428468,0.137752471878165,0.5006056464735132,-0.8680559447568266,-0.3056174196478083
012_Cypress_1,-1.2490947682274747,-0.44833788099754013,-0.6696810345703941,-0.2947862997682884,0.00489604620712371,-0.764113312181564,0.4002961153054883,0.0547616048438394,0.028143204576577086,-0.30833330386905006,-0.7305341121110435,-1.3800425833503829,-0.5240165853879664,-0.10384293846529007
013_Wihan_1,0.45991131805502006,-0.053590013523714675,0.616478056154722,0.017638951711857167,0.6789929037753638,1.4696263135860703,-0.9207565765745052,0.7556112071956657,0.17756007038946117,1.5957762579334838,0.7491446382415402,0.9252067376573838,2.0105970913130773,0.22075079213273258
014_Artemis_1,-0.26312971844911504,0.8794504005053091,0.5509412872005828,-0.5915902886744301,0.047000258369905984,0.6702853307931507,0.9046980522051138,0.2579064171197118,1.243400379854884,0.062378292234117005,0.4748752552000302,-0.20090919983034827,-0.38828043874512763,0.14179556036561905
015_Guarneri_1,0.8049990854774457,1.2622362113890127,0.968738189283264,0.6581107172461412,0.9947744949960813,0.2860514770331585,0.8806789123527385,0.9282842976301543,1.201929728748492,-0.627117894411197,0.13203852639812239,1.38672966285729,0.44877469940280773,-0.6916207749536081
016_Weithaas_1,-0.4438899775751473,-0.06555207011383228,0.3297546919803364,-1.4038959425227908,-0.9420192644909159,-1.0386117506320147,-0.3322876501915832,-0.21948389172861435,-0.36034064653696685,0.34883725285925343,0.023473562277539894,-0.7455062515661834,-1.3172074822996382,0.23829639919211887
017_Vlach_1,2.341461288048729,0.47274047644137884,0.3831986982480186,1.7865606546619603,1.3947645105423034,0.09009537826610962,0.6164683739767637,-0.9406479753079816,0.2472879411021725,-0.299908040321235,-0.256509766244029,0.14061776481759328,0.795846342049531,-0.6828479714238901
018_Pacifica_1,0.6488879525958734,0.6162851555227687,1.4930323409164292,2.4545559132569506,0.447419736880181,1.179611287410862,0.24417170626509999,0.5829381167611482,0.1974823191645256,-0.13982803291306067,0.7548585837215829,1.1310187324439194,1.135348760489729,0.6545172376156176
019_Vlach_1,-0.5178373563085245,-2.051253464073043,-2.1524504321579565,0.5643831418021008,-1.1529697882687904,-1.9748108242770221,-1.9840802949676013,-3.133022847593525,-2.1748237029773527,-2.229293392767142,-1.822130827772671,-2.2500709877177876,-1.5111592826021856,-2.472499891477849
