,motif1,motif2,motif3,motif4,motif5,motif6,motif7,motif8,motif9,motif10,motif11,motif12,motif13
001_Brodsky_3,-0.9652895648220242,-0.05799581406944286,-0.7506291090597649,-1.2475663947974214,-0.6520498100141499,-1.3090211874503426,-0.6873753577547278,0.015987888941432524,-0.14478689932429747,-0.5486497200718218,-0.347021036539772,-0.827175248700372,-0.7567442122150932
002_Duke_3,-0.7471939220357047,-0.5684452276267258,-0.2060253085110228,-1.1289808076181354,-0.6658484706949855,-0.6181846172962827,-0.8962552216903461,-0.3161699360994957,-0.6250673486363072,-1.3723351369274632,-0.6229846055064324,-1.1433923841328923,-1.073494562939336
003_Skampa_3,1.1187354662472349,0.817060323457325,0.7870757395484558,0.5892853385200856,1.1090464195490588,0.9562801239850588,-0.22783965709634393,-0.020918536063106313,0.36551107806970623,0.49602446715969895,0.5115322891343431,1.7157375487361899,1.085280047548867
004_Prague_3,-1.6438093423794577,-1.3705800203595915,-1.4554104980051925,-1.237030909577993,-1.4668139047884998,-1.4385321585974657,-1.8779905821878053,-1.201924136208585,-1.15251884245278,-1.1355612391330445,-1.7268388813731286,-1.1038652422038249,-1.5563826505622425
005_AlbanBerg_3,-0.21407123966915304,0.08784687551835503,0.018223315244342606,-0.16853545686388527,0.6078014810426962,0.45397285382603436,0.5087814494685814,-0.3161699360994695,0.005300741085693579,0.48597952305171255,0.6188514548435938,-0.3660252595279442,5.645264917160806e-05
006_Panocha_3,0.3432842918958822,0.014925530724456086,-0.4623094499457253,0.4932408034446665,-0.683497956970635,-0.7145804177828995,0.44057590749767306,-0.3530763611040345,-0.1748044274062914,1.1578747849970155,-0.7899257002909505,0.147827585549913,0.2856416092017278
007_PavelHass_3,-0.4079340332569912,0.12430754791530613,-0.2060253085110171,0.37171505293538143,0.3090440849560796,-0.23260141534983875,-0.33227958906415306,0.38505213898689955,-0.17480442740631275,-0.08658229110402622,0.3122252671028431,0.13465187157355096,0.5712267657542739
008_Emerson_3,-0.8198924696311467,-1.0788946411840021,-1.1350553212118102,-0.5152268148473037,-0.6825356436737716,-0.698513647736787,-0.6468787741342064,-0.8328598861631181,-1.5255931910963174,-1.683728404275313,-0.6076532961194091,-0.7085938229131699,-0.7567442122150932
009_Escher_3,-0.11483287563153692,0.34307158229699647,-0.2700963438697027,-0.21655772440159266,-0.46143551547782974,-0.3450631825842211,0.0019281932328628468,-0.500702061122216,-0.17480442740631275,-0.4281103907758779,-0.6536472242805009,-0.9194052465348688,0.3356190115984196
010_Talich_3,-0.6260296760433086,-0.2767598484511332,-0.4623094499457253,-0.17907094208331367,-0.2746720465363235,-0.2165354486020617,-0.562047439393345,-0.5745149111312937,-0.6250673486363072,-0.4381553348838715,-0.23970187083052125,0.016070445786367543,-0.3640646219553259
