,motif1,motif2,motif3,motif4,motif5,motif6,motif7,motif8,motif9,motif10,motif11,motif12
001_AlbanBerg_4,1.032146993742104,-0.42834305535142275,-0.7605536329693854,-0.21812443545568852,-0.8193992015429106,0.3825794579905589,1.1700791744246506,-0.0745755516797441,-0.6120866576906917,2.6364329912216538,-0.5194528784804254,-0.5051262130122867
002_Ragazze_4,0.4480315536259232,-1.4338332051341762,-1.480553891683124,-1.435828909719882,-1.2975126313448222,0.7040145934678563,0.3043208697833429,-1.1277208159497725,-1.378313386746459,0.6634584291667941,-1.3619180222307292,-0.43199167956078616
003_Prague_4,-0.7541525273352189,0.3043396894515086,0.13162060065418668,-0.4444684121923053,0.4906096243642734,-1.6964903544583116,-2.7895905909890675,-0.2976726820934817,0.5914064000580038,-0.06618224635266476,-0.3088365925428869,-0.16321600045221624
004_Chilingirian_4,-1.437149403041256,-0.724533952186653,-0.3692491445379721,-0.6923085365742121,-0.8148778632109447,-1.4537042414914172,-0.980893977804333,-1.0115238239872164,-0.59124306206318,-0.3639279928650899,-0.5984339857069463,-0.954381204214472
005_Panocha_4,0.6118412240768449,0.25757270574068686,0.006403164356155334,0.2724976619124465,0.3877530344340975,1.4152753187793132,0.4150573971211882,-0.03356645768466838,-0.4299297856924693,-0.9201563105256628,0.9811881588248172,-0.14990133624784682
006_PavelHass_4,1.039652453914696,-0.973957865311056,-1.277075557698819,-0.895891495887901,-1.0601512699675018,-0.6017002355169233,-0.12909099234684795,-0.9516499996772243,-0.3673989988097861,-0.6125947701721682,0.24403115804335754,-0.3379615651231595
007_Bennewitz_4,0.48555885448889263,0.19521672745958196,0.08466406204244022,-0.34710264904228894,0.2690723537454484,0.669819366289418,0.01573476823624662,0.16136908890279628,0.2579088700170167,-0.1087173529972863,-0.2825095568007133,0.863534341580217
008_Signum_4,-1.5409153921114314,-1.5273671725558224,-0.33794478546347817,-0.35595408205591994,-0.435099685007243,-0.8860634703293946,0.24056347525549568,-0.8510381046643422,-1.2115646217259801,-0.8579896161988839,-0.9143584146134786,-0.4842306320261607
009_Stamic_4,0.6568739851124147,2.7907843234104024,2.5107518903170383,2.3968415851858214,1.6299441589753672,-0.5372721531093494,-0.35003133721298746,2.148454015407258,2.529860793421125,-0.5078929692007679,2.7977536250364428,2.2217471056795985
010_Martinu_4,-0.8066907485433755,0.12506625189334378,0.6794468844581364,1.0299276194674134,-0.09149102665248707,-0.7561216070513365,-1.0245174582707537,1.3528557088155577,0.2425007630392434,0.41806358314006914,1.6130370166375825,0.34114481692659054
011_Emerson_4,-0.6852929324357395,0.10168276003793014,0.42901201186205146,0.015806104516921327,-0.3718033219732946,-1.3511185599561117,-0.36680959893084597,-0.3857080902297647,-0.05474506439636989,-1.1524634314309556,-0.12454734234752199,-1.1110980616105361
012_Cypress_4,-0.28130853646181114,-0.02302919652426858,-0.4162056831497519,-0.6657542375332813,0.49852166974351,0.30393043548016085,-0.12184697785016095,-0.4863199852426468,-0.4090861900648984,-1.1720950191131037,-0.1508743780896956,1.2709981708100315
013_Wihan_4,1.1760611903675222,1.738527189916827,0.9611861161287376,1.2461552934127487,2.903783465033594,0.0919200269738643,-0.49096873564297244,1.601376836274715,1.5710553945533055,0.22829156887940705,1.0601692660514876,1.3754760757407212
014_Artemis_4,0.17783498741254736,-1.122053313728674,-0.4162056831497408,-0.7719714336969539,-0.957294680037337,-0.13034894968596814,0.6331747994533015,-0.18448430020400047,-1.2324082173535216,-0.4489982061543609,-1.7041694868792856,0.36204039791271664
016_Weithaas_4,0.5681189163874238,-0.5842330010541766,-1.6214235075184413,-1.1740792009287035,-1.1437930620919114,-0.5064964486487562,0.1398939049483731,-0.8824793218558756,-0.9405978785677059,-1.3945863461773367,-0.7827232359023112,-1.5185618908403506
018_Pacifica_4,0.7019067461479738,0.8577489966962779,-0.6196840171340682,-0.07270822561947664,0.8545637118094795,1.8324570903562305,1.035853080681811,-0.10273713550603487,0.42465763503752507,0.6143794599614565,-0.5984339857070959,-0.8185599278044745
020_Wister_4,-2.1501681194376623,0.24198371117040648,1.0864035524267912,1.4054810876582573,0.22951212684922082,-1.2656304920100232,-1.3198148645049954,0.4946459911329761,0.8727949410300784,0.7812479552596172,-0.5964041712512594,-0.014885584484910057
021_Audubon_4,0.026415330614534143,0.2653672030258229,0.6324903458463678,0.7327721786216856,0.2216000814699843,0.009851481745611224,-0.3768765559615497,0.5072224780095931,0.747733367264712,0.8237830619042573,0.5599555869495905,0.06950226410665492
022_Vlach_4,-1.0693818545841565,-0.17891914222702252,1.0237948342777698,0.7327721786216856,0.14247962767754038,1.4802462504183447,1.3982635337874676,1.2618116906062178,-0.5654131572716065,0.7518005737364277,-0.09822030660534838,-0.10811017427553533
023_Lindsay_4,0.6868958258027892,-0.973957865311056,-0.9014232488046693,-0.9490000939697372,-1.3845451305164915,0.35522327624781114,0.6902208892940034,-0.7504262096514601,-0.8468016982436515,-1.0608493555809966,-0.3878176997694078,-2.040951415493977
024_Cecilia_4,-0.7303256934713039,-0.11656316394592316,-0.7762058125066268,-1.1968402183516313,-0.09852364818782597,0.4457048732187646,2.0391931314095264,-1.7754098900952155,-0.33613360536844444,-0.19378756628656657,0.0860689435901662,0.8008475986217202
025_Vogler_4,1.8440471457283694,1.208501374527466,1.4307515022464246,1.3877782216309702,0.846651666430243,1.4939243412897065,-0.13191393488087416,1.3875765593723337,1.7378041595737843,1.9427835597861283,1.0864963017936613,1.333684913768469
