,motif1,motif2,motif3,motif4,motif5,motif6,motif7,motif8,motif9,motif10,motif11,motif12,motif13,motif14
001_Belcea_2,0.5317566221624376,1.6953291012250373,1.8134549123737107,2.554572529001352,0.09797732922484255,0.3880236326964178,-0.17247814366406958,2.2949284501904437,0.11081744410746892,0.028408648795694807,0.06754612894673676,0.18488969567146699,1.4889755102679825,1.187572066351488
002_Tokyo_2,0.09132979157544147,0.14312971265549493,0.0987086274190269,0.2367305731575565,-0.11960759691753545,-1.0776091373366945,-0.7440497193257616,0.19563705382618102,-0.25221489682666626,-0.31568712269249755,-0.8985432565102995,-0.8662537334445075,-1.0065089278100732,-0.8916679178339506
003_Takacs_2,0.836454514850884,0.39290892460921245,0.18740240077875264,0.5610702325077124,2.2133863333868544,0.452874640220003,-0.35158054343795164,-0.7275440555296367,2.6520438306463077,2.155546145268189,1.433700939749014,1.9648209319338028,-0.17172005392941786,-0.07368555507276874
004_Schoenberg_2,-0.7237360533991185,-1.400148989772845,0.024797149619255013,0.363302147538108,-0.4943371919405231,-0.0010824124451211043,0.6759484139587406,-0.7815267163484969,-0.4186047197548044,0.2004565345398132,0.49040357038553467,0.5207257779850955,-0.310094666020849,-0.4887702046353846
005_Doric_2,-1.4702452118411269,-0.07988744087461193,0.5569597897776043,-0.18253776697800594,-0.25257616289343265,-1.0776091373367038,-0.8333577780228949,0.356708004953873,0.2620809194966776,-0.8161900630389511,-0.9082787359120987,-1.3263726747399567,-0.9001123044811644,0.5472524864466365
006_Emerson_2,-0.179435866638366,-0.7132561569001162,-0.4482363082992762,-0.6650918943038497,-0.09543149401283156,-1.4225107902199214,-1.8193915321071394,-0.7117293041931655,-0.14633046405420302,-0.06543565251927079,-0.21546585110916097,-0.429666826436781,-1.94177296931035,-1.052151429983578
007_Hagen_2,-1.368448508417216,-0.01744263788618176,-0.9360520617777665,-0.6492704475062815,-0.8690667869635023,-0.06593341996871553,1.6940602831061242,-0.24462354592285188,-0.5547418476051051,-0.8787529305822467,-1.6141481574067944,-1.235673423989518,0.2799229724394663,3.0437793878734545
008_Prazak_2,0.5656888566370735,-0.008521951744976091,-1.2834360074366913,-0.6255382773099277,-0.7240101695352531,-0.7792945027281897,-0.49447343735337623,0.11002489033437077,-0.3732256771380375,-0.5502978759798893,-0.3130483375950445,0.3091725546532398,0.1348366679000526,-0.12904010356523782
009_Belcea_2,-0.5201426465513,1.4812326338361346,0.6973915975971698,0.4107664879308127,0.32765030681958107,-0.14375462899701594,1.2653816013598504,0.3137557513198223,-0.11607776897636558,-0.018513501861787993,0.45787607489027093,0.4199749532909974,1.7501308584389381,1.2235450764585107
010_AlbanBerg_2,-1.2327195705186693,-0.650811353911686,-0.10085236264035406,-0.23000210737071627,0.26721004955780414,0.19347061012564373,1.6134401123590445,-0.18541815951367793,0.1713228342631438,-0.17492067072004916,1.2060084712820294,0.9237290767614401,1.0053544951365898,-0.7765542854915164
