,motif1,motif2,motif3,motif4,motif5,motif6,motif7,motif8,motif9,motif10,motif11
001_Takacs_1,-0.9186320688215207,-0.6333383503063639,-0.6567598518569824,-0.5735987731782927,0.2629917577345301,-0.164317651396577,-0.6767705908485456,-0.3546058979674449,-0.3776256153867188,-0.5038733854793525,-1.379346781895972
002_Prague_1,-0.21750355509147104,0.6821150698008747,-0.0031647558469032346,0.8986100972083376,0.2510490583353488,0.08727265782840977,0.26264177345925166,0.16686629422254937,0.09884181973981009,0.6560773605385462,1.0310281201667322
003_Panocha_1,0.22229408797581188,-0.20129081670435997,0.3946220595882392,0.13939924476680393,-0.1788881200355671,-0.21149083437625363,-0.3678064058453256,-0.36257989621094605,0.5732266088020938,0.597715058852102,-0.11117043969573155
004_Janacek_1,2.2547487945269356,-0.5537506467481068,-0.41352970816442736,-0.3953492686920209,-0.4416275068177925,0.6926618394010552,0.5301046374066376,-0.6184511579324284,-0.4970987889459173,0.7272436216862211,0.6163298370818923
008_Martinu_1,-0.14992490316568263,2.470582088465953,0.912466881643361,1.2683127731798807,0.5854446415127127,0.2445166010940321,1.5108018052137617,1.4790266107429992,0.8308062852965106,0.5539433325872948,0.8756555219501452
010_Guarneri_1,-0.7942014680745805,-0.9062104767918455,-0.8764515945470369,-1.1743656216320302,-1.2298456671644857,-2.161315730869946,-0.7944733554756842,-1.3158748634455926,-0.8057557744859232,-1.240697444270588,0.28775920437387437
011_Vogler_1,-0.7440538846799009,-0.3445844975758337,-0.5186431839879047,-1.0291252846432148,-0.42968480741861126,-0.5967384953770299,-0.8232383496768919,-0.7416931913409667,-0.49501614288167206,-0.8412928440931569,-1.7268283594366605
012_Emerson_1,-0.9439740632936902,0.26486573270833014,0.40246819325574495,-0.29632176619964246,0.23910635893615056,0.040099474848744314,0.12254217805821839,-0.7778891336721864,0.06431519400599568,-1.1093822654761043,-0.501701564942827
013_Cleveland_1,-0.21468777792789712,-1.5088030894472806,-1.4021425502696476,-1.365818793117292,-0.7999084887935699,-1.5480643521340267,-1.1256178536962738,-0.7582067289243786,-1.4686669885750145,-0.5476451117441596,-0.45970897083023876
014_Stamitz_1,1.2467005699672669,0.5877286012495466,1.1447371535224629,-0.2170997642057397,1.1586942126739397,0.4646581216659011,0.8867217893364977,1.2756417616823437,1.0724926654331526,-0.3798534943956664,0.15758216262484256
015_Moyzes_1,1.4071998682910112,0.3103444204559091,0.6300060696132996,1.0966651021930944,0.4182468499240223,0.4725203188291973,0.3963732054329537,0.9279192778044002,0.7548477086821465,1.4731495841486397,1.5262360744250107
016_Psophos_1,0.1767052478089578,-0.042115409587829666,-0.36645290615942644,0.15260291176579396,-0.8715646851887253,-0.6674982698465506,-0.17039333959843814,0.29808232587458877,-0.22570846215797075,0.8749359918626858,1.2283933124958957
017_Melos_1,-0.4990812714489205,-0.5764899906218922,-0.9627590648895553,-0.6528207751721861,-0.656596096003276,-0.7618446358059262,-1.323030919943152,-0.49379592786298543,-1.0978620767141545,-0.15369957536072903,0.019006602053288323
018_Delme_1,2.0520128387495724,2.163600946169801,2.9603077688612975,1.888885122132094,2.7470732327665073,2.8610058920819688,2.84943019547395,2.77150452251566,3.0888476082874665,2.421536986553217,2.1060385294490525
019_Novak_1,-0.8172640909328391,1.1858091595968259,0.28477618824322587,0.343951444190081,0.8244879212820332,0.5590044876252879,-0.253179464153581,0.527710381265667,0.18170572150094896,1.0573181846327953,0.04840141793209888
020_Smetana_1,0.5286773932557696,-0.34909655188398947,0.7555442082933244,1.5653952806569973,-0.3580286110234558,0.5354178961354328,0.5237364739793245,-0.029957753255528345,0.8239009601497556,0.06515905596338986,0.4431318025904615
021_FineArts_1,0.3597307634412995,-0.6674473661170501,-0.617529183519476,-0.20718942184798722,-1.1283464563756516,-0.21149083437625363,0.3421355575224754,-0.7154499850105812,-0.584785369789566,-0.6060074134306038,-0.5059008243540822
022_Prague_1,-2.0646533743963382,-0.6788170380539509,-0.7352211885320007,-0.46796943718642864,-1.146246771370132,-0.1879042428864209,-0.3550700789906903,-0.9484699748198413,-0.7367025230183141,-1.3720126230650718,-1.1987786272118295
023_VanDingstee_1,-0.20060889211002345,-0.12170311314608674,-0.31152997048691977,-0.12480877261624362,0.7887141623667203,0.4096227415229394,-0.46969702068242586,-0.04964015800333611,-0.059980658635693,0.2183600978902876,0.16598068144736497
024_Wihan_1,0.16825791631823597,1.0607427682909736,1.2341583620109287,1.4267567771676768,1.4333762988553633,1.0228741202588698,-0.16402517617112503,1.4134185949169795,0.8100903098562259,0.6633726482493646,-0.6738712008044471
025_Carmina_1,-0.5582125918839851,-1.2586703068355924,-1.5590652236196787,-2.1250296455588353,-1.6000693485394275,-1.445855789011377,-1.8834293015472308,-1.0140779906458797,-1.6274894669505175,-1.6346429806540186,-1.916851986537132
026_Smetana_1,-0.2935295385079813,-0.8834711329180682,-0.29583770315189717,-0.15108142921082698,0.13162206434341736,0.5668666847885506,0.9822442407462848,-0.6794771099331475,-0.3223830142126393,-0.919704784995197,-0.03138451088181037
