,motif1,motif2,motif3,motif4,motif5,motif6,motif7,motif8,motif9,motif10
001_AlbanBerg_2,0.3932256152104204,0.5522960630430147,1.242370312347962,-0.5337336136630936,1.2756160367183682,1.2432216511119594,-0.12497029029899924,-0.13880140531665605,0.7786722111494842,1.4607548117160778
002_Ragazze_2,-0.3146940104660186,-0.36373714745052965,-0.7466764966662879,-1.0826005428223606,-0.7818596450237667,-0.4227547847413688,-0.5156544600126813,0.5192674360701725,-0.7867224528587923,-0.5060286766967445
003_Prague_2,-0.46087741252578357,-0.49411335225902697,-0.6902931639691761,2.2022338003428605,1.111254651347019,-0.008913504497561092,0.47254667514543397,0.5702805245497757,-0.7089827629983467,-0.4383879747142953
004_Chilingirian_2,-1.4704323569687046,-0.8123082139526036,-1.034106745297972,-1.074664796518886,-1.124614875632874,-0.8153734352291024,-1.0825295297932818,-1.3835207642188672,-1.0694122341695456,-0.5970834678269662
005_Panocha_2,-0.19925494216709888,0.017753623328175178,-0.019206756749945125,-0.03920994481662964,0.9188283462428577,0.4951239522096522,-1.848576921388708,-0.2739860897875861,-0.118867844512152,-0.3733488381927073
006_PavelHass_2,-2.2183648310529454,-0.5114968462334961,-0.07712442088807434,-0.6098141781010118,-0.7858239526957076,-1.0435167051071106,-0.4850125643488704,-1.3733181465229423,-0.33441880276160313,0.19119086681468822
007_Bennewitz_2,-0.6486300089008392,-1.2773166777695788,-1.2878317424349799,0.036870619621288486,0.034787735397966,-0.772928175716924,0.1048439271796373,-0.0852376624130752,-0.4086248703556776,-0.4852161530098257
008_Signum_2,-1.441209588716352,-0.8601128223823861,-0.3434109197583403,-1.5608212335749845,-0.9206104135420142,-1.2239090580339067,0.21975103591893377,-1.6181809712250188,-0.7195836297975002,-0.9665057632695903
009_Stamic_2,-1.0856934299706418,0.28719777993240436,-0.8649567472066417,0.39010181165448143,-0.2070350325909932,0.6224597307462328,0.9245146361867163,-1.1973229912683268,-0.36221515891454165,-0.8185644913807633
010_Martinu_2,-0.4008755301135855,-0.4081419790462582,-0.7380942486381327,0.5694345706867153,-0.6708590302091507,-0.6455923971803735,0.27337435333063015,-1.0723409244933144,-0.9775380552435453,-1.1512169109909023
011_Emerson_2,-1.051836404394812,0.15342179828984687,-0.6198139980977889,-0.6804604165076472,-1.0197181053407738,-1.1973807708387838,-0.5922591991722196,-1.4532936609213896,-0.803136481648381,-1.2240607438950737
012_Cypress_2,-0.18849964241065426,-0.5515558043356028,-0.8367650808580808,-1.8542748392640995,-1.5985070254454938,-0.4652000442535623,-1.5804603343303132,-0.22387822856305867,-1.2201039090817385,-1.0835762090084384
013_Wihan_2,0.02695415670826308,-0.0778555935313961,0.03717657594717666,0.8520195243132651,-0.05242703338493695,0.25636936745362204,0.08952297934769915,0.32031639099973663,-1.0199415224401693,-0.9795135905739034
014_Artemis_2,1.1103789751348154,0.5044914546132291,-0.9777234126008552,0.7324643516251091,0.034787735397971635,-0.008913504497561092,0.6410771012964268,0.8380992390676654,-0.4686964488842074,-0.46180206386206046
015_Guarneri_2,0.9195484673437737,0.8043567256727778,-0.3786505026940339,0.6346464830620759,1.0139717303696536,-0.9427092137656679,-1.1438133211209256,1.3023183442320205,0.14262020320029428,0.581425685944209
016_Weithaas_2,0.39630352662640644,0.5783713040047155,0.2838536564970419,-0.2891889422555068,0.6770055782538985,0.728572879526694,1.299877858068482,0.11116272823337578,0.6408609427604987,0.24582374149280944
017_Vlach_2,0.5994456800813838,-0.586322792284535,1.1436994801280038,0.9063627846260682,-0.5083224156592013,0.7816294539169246,0.403602409901843,-0.08013635356511271,1.0154249029972222,0.9794652014563353
018_Pacifica_2,0.4901972150134344,-0.12131432846756289,1.2000828128251257,0.9933120011265438,0.9029711155550602,-0.05666442144877316,0.05122060976794091,1.5803396764458353,1.4429931972297232,1.5231923827768046
019_Vlach_2,-0.23159040223443553,-1.0382936356206691,0.19927865745136925,-0.08268455306686748,-1.3963273341760283,-0.3696982103511533,-1.565139386498397,-0.603020510481004,0.605524720096647,-0.4045676237230707
020_Wister_2,1.0442212698906472,1.7865241352301389,1.214178645999401,0.26217940717596,0.702930961136147,1.8586779140386676,1.7595062930257332,2.1083251422096745,1.3829216187012034,1.8197708453152572
021_Audubon_2,0.4224831638617731,0.7087475088132158,0.7208244848996606,-0.4902590054128558,0.23300311899547935,0.8771312878193487,0.7394471619696714,0.4329501020446602,0.499516052105112,0.214604955962446
022_Vlach_2,1.1919610178579034,0.6001006714728003,1.3128494782193492,1.9117131004128285,2.187406801266908,1.3864744019655957,1.6829015538661949,0.8636057833074634,2.015912626362133,0.4562025844423707
023_Lindsay_2,2.3153986846922554,3.1467825387321384,2.4264202989873294,0.5531315925928753,1.5729391121146297,2.023153294648393,1.2232731189089436,1.4119964844631598,2.248659073965369,2.605443614496021
024_Cecilia_2,-0.36394059312176985,-1.9509270692801564,-1.795281736709006,-1.5771242116688247,-1.1624331815309734,-2.0462859610825337,-1.3046832733559492,0.0627002941777647,-1.0729458564359369,-0.7974040083134599
025_Vogler_2,1.1657813806225368,-0.0865473405186276,0.6292015692668552,-0.16963376956734313,-0.43696487756409585,-0.25297374669263994,0.3576395664061157,-0.6183244370248769,-0.7019155184655743,0.2094018250407237
