,motif1,motif2,motif3,motif4,motif5,motif6,motif7,motif8,motif9,motif10,motif11,motif12,motif13,motif14,motif15,motif16,motif17,motif18,motif19,motif20,motif21,motif22,motif23,motif24
001_Belcea_4,0.37949569133808386,1.1804201793045448,1.0933774441091135,0.5872834828024825,-0.5012516396594078,1.4486959279909477,0.9585031890799283,0.7587426303529236,0.8276255744323548,-0.09149768329341788,0.5453362374748317,1.56049296508068,2.224017948487813,2.2702255045961333,0.3768344719375659,1.432625357496071,0.6884358790968746,0.1547805296882063,0.05294179252768559,0.372694979617065,0.27400914873234045,0.36708320160664376,0.35013554028211374,0.09579653263413149
002_Tokyo_4,-0.7390881615370877,-0.6451106752476213,-0.09974471392528857,-0.07999539117698233,-0.6437191253386824,-1.5148730124766254,-0.5682835824454806,-0.35806576714975463,-0.771698140237119,-0.392961565283083,-0.3386496234686248,-0.9394725763057886,0.5027092738882475,0.06302149863684894,0.9974671119579926,-0.49926605902978877,-1.1154747400471747,-1.0697645220362433,-0.960880756645265,-0.6658259768143067,-1.693434977074234,-1.024696079398202,-0.34754186249088187,-0.013657964853388705
003_Avalon_4,-0.4848645586109112,-0.4791533248337887,-0.4264329238632746,-0.8962204423840109,-0.8752287895675129,-0.7883670343522904,-0.6732501729878518,-0.6995543014148786,-0.8037331654289817,-0.5060105210292141,-1.003679974391119,-1.4775195553689657,-0.8513868834634188,-0.9493408624220319,-0.2943253139649158,-0.07111266962390204,-1.2415137483382135,-1.8132383034405153,-1.0574352851379727,-1.1109063867134459,-1.3677890528028247,-0.9654714291426462,-0.6223844757044662,-0.2872942085723188
004_Takacs_4,-0.8789975791714767,-0.47495045493455923,0.05649747343636327,-0.18127879169172803,-0.23412510401075226,1.0890395031769171,0.8821638505036663,0.6978258086709567,0.46587378182853756,-0.016131712795979296,-0.7055629205293122,0.6746683608837616,0.3879553622482829,0.05478132135093235,0.6900423720253875,0.2061236659753121,1.0018280920423004,0.5192291906449936,-0.2528150189867974,0.7683220106385299,-0.2687340583867266,-0.40981983798024796,0.5212588937907016,0.6256949428375188
005_Schoenberg_4,-1.2983800879746723,-1.2259614016960392,-1.6621665875417615,0.39067452886210297,0.745338860034276,0.34095413956374476,0.7581124253172178,0.6876730050572979,-1.2286477729998142,-0.15430265870792922,-2.428190274121143,-0.8706822736492552,0.03604336655235471,-0.05678781017936681,0.05244057541801481,-0.5460391183766488,0.13931360916142518,-0.28255698878482916,-1.7333169845865148,1.7326628987533723,0.5996550730037884,-0.6101235276094797,-1.066361004741827,-0.5062032035474628
006_Doric_4,-0.3831751174404411,-0.03660039039690094,-0.4406367590779695,1.3260565218511744,0.37136171012617086,2.1464293921301563,0.6340610001307827,-1.2312068779245797,-0.3813869955856451,-0.4808885308633953,-0.37194700517689233,0.26519468215079783,-0.0863608058636118,0.16635045288129946,1.3612021579278533,0.7132355563465499,1.690993844566686,0.5483842963140998,-0.5263853784282861,-0.6410992873754519,-1.1235546095992388,-0.9062467788871745,1.7772029550449993,-0.15959729483683538
007_Emerson_4,-0.230640955684737,-0.3131959744199536,-0.2985984069310202,0.021288009337754883,0.26212832716872814,-1.4669023981913538,-0.7737809708380738,-1.2413596815382384,-1.0477718766979258,1.5178477811660747,-1.8454589579307104,-2.0222090897292317,-0.8437366226874169,-0.008972468094936707,-0.13181124270630715,-1.3898551516898525,-0.0007297333841769134,1.6854618443438925,0.6805462277300798,-0.5792825637783678,0.7760466153174765,-0.03882626446594121,-0.03350827826348194,0.07755411638627195
008_Hagen_4,-0.6373987203666176,-0.45149376643148614,-0.88095565073352,-0.8664312069385007,0.529254862817371,0.03261205481648828,-1.2744224642759767,-0.3783713743770793,0.5896309740351127,-0.8200353981017886,1.4855515611928278,-0.27949485220946846,0.3191030152642977,0.6604423210870395,0.6676703791619604,-1.8844682012253053,-0.8802019245705622,0.3734492889247862,0.43915990649824194,-0.78945942400851,-0.46340179977111995,-0.5998495314064195,-1.3623453574333908,-1.2906271022083267
009_Prazak_4,-1.6288707717786997,-0.8940467008683739,-0.568471276010229,-0.07403754408788114,0.033001431637878005,-0.1913373691610093,-0.24384139349632822,0.031447558768702345,1.1954214779078471,-0.6693034571069472,-0.5859797617956257,-0.8507546077580255,-0.637179581735472,-0.5349412310236679,0.768344347047335,-0.43090543383053026,-0.19959127979893412,0.592118048161366,-1.153989813630543,-0.5174658401812837,1.4273384638603723,-1.5873302568256875,-0.4321088204027701,0.09579653263418333
010_Janacek_4,1.2692783015796958,0.820845920074572,-0.05713320828119872,1.6120331821280889,-1.7834590107728914,-0.07624731322052358,-0.2820110627844626,-0.5306634285819893,1.2369762871156043,0.08435624786722455,-0.03560981620458915,0.17884146328879874,1.160631700624092,-0.2799260732400784,-1.01022908559422,1.551552696947998,-0.4709070503465134,-0.2883079771526487,0.6322689634836574,-0.9625462500804228,-0.30943979892065754,0.39669552673446373,-0.8126601310061923,-1.7102026759107034
011_Belcea_4,0.5574522133864049,-0.008940831994595912,-0.4406367590779695,0.2774754341691591,-0.8039950467278757,2.1464293921301563,1.1779787874867027,1.1953131857403434,1.4844906715287411,0.3858201298569075,1.4500526997022034,-0.10251060887416405,0.8010694441521726,1.5609821293025565,1.02001696216468,-0.2905862557899501,1.8254354534104693,0.2422480333828631,-0.6229399069208567,-1.4570800388572716,-1.4084947933367171,0.011735300073477322,-0.7809475217892379,-1.1264453559769687
012_AlbanBerg_4,-1.4000695291451426,-1.3642591937075692,-1.5485359058241996,-0.34214066309748775,0.40697858154598315,0.7078036928740544,-2.247749031123427,-1.3797921435301514,-1.384439990398252,-1.184304255505965,-1.1669258154750357,-0.7112609465194355,0.036043366552365584,-0.0009490536931778059,0.3040874627435842,-0.6323893817862428,0.5622445036491409,-0.005575831522698651,-1.5563011536375966,-0.8389128028862195,-1.1235546095992388,-1.468880956314576,-0.16783707692816058,0.004584451394522685
