,motif1,motif2,motif3,motif4,motif5,motif6,motif7,motif8,motif9,motif10,motif11,motif12,motif13,motif14,motif15,motif16,motif17
001_Belcea_2,36.403129,39.326622,25.995737000000005,22.877369,18.032245000000003,8.108980000000003,7.675781999999998,7.465623999999991,11.660361999999992,28.037687000000005,31.43882099999999,7.517733000000021,6.05813999999998,46.286077000000034,12.780952999999954,23.195238000000018,31.36820899999998
002_Tokyo_2,36.603265,37.646621999999994,23.275737000000007,22.177369,14.692245000000014,8.108979999999974,7.393333000000013,6.668072999999993,9.060361999999998,22.554014000000024,29.962493999999992,7.717732999999981,8.33814000000001,41.20607700000002,13.70095299999997,25.915237999999988,24.108209000000045
003_Avalon_2,35.723129,37.046622000000006,24.38136,19.371745999999987,15.532245000000017,8.428979999999996,7.233332999999988,7.0480730000000165,10.700361999999984,25.137687,26.738821,7.197506000000004,6.238367000000011,43.58607699999999,11.900953000000015,23.875237999999968,24.860045000000014
004_Takacs_2,34.363265,36.006622,23.135737000000006,23.057368999999994,15.372244999999992,8.948980000000006,8.473332999999997,7.668072999999993,10.300362000000007,23.457686999999993,30.21882100000002,7.657732999999979,7.35814000000002,40.68607699999998,12.560952999999984,22.695238000000018,25.665896000000032
005_Schoenberg_2,38.923129,43.346622,28.015736999999987,21.714376000000016,16.115238000000005,9.108979999999974,8.233333000000016,6.908073000000002,11.280361999999997,29.077686999999997,28.058820999999995,8.277733000000012,7.258139999999969,49.48607700000002,11.52095300000002,25.215238,28.708208999999954
006_Doric_2,41.083129,41.826622,27.561360000000008,20.891745999999998,17.81224499999999,8.208979999999997,7.533332999999999,6.948073000000022,10.880361999999991,31.097687000000008,28.278820999999994,7.6577330000000075,5.9981400000000065,53.946077,13.080952999999965,22.855237999999986,25.72820900000005
008_Hagen_2,39.403129,45.86662200000001,26.315737,19.957369,19.752244999999988,8.448980000000006,7.453333000000015,6.488072999999986,10.040361999999988,30.617687000000018,29.118820999999997,7.477733000000001,6.438139999999976,46.246077000000014,11.120952999999986,22.99523800000003,30.86820899999998
009_Prazak_2,38.123264999999996,40.986622000000004,16.875737,17.197368999999995,17.892245000000017,8.128979999999984,7.553333000000009,6.908073000000002,9.694375999999977,25.80000000000001,29.742493999999994,8.177733000000018,7.378140000000002,39.86607699999999,12.260952999999972,22.99523800000003,26.108208999999988
010_Janacek_2,59.163129000000005,57.246622,15.415737000000007,19.877368999999987,18.992244999999997,9.088979999999992,8.293333000000018,8.068072999999998,12.10036199999999,40.697687,27.858820999999978,8.417732999999998,6.818140000000028,48.746077000000014,9.880952999999977,25.615238000000033,31.308208999999977
011_Belcea_2,40.523129,44.24662200000001,27.515736999999987,20.457369,18.112245,6.688980000000015,6.4933329999999785,6.208073000000013,8.880361999999991,28.577686999999997,31.43882100000002,7.277732999999984,6.85814000000002,49.486076999999966,12.440953000000036,23.075238000000013,27.14820899999995
012_AlbanBerg_2,35.503265,36.726622,21.435737000000003,18.897368999999998,15.032245000000003,8.488979999999998,7.953332999999986,6.622449000000017,9.985985999999997,24.39768699999999,26.956327000000016,6.660226999999992,6.518139999999988,48.02607699999999,11.860953000000052,23.63523799999996,22.568209000000024
013_Jerusalem_2,37.583129,40.566622,25.195736999999994,21.737369,16.832245,7.908980000000014,7.1533330000000035,6.408072999999973,10.460362000000003,24.077686999999997,30.118821000000025,7.377732999999978,6.198139999999995,53.94607700000003,11.46095299999996,22.275238,29.028209000000004
