,motif1,motif2,motif3,motif4,motif5,motif6,motif7
001_Takacs_3,-0.046388556351542584,0.09843297951647575,0.45296298982953315,0.26389185465950604,0.04488108331283242,-0.003579063903187607,-0.8093647170364906
002_Prague_3,-0.6538471807091376,-0.5141915981553417,-0.3623482366672512,-1.3497840525548834,-0.2533619674456053,-0.12509680499712708,-0.6979440027689676
003_Panocha_3,0.16332134724230876,-0.22096838192040186,-0.12030271630102146,-0.16015650163972817,0.7041551955157053,-0.2897337445437487,0.3901391487552138
004_Janacek_3,1.0225822843292318,1.5987630428309494,1.7065040005683347,1.1120977883616385,2.1520167014169735,2.3640569238625804,1.6724208680054895
008_Martinu_3,-0.15469513278739144,-0.28675013818137474,-0.0948242404729948,-1.1320294912120321,-0.6536355355687693,0.22769663688849215,0.23592263909037156
009_Takacs_3,-0.6161753280357991,-0.437154974615769,-0.9738316565398404,-0.024919458279430647,-0.44957450083931666,-0.5288492995995686,-0.6893764188986982
010_Guarneri_3,-0.9057776954620939,-0.9287220010111202,-0.7266904410080032,-1.19391762969895,-1.379621909125499,-1.187397057786077,-1.094908722091434
011_Vogler_3,1.2603538332549136,0.7147259678330365,0.7790874804282433,-0.45355212113325677,0.4373061501002663,0.059139770209811614,0.018877181043547825
012_Emerson_3,-0.7692172295212395,-0.5948966323396498,-0.5203147868010042,-0.9624101486923391,-1.5130464318332242,-0.8424434701645759,-0.332435881591512
013_Cleveland_3,0.5987419206793908,0.3809005991615687,0.18289114605246937,0.09885681869439843,-0.7438933009298837,0.5216911717931935,1.0755458583767465
014_Stamitz_3,1.4229739210070886,1.510521442397547,1.2529871308295022,0.38308382507875294,1.5596418411122894,1.8035073439776352,0.3073191713426144
015_Moyzes_3,0.3703563138472736,0.6817102720303625,-0.059154374313760374,1.2357648442318034,-0.12778594607362154,0.5373708803214404,1.3068706228740141
016_Psophos_3,0.0995898727576464,0.2561746372403592,0.80711380383907,1.3985077269196267,0.31957863006403503,0.2864955438694324,1.0412755228956607
017_Melos_3,0.5657790495902205,1.0155356407018303,0.5395898076448137,0.9584142976793385,1.6145813504625233,0.5687302973779457,0.690004584214637
018_Delme_3,1.924320236622518,1.7565545909395979,2.55748509322435,1.7560836381773608,0.7590947048659502,1.8191870525058822,2.200755206672085
019_Novak_3,1.02255026325446,0.8798044468463987,-0.32413052292521666,0.041552986762066056,0.6374429341618483,0.49425168186875834,-0.7493495059905845
020_Smetana_3,-0.9505130205116837,-1.141489818406122,-1.305051842304158,-0.6415086898712947,-0.37108948748183096,-0.3446127243926299,-0.1324834673312073
021_FineArts_3,0.37977427701560823,0.35889013529311675,0.7255826811893934,1.3159902089370663,1.0534135049565172,-0.04277833522381073,0.5700584100308563
022_Prague_3,-1.6874686384338833,-1.7944669131700948,-1.2897647568073427,-2.3720844142276336,-1.1559396210566764,-1.2187564748425823,-1.0606383866103561
023_VanDingstee_3,-0.03461610239112307,-0.14368212303645658,-0.21202522928190948,0.26159970138221494,-0.35539248481033164,-0.8934025228813871,-0.7065115866392371
024_Wihan_3,0.4033191849364456,0.13511708596389307,-0.10756347838700994,-0.03408807138860148,0.18615410735630997,-0.3838119957132642,-0.6808088350284287
025_Carmina_3,-1.1577082102150502,-1.497325650946039,-1.4528270021066996,-0.6965203685263328,-1.6307739518694555,-1.93610314001002,-2.1287305091039115
026_Smetana_3,-2.25725541011814,-1.8274826089727687,-1.4553748496895016,0.19512725634071176,-0.8341510662909869,-0.8855626686172691,-0.42663718021044
