,motif1,motif2,motif3,motif4,motif5,motif6,motif7,motif8,motif9,motif10,motif11,motif12,motif13,motif14,motif15,motif16,motif17,motif18
001_Janacek_4,1.134926803366812,1.3117546170958432,0.9898587385955694,0.40817864946687205,1.0222916194692875,1.0447824256328522,1.1329816749681918,1.2020958211628698,1.0469193892208681,0.9596099498837221,0.5727358016127361,0.3501404704609273,0.8687935920393948,0.1371413954477908,2.0395058302080127,1.7544885245171444,1.6375995554642921,0.11940101278019571
002_Takacs_4,0.21308446893773308,0.23793965834983666,0.14761954362550112,0.5616734662121499,0.7126995975684962,0.9674028428482179,0.4486244786048257,0.61963766191332,-0.4243146033897027,0.3593189391201047,0.3722452204797276,1.0551729026835932,0.7731465910809485,1.2827691676948332,-0.6479339276251945,-0.7152214823870373,-0.46223385006089796,0.016061605641901438
003_Koeckert_4,0.750680671038035,-0.2914057438488964,-0.28708455700420876,-0.5895376593773975,-0.2160764681339263,-0.028313180443139803,0.2810539452974293,-0.5146229639936615,-0.6888061076792495,0.12587243493425215,-0.3437925692809008,-0.6260582818473587,-0.8289406749733825,-0.6883844992596199,2.252699375242828,1.3068370779640366,0.06666768266871137,0.4902071207470036
004_PavelHass_4,-0.0946608200852652,-0.3670265155915768,0.12045053733614967,0.07560654651877612,0.1279146673114285,0.32044289153154665,0.3053947375737491,0.3437364285846042,-0.9698283309868893,0.2092461864291944,0.14311312775635904,-0.05660900966754125,0.2709998360489869,0.5246331419431167,-0.6749584615028437,-0.5568865098109624,-0.7640126270081199,1.4020254190260701
005_Travnicek_4,-0.3764413171263645,0.01107734312180897,-0.04256350039999755,-0.1802181480566718,-0.25047558167846545,-0.5648609834811262,-1.2037343835573209,-1.0042802106284534,-0.2594570487660338,-0.391044824334423,-0.20058501132877513,-0.24642543372746756,0.1753528350905067,-1.1601135819495756,-0.7188213818944613,-0.5925229252665759,-0.46749142519194553,-0.10551416746197467
006_Prazak_4,-0.9656187200304854,-1.0476134612756678,-1.7542108966294758,-1.0756045790707531,-0.9384578525691262,-0.8331348850001481,-0.7899409148600909,-0.7598685047303027,-1.300442711348808,-0.7578893309121878,-1.8045096603926805,-1.1683909220186373,-1.6419401831203115,-1.0927237129938574,-0.1945223036779146,0.4583510745920834,-0.08474761052718648,0.3959858965915089
007_Jerusalem_4,-0.3252084994825291,-0.5636405221225345,-0.015394494110636465,-0.3337129648019497,-0.18167735458937495,-0.21610491150643982,-0.6438961612022582,-0.14675465288867806,-0.4573760414259005,-0.14092356984957252,-9.443019580733041e-05,-0.3548919617617387,-0.5180879218583474,-0.5030623596314246,-1.2034382351102648,-1.72467265998416,-2.316768952904819,-2.387789137296088
008_Dante_4,0.8787627151476304,0.7521609062000401,1.5604078706720557,1.277982611023404,1.022291619469312,0.18630594077205478,0.15934998391589916,0.12914658044003774,0.08813768617127431,0.7928624468938139,1.89024533477239,1.5161556468291781,0.534029088684765,-0.9074015733656862,-0.47677854640005646,-1.0676613230588834,1.191765943295509,-0.7377081876021166
009_AlbanBerg_4,-0.6838382229893861,-0.3065298981974341,0.09328153104678859,-0.1802181480566718,-0.697664057757401,-1.0477540062153237,-0.8142817071364107,-0.9438026602827944,-0.4739067604439817,-1.0913843368919807,-0.7447737315469178,-0.32777532975312273,-0.6376466730564562,-0.8621315865213017,-1.0373486027605001,-0.4932367713875556,-1.9003775406562184,1.6971568389940908
010_Skampa_4,-1.4263656956650341,-1.2744757765036956,0.5551546379658499,0.35701371055178244,-0.37816509115575586,-0.7335516127562914,-0.7169185380311659,-0.8211798899144738,-1.300442711348808,-1.1080590871909786,0.7445848711553031,0.3230238384523884,-1.1876169285676068,-0.6546895647817728,-0.7638622716905502,0.20072994813698303,-0.684099030712196,-0.13286871641034745
011_MoyzesQuartet_4,0.8531463063257081,1.1394897428583115,0.6744279340264394,0.6128384051272304,0.6439013704794424,1.0984372059366412,0.4270986989552792,0.7116047396895876,1.4601873646732637,1.0763332019766365,0.9768331603397794,0.9708727170953408,0.9883523432375035,0.3056160678370505,-0.7920647749726707,0.2689804221763355,0.15394136891603244,-0.49759603572196714
012_Talich_4,-0.6326054053455484,-0.44264728733425446,-0.2599155507148477,-0.46162531208966906,0.2999102350340876,0.2399607210758439,0.20803156846852158,0.15980227303211245,-0.34166100829921425,-0.22429732134453848,0.14311312775635904,-0.5447083858217036,-0.4224409208998672,-0.5872996958260545,-0.9572147042249899,-0.7841312558877787,0.7574989228104972,0.4081434739018939
013_EnergieNove_4,1.493556526873669,1.3420029257929158,2.484154084510188,2.1733690420374945,1.9854667987162613,1.7959493498860333,2.130954158296804,1.7538982878203015,1.2287572984199264,1.2264059546675468,2.205301962267083,2.0856049190089956,1.6339695997071004,1.5860235779955294,1.1597071161911106,0.8323583478539887,0.7133361749645394,-1.166262787793273
014_Hollywood_4,0.3408181298873449,0.07157396051595165,0.6094926505445624,0.024441607603695615,0.2655111214895484,-0.08196796074694798,0.28105394529744654,0.15980227303211245,0.2865063143884373,-0.17427307044756837,-0.08601896496705018,-0.6260582818473587,-0.32679391994142093,0.1371413954477908,0.9555217491155172,0.5267350286955188,0.6905036663053049,-0.9927071409291283
015_Vlach_4,0.6482150357503664,-0.0947917373179414,-0.9119717016594173,-1.0756045790707531,-0.697664057757401,-0.028313180443139803,-0.3761474461628609,-0.33068880844116977,-0.4693335370276491,-0.22891039101474187,-0.8879812894990028,-0.8701079699244398,-0.27897041946219786,0.7941926177659419,-0.15848959184103914,2.102720337127128,2.2737532655209227,0.49628590940220046
016_Guarneri_4,-1.5547961229346041,-0.7602545286534921,0.8268447008594125,-0.2313830869717614,-1.3168481015589835,-1.6916113698609454,-1.2524159681099258,-1.2197038936115319,-0.37472244633540025,-1.408204592572799,0.7159433595649024,-0.6531749138559361,-1.4267344309637564,-1.766622402550944,-0.5998903118426983,-1.3769668508819097,-1.061285331583458,-1.7555951171559374
017_Amadeus_4,1.3142416651202404,-0.2460332808032941,-0.09690151297871008,-0.3848779037170302,0.12791466731141626,-0.10879535089884254,0.037646022534351786,-0.0547875751124322,-0.12676166106396997,-0.15759832014857045,0.3722452204797276,-0.16507553770177386,0.74923484084132,0.4740907402263341,-0.27259317932446314,-0.7972820800228146,-1.079160571797013,-0.31492220587502306
018_Excelsior_4,2.0571175209558676,2.5098893683790977,0.4405027898750816,0.6128384051272304,0.9534933923802336,1.3398837173037494,1.3782662728157733,1.7208790413293764,2.088354687360927,0.7928624468938376,0.14311312775631835,0.7568899505893959,1.0361758437166926,0.7773451505270302,0.01566851537049348,-0.5910783948074637,-0.7692702021391884,-0.5766202882394827
019_Lindsay_4,-1.0680843553181585,-0.8207511460476321,-1.2651687834210534,-1.126769517985852,-1.9704312589051296,-1.1014087865191509,-1.0333488376231683,-1.066425430651115,-0.7053368266973425,-0.841263082407142,-0.9452643126798449,-1.114157658001521,-0.757205424254497,-0.8063167699321208,-1.089334647626845,-0.4858723540584322,-0.47905801687569577,-0.08727780149639283
022_Talich_4,-0.6069889965236307,-0.4728955960313191,-0.2055775381361448,-0.48720778154720934,-0.800861398390994,-0.6185157637849344,-0.2544434847813308,-0.7905241973223991,-0.83758257884211,-0.391044824334423,-0.7161322199564764,-0.7345248098815913,-0.6854701735356793,-0.8231642371710324,-0.9031656364696831,-0.662618369957305,-0.32448839941493735,0.21362223693569904
023_Talich_4,-1.2986320347154248,-1.1534825417154129,-1.6727038777614023,-1.33142927364621,-1.3168481015590079,-1.1550635668229399,-1.5201646831493059,-1.2503595862036065,-1.2462773308781612,-1.3961429119439928,-1.7472266372118381,-1.2768574500528698,-0.9724111764110859,-0.5536047613482074,-0.6419284756523755,-0.4821901453938705,1.0887195316550036,-0.011292943306471336
024_Smetana_4,-1.5035633052907686,-1.1988550047610205,-0.74895766392327,-0.8197798844953053,-0.2160764681339263,-0.8599622751520426,-0.32746586161023844,-0.3000331158490951,-0.9532976119687845,-0.9579863345000682,-0.2865095461000587,-0.13795890569323496,-0.4463526711394957,-0.4862148923924891,0.24387569033733714,-0.12869811359612465,-0.125756034108221,-0.01433233763407407
025_Emerson_4,-0.6326054053455484,-1.0778617699727377,-0.2599155507148477,0.35701371055178244,-1.3168481015589957,-1.1014087865191509,-1.6662094368071558,-1.556916512124397,-1.0148472646248121,-1.2627449095520922,-0.6588491967755936,-0.16507553770181238,-0.3028821697017924,-0.5199098268703602,-0.8250947608231303,-1.1912784071307183,-0.8355143239080939,-1.613053753950011
026_Wihan_4,0.2127360857777541,0.7521609062000401,0.8268447008594222,1.1244877942781353,1.2974845278255762,0.02534159986064931,-0.10839873112348085,0.5276705841370959,0.7989586039494143,0.8929109486877541,-0.08601896496705018,0.295907206443811,0.7014113403620629,-0.1208430280085209,0.43398713057835225,0.5930147846575982,-0.16991878195415797,0.7789495818687104
027_Endellion_4,0.6738314445722842,0.4496778192293293,-1.0206477268168423,-0.46162531208966,0.23111200794502149,0.4545798422910385,0.08632760708697419,0.3437364285846042,0.6005899757322631,0.6761391948008995,-0.8306982663181607,-0.27354206573604495,-0.2072351687433122,-0.6209946303039255,0.7363227521078913,0.5067457907390929,1.172839261660341,0.6725707804028221
028_Juilliard_4,-0.0690444112633475,1.4781203149297335,1.4789008518039821,2.378028797697862,0.6783004840239694,0.40092506198724936,0.7922105830998867,0.8342275100579082,2.055293249324741,0.2592704373261645,1.4319811493255308,2.112721551017573,1.7296166006655807,0.7099552815713119,0.24687841632374022,-0.552152110020501,0.4336387719402859,-0.36690207963530014
029_Panocha_4,-1.3242484435373425,-0.6543854482137471,-1.2379997771316924,-1.3825942125613089,-1.0416551932027314,-0.8063074948482345,-0.6682369534785607,-1.1890482010194354,-0.6346407272085909,-0.9959489047682675,-1.1171133822224526,-1.059924393984366,-1.1876169285676068,3.3887025725606987,-0.1614923178274465,1.1858503796517292,0.6323711372470022,0.18322829365972354
030_Sevcik-Lhotsky_4,-0.8119202670989746,-0.8509994547447048,-1.4553518274465522,-1.4337591514763985,-0.25047558167845324,-0.21610491150643982,0.3053947375737491,0.12914658044003774,0.05507624813507656,-0.47441857582936525,-1.2030379169937362,-1.3853239780871025,-0.15941166826412306,-0.19980794933072854,0.054703953193767745,-0.7199556980670606,-0.7626608789011385,-0.28756765692665026
031_Medici_4,2.0058847033120277,2.1738314149623594,1.4517318455146306,1.9431268169195868,2.7422472966960005,3.3519379786962418,3.299312187559552,3.22537153224017,1.8403939020894966,3.4274729941341597,2.090735915905358,2.519471031146003,2.088292854259839,1.333311569411592,0.3651626991980344,-0.6514382638995213,0.12870567072816153,-0.12982932208275336
032_Talich_4,0.1615032681339164,-0.09479173731793603,-0.6674506450552061,-0.6407025982924872,-0.04408090041125502,0.13265116046826567,-0.37614744616287815,-0.11609896029660337,-0.11023094204587695,0.29261993792413665,-0.31515105769045937,-0.517591753813126,0.12752933461128357,0.4909382074652696,-0.786059322999856,-0.5063875955225968,-0.5484564629095036,0.082928280849032
033_Sacconi_4,0.9812283504353012,1.3117546170958432,1.0313824893579049,1.4179609300307856,0.9878925059247605,1.0179550354809577,0.7678697908235842,0.6809490470974912,1.6916174309266128,1.6432747121422817,1.2601320797830045,1.1907560627264033,2.1600281049786565,1.0637520935887907,2.438868386399986,1.4804270728165245,1.0813590736806666,1.3564345041121155
034_Prazak_4,-0.6838382229893861,-0.9719926895329875,-0.8848026953700562,-0.6407025982924872,-0.4912693764901784,-0.45755142287354805,-0.2544434847813308,-0.39200019362534094,-1.0194204880411684,-0.3410205734374529,-0.687490708366035,-0.4633584897959713,-1.1637051783280123,0.06975152649209651,-0.05339418231683725,0.6187902453095144,-0.6336276343364751,-0.15110508237592932
035_Czech_4,0.3387265501070353,-0.8509994547447048,-0.5044366073190685,-0.48720778154720934,-0.9728569661136653,-0.7258253243925317,-0.035376354294573184,-0.08460943286601644,0.467894588030211,-0.39104482433444665,-0.40107559246174296,-0.40912522577885496,-0.6854701735356793,-0.7220794337374671,2.015484022316767,2.244222276903595,1.4462276481319125,3.0159438069800033
