,motif1,motif2,motif3,motif4,motif5,motif6,motif7,motif8,motif9,motif10,motif11,motif12,motif13,motif14,motif15,motif16,motif17
001_Belcea_1,0.6124766703232908,0.6601127350992075,0.0720050363074446,1.8715171509199824,1.0991935588379649,-0.04685771686318627,0.6780284618606589,0.6744206307232345,0.541370583656181,0.12444338439473442,-0.7153979836608233,0.6598787818064279,0.23589507780568317,0.6382946248000525,1.066382622710755,-0.8978999220548067,2.9384405246395073
002_Tokyo_1,-1.4747797262329079,-1.108318405033937,-0.8117341111793449,-0.4838919311207573,-0.7732347439140334,-0.5316959146534587,-1.2030208234680513,-0.8237735204054387,-0.039415811868873045,-0.3700403666758811,0.21775558054740116,-0.8357938922832073,0.8069316467738049,0.3076812625069252,0.51102110957823,0.5993499465616463,0.3235360951419295
003_Avalon_1,-0.7152797708414668,-0.38508606903891884,0.26045465741121765,-0.6693572131712114,-0.5990553669138469,0.19967018031830439,-1.2583258065753995,-0.05003519449375566,-0.36980472435686773,0.1432629327220241,-0.6391844100540672,0.32377256290987605,-0.8663382995048942,-0.10734402207382253,-1.2456623358627863,-1.096436522633676,-1.3036837379752195
004_Takacs_1,-1.6098182265084087,-1.1967399620405956,-1.3001162716325712,-0.7435433259913904,-0.6643726332889115,-1.3945435547886875,0.06579880345809189,1.0645122289169742,0.9101796368995383,-0.2075685020061889,1.7349608098090163,-1.2895372877935511,1.0858099711536007,1.0251826019515835,1.6042818172450368,1.4789436466286536,-0.28950951640452477
005_Schoenberg_1,1.2181537496811163,-0.4657884241188942,-0.1993183861665707,2.102149720434587,1.2980214949258915,-0.5785325171994841,-0.8043596505547332,-0.656591406893853,0.823401036136379,-1.260062806190833,1.5944788441366522,0.7102947146408999,1.0725300509450515,-0.5597898152373303,0.9966262891279173,-0.02228606370942016,-0.06623981837216955
006_Doric_1,0.7056577594552637,1.1475542524098072,2.237239592579033,1.1296560227181724,1.4910971570883913,2.056847005752217,0.10851250055594774,0.061419547847301484,-0.34811007416610107,0.4575494263327271,-0.06320835079734682,0.21467122385773793,-0.012297334948176666,1.523072608627646,-0.29611331350430703,1.8217576228810897,1.613959265125533
007_Emerson_1,-0.7572853399167138,-0.8961066682179599,-1.4568811310647174,-0.6281421908675469,-1.0127313872892885,-1.7396826108427734,-0.475241359781409,-0.18120349438643188,0.20193066310858135,-1.8886357934122184,-0.597039820352354,-3.028886970583188,-1.0256973420076156,-0.6700901706578685,0.18419628251944117,-1.0827239635835852,-0.2970779807446084
008_Hagen_1,1.8424670468653361,1.7488208400550764,2.170054486706019,1.6984168392238257,1.6217316898385359,1.0296474341626625,-0.6460961481728122,0.28432903252941577,0.8884849867087408,1.8754931416925955,0.7094424604006951,1.3236885641271015,-1.3311355068045285,-1.7955824678259602,-1.3303327757204015,2.0685836857828304,0.7170962408260757
009_Prazak_1,0.2863428583613836,-0.550139642118012,-0.7163096634952347,0.6845393457970917,-0.2506966129134739,-0.39199677291727786,-0.033866489770245214,-1.7218563296099691,-1.5413158346593325,-0.5657089249579049,0.16156279427844356,-0.6341301609452834,0.9530107690679963,-0.4238887306523515,-0.38774716483343435,0.2519651172925156,0.3348887916520496
010_Janacek_1,0.36088772966696214,0.5422173257569982,0.4208494366311766,0.38779489451636256,0.4351346840247627,0.3475869186272,-0.07658018686810109,0.5629658883821774,0.04239362926808469,0.9545606255310267,1.0606473745816252,1.4917416735753775,0.6741324446882005,-0.550506614083757,0.8621171057990191,0.5921981613890541,-1.610206543748452
011_Belcea_1,1.6001962151222047,0.39891840308677573,0.0356438216470351,3.2439602380933206,1.970090443838901,-0.6960478461077896,-0.7884751384989951,-0.10576256566432383,-0.044384971495074546,-1.1358100063912555,-1.8051847251347524,-0.5164929843314915,-1.2514559855531773,-0.5083006529399519,0.40207950055865305,-0.5845009847634021,2.2837683592225986
012_AlbanBerg_1,-0.31001611208324403,0.618849341829434,-0.30009565737120103,0.035410858620508974,0.42424847296224544,0.7502491506903068,-1.2725637056080148,-1.072841433115087,0.4839611155887949,-0.2733493960177318,-1.931618494239892,-1.247524010431473,-1.9818515970240393,-1.042909494094801,0.7667931979068796,0.34537209848731326,-0.8193020202101124
013_Jerusalem_1,0.4727050366253308,0.13954850253391468,-0.48374672994607915,0.31360878169619016,-0.05474481378826453,-0.642717287870175,0.3435830611642751,0.5072385172116093,0.7149277851824686,-0.5218549956168868,0.2739483668163587,-1.550019607438377,-1.5170543897244049,0.17402905221820542,0.6238073360686511,-0.8567622449045145,-0.8987708957809533
