,motif1,motif2,motif3,motif4,motif5,motif6,motif7,motif8,motif9,motif10,motif11,motif12,motif13,motif14,motif15,motif16
001_Belcea_4,1.3603233535045283,0.7649499463860862,0.2700669728247404,-0.13850941120157642,-0.19397196586637477,0.72298221070493,0.9925347678935611,0.4528203412488725,0.5740046612107265,0.30467958355904856,-0.3808658471765722,-0.3274617565088507,-0.48649816609148083,-0.8212474017172672,1.7710748456558891,1.8614883674990246
002_Tokyo_4,-0.5729849760832396,-0.4782773853311678,-1.033034593415042,-0.6143842229599872,-0.515908278356447,-0.34085305552148815,-0.5254180149477531,-0.6809301022550677,-0.899527645210751,1.6769273923666077,-0.7972876835710766,-0.8037873732042177,-0.5801069605586138,-0.5939353383572133,-0.8889769086429347,0.3364630467158133
003_Takacs_4,-0.24530559818700634,-0.030903913690490843,-0.9841682846810483,0.5276022407469578,-1.0274530269762108,1.8418434389775185,0.600138810424386,0.4528203412488725,-1.1609607963500421,-0.3119634191329332,2.242591722108563,1.967561669386964,2.3685700651555934,2.5884335486831374,2.4078952157623243,0.8193995593846337
004_Schoenberg_4,1.1637157267667908,1.3724360289297417,0.02573542915478375,0.5415289049385031,1.0456493753249412,1.1815318944232152,0.39361462228269484,-0.1343004241370929,1.2275875390589543,-0.05141003771379328,-0.4641502144555086,-0.7171827156232586,-0.7907267481096049,-0.4234512908371123,-1.0355918634461825,-2.3154601058213937
005_Doric_4,0.9671081000290511,0.7602407519477625,0.39223274465971875,-0.3915575958952222,0.009098174174365214,-0.3225110681727735,-0.7009635748681627,-0.8226489076930781,0.12243830924284618,0.5044371759804163,-0.33922366353716316,-0.11095011255642227,-0.11206298822301533,0.20165688340285418,-0.13275271914151726,0.4673233052648643
006_Emerson_4,-0.3567165866717264,-0.31816477442818913,-0.7561255105890857,-0.7373559714381445,-0.4632060440873028,-0.9461386380296213,0.5072029257606148,0.027663924934898533,-0.19841146715537167,-0.885180858255083,-0.5474345817343858,-0.45736874288032,-0.46309596747472254,-0.7075913700371191,-0.6302686332871991,-0.383268375303996
007_Hagen_4,1.1833764894405656,0.4776890856483862,1.7034786956884982,-1.1435974622388088,-1.0072604711096451,-0.9094546633321657,-1.3824933957356966,-1.6122251094190543,1.3345374645250325,1.5640209270849654,-1.1720673363260536,-1.0202990171567077,-1.5629993024633275,-1.2190435125972605,-2.2627977850054806,2.138821771713766
008_Prazak_4,-0.8285748908422998,-1.519009356200536,-0.7316923562220918,-0.7675775290670155,-0.6168710576892897,-0.7260347898448882,-0.2569365703635575,-0.6809301022550964,-0.008278266326782482,0.2959944708450846,-0.1310127453399405,-0.45736874288032,-0.41629157024117264,-0.7075913700371191,0.07288719203868217,0.1804373538303854
009_Belcea_4,1.1243942014192438,1.617314139722534,-0.19416296014818188,-0.7373559714381445,-0.11993259435561492,-0.21245914408038086,0.95122993026522,-0.1343004241370929,1.7148038661821772,0.6781394302598429,-0.3808658471765722,-0.11095011255648382,-0.463095967474656,-0.4234512908371123,-0.3781939034533995,0.21566896190129584
010_AlbanBerg_4,0.0233914916879041,-1.0951818567514715,-0.6176709691761133,0.09587565080897331,1.1869972663909296,0.025986691453119014,0.26970010939770067,0.16938273037288026,0.14620495934643038,-0.9459766472528922,-0.9206089283100911,-0.41573571886471444,-0.5801069605586138,-0.02565517995711895,-0.28532426614619927,-0.6701543267384606
011_Jerusalem_4,0.8622506991022567,0.10566272502087533,-1.383243139341983,-0.21051096140509332,-1.370726476707894,-0.4692469669626215,0.35230978465436835,-0.6606845586210867,1.3583041146286,0.04412620213989629,-0.339223663537104,-0.41406641408987127,-0.9077377411935295,-0.13931121163702476,0.006551736819254793,0.6082497375484489
012_Panocha_4,0.7180717728279153,-1.3871519119274935,0.7750188297426565,0.30714384292795344,0.3243036347089252,-0.7994027392397993,-0.6906373654610738,0.290855992176881,0.06302168398391945,-0.38144432084471863,-1.0054986017682992,-1.2801129898995849,-0.9779443370438708,-1.3326995442771663,-1.1941200026522798,0.7391099960975143
013_Wallinger_4,0.9408937497973507,1.1511038903285646,0.17004456157333198,0.08586446825487178,0.23121628870663527,0.1176966281967708,0.15611180591978083,-0.8833855385950785,1.382070764732167,1.7377231813644045,0.03555598921793227,-0.11095011255648382,0.09855679932800898,-0.2529672433170921,-0.7636164970465557,-0.49851574673643667
