,motif1,motif2,motif3,motif4,motif5,motif6,motif7,motif8,motif9,motif10,motif11,motif12,motif13,motif14,motif15,motif16,motif17,motif18,motif19
001_Brodsky_1,1.4476010033340925,1.1308004723786202,0.7452720593910297,0.5169102264934642,-0.5925836317415577,0.716757949896622,1.866312646332756,0.8420897657752602,0.9593739095737652,0.2853555443193452,0.6902255856684174,-0.2007771180637853,1.3675185771908887,0.7097668460275038,1.4279902290760542,0.7161395009476339,1.3420780315242522,1.4351518080235863,0.8372770781828841
002_Duke_1,-0.3241446823365434,0.21380630799538475,-0.12699128034374607,-0.4881315308013615,-1.0466188218072041,-0.5456967095766632,-0.6056062399559414,-1.0129675795307256,-0.2614970446409643,-0.10783982167309585,0.09125652498908536,0.6748651064590201,0.26962944822256274,0.9898156106918314,0.3027364380815508,-0.16168247201242875,-0.06750454831719485,-0.5835096821922849,-1.1486513029185592
003_Skampa_1,0.30529119277368194,-0.24469077419623694,0.6580457254175475,2.0019719275709082,2.2306897319393935,1.8904635999165935,1.3108252561554647,2.296623366072002,0.42770430048029373,1.2147264093925816,1.0229861749346814,1.4075460827750377,1.1204945867544904,2.1036599271361,0.749155194517734,0.8225421643366316,1.8532453406975455,2.7037601757280396,2.061479504889307
004_Prague_1,-0.7939125871995404,-0.9651861890687786,0.28733380603027703,0.5769127194662887,-0.06425177421062041,-0.8319122650635736,-0.07789321928756605,-0.48596265188697696,-0.8128581207379371,-0.5725252542096633,-0.6408167713967333,-0.6832752398828612,-0.9380501032420936,-1.3014924638348078,-1.01821488749231,-0.4010871346046114,0.42817284239631637,0.879556902459573,-0.20534620369470757
005_AlbanBerg_1,5.238292528283692,0.7596361677473131,1.5739222321390371,-0.9681514745839691,-0.1963347385933518,-0.11526401372812276,-0.18899069732307167,0.8210095686695293,0.3095554984595098,-0.21507492148933618,0.157808642842376,-1.1836418423901789,-0.6086843252057509,-0.7668539131119084,0.009191970865499687,0.9023441618785311,0.30425349471792756,-0.7316683236760131,-0.722447495102283
006_Panocha_1,-1.6819846458328773,-2.1660118805230226,-1.8715179598132665,-0.32951944081468326,-0.5395333346157508,-1.433186804109721,-1.688806650801608,-1.2659299447997345,-1.994346140945664,-2.395521951084022,-1.9385830695352861,-1.1657724681885535,-1.5693371415076847,-2.065261822010306,-1.972233182842237,-1.4651150985288601,-0.25338356983471205,-1.0557653519216963,0.46569808946285834
007_PavelHass_1,0.03148007000773656,-0.13552480224585747,0.7234654758976572,-0.1281165729644138,0.2164245251026926,-0.255043703617082,0.14430173678328728,-0.29624087793522025,0.3292469654629552,0.7451367582910772,1.0275516502194264,-0.3616104210124504,0.1323931355561706,-0.9705257419587513,-0.43112595306034684,0.45013417250812626,-0.7180811236286151,0.0832042044845047,0.2841189446341045
008_Emerson_1,-0.24431069721292734,-1.4236832712604082,-2.307649629680639,-1.4631720416097909,0.8190530500989148,-0.6388831695026318,-1.9387759763813772,-1.6875338869147096,-1.876197338924936,-1.6091312190989369,-1.5059943034891334,-1.487436393545581,-2.0908365020033477,-2.1925567150395917,-2.0945433775155164,-2.076930413016126,-1.5390468019978145,-0.19459324829750196,-1.203060299661068
009_Escher_1,-0.8046890948463346,-1.4236832712604082,-1.5008060404259806,-0.9981527210703974,0.472335268594242,-0.7520381565555951,-2.1331965629434726,-1.5399725071744743,-1.6989741358937043,-1.7163663189151772,-1.2065097731493728,-1.326603984110401,-1.569338513870886,-0.7687595176605209,-0.42929374634417766,-1.7311217570015056,-1.4306173727792517,0.03690462902085447,-0.5320160065035279
010_Talich_1,0.1392451464757011,0.49763783506637754,0.13468772157669284,0.39690524054781495,-0.5430525200980305,-0.3371365373613943,0.005429889239023681,-0.19083989240650645,-0.2614970446409083,-0.2150749214892346,-0.37460829998375994,0.04940573643315639,0.07749861048956694,0.7352258246333321,0.009191970865569212,0.3703308449330134,0.30425349471792756,0.03690462902085447,0.07555112378781206
011_Prazak_1,-1.365067492479742,-2.1005122973527963,-1.9587442937867487,-1.043154590800008,-0.5843284464676326,-1.8436509728312607,-1.5499348032573443,-1.5610527042802052,-1.679282668890259,-1.537641152554912,-1.2065097731494674,-0.8262373816030832,-1.8163625043072842,-1.3014924638348078,-1.4096062873449158,-1.5981184277652585,-1.2602282697214726,-0.046434606813747524,-0.6499021661122885
012_Modigliani_1,-0.37362878897448404,0.1264735304350703,0.39636672349712404,-0.0831147032347927,1.1410052757818359,0.28632525404808157,-0.6333806094648573,-0.06435870977194205,0.44739576748373905,0.10663037795918166,0.5571213499618362,0.3889408230186267,-0.4988939027094984,0.14966931669877626,0.6696657989995146,0.3171308432718035,-0.18943886294495366,-0.5291368497549953,-0.3869253485234872
014_Guarneri_1,-0.6538179877911857,-0.8778534115084797,-1.4571928734392512,-0.6981402562062637,0.2989763778419027,-0.28610585692573615,-0.5222831314294306,-1.392411127434239,-1.364219196834854,-0.8584855203860672,-1.1399576552961768,-1.040680594183391,-1.2399699911082187,-0.8222170079882116,-1.2337132194871887,-1.1729293947624875,-1.0278794928245651,-0.3149721445030294,-0.25090285666718937
015_Tokyo_1,0.21907913159931336,0.21380630799538475,-0.4758966162376517,-0.47313090755815806,-0.039486218388856804,0.39726151586471736,1.0330815610668584,-0.10135656371223836,-0.22693655090313505,-0.3938000878494997,0.2909128785488627,-0.9334580943798536,0.8734678515917678,0.6079309316040462,0.2538111371102537,-0.37448646875728636,-0.3153432436739725,0.39804131763746314,-0.26903918891472667
016_Panocha_1,-0.9707351411443192,-1.6638484095512476,-0.366863698770797,-0.4731309075581687,-0.8897703016027033,-1.084846942005493,-1.4943860642395916,-0.8654061997904904,-1.2066874608071234,-2.1810517514517445,-1.8720309516819955,-0.004204173198537049,-1.2674186260046827,-1.5051642926816506,-1.507454443083553,-0.7202964548051959,-1.1363089220431277,-0.9353864557161425,0.5198912638516255
017_Endellion_1,-0.1948265905749829,-0.07002521907562359,0.22191405555016733,0.26189963135895156,1.2400674990688845,0.4616045477183657,-0.6056062399560204,0.019962078651040962,-0.1630397096236257,0.4640807106796103,0.12453258391568339,1.3539352796300115,0.8734692239548909,0.604120995455676,-0.036072585979151,0.3171308432718035,-0.43926259135231727,0.12950377994818127,0.6196410912129003
