,motif1,motif2,motif3,motif4,motif5,motif6,motif7,motif8,motif9,motif10,motif11,motif12,motif13,motif14,motif15,motif16,motif17
001_Belcea_1,16.689433,25.240408,17.157778,10.613923000000007,18.13430799999999,12.062290000000004,20.834013999999996,4.784762000000001,11.569841000000011,36.883084,17.595645999999988,25.404037000000017,16.888071999999994,30.85011300000002,27.973424999999963,37.15839,60.973265000000026
002_Tokyo_1,12.209432999999999,19.240408000000002,14.877778,8.073923,14.694308,10.882289999999998,18.191700999999995,4.2470750000000095,11.034421999999992,35.53,18.924149,21.844037000000014,17.74807199999998,29.910113000000024,26.342131999999964,43.70968300000004,47.153264999999976
003_Avalon_1,13.839592,21.694218,17.643968,7.873922999999998,15.014308,12.662289999999999,18.114013999999997,4.52476200000001,10.729840999999993,36.934580999999994,17.704149,24.604037000000005,15.228071999999997,28.73011299999999,21.182131999999996,36.289683000000025,38.55326500000001
004_Takacs_1,11.919592,18.940407999999998,13.617777999999998,7.7939229999999995,14.89430800000001,8.782289999999989,19.97401400000001,4.924761999999987,11.909841,35.974581,21.084148999999996,20.764037000000002,18.168071999999995,31.950113000000016,29.553425000000004,47.558389999999974,43.913265000000024
005_Schoenberg_1,17.989433000000002,21.420408000000002,16.457777999999998,10.862630000000003,18.499591999999993,10.768298999999999,18.75170100000001,4.3070749999999975,11.829840999999988,33.094581000000005,20.884149000000008,25.524036999999993,18.148072000000013,27.443719000000016,27.76852599999995,40.989683000000014,45.09326500000003
006_Doric_1,16.889433,26.894218,22.743967999999995,9.813923000000003,18.854308000000003,17.182289999999995,20.034014000000013,4.564762000000002,10.749840999999975,37.79458100000002,18.524148999999994,24.34435400000001,16.514286,33.36571399999997,23.971293000000003,49.05839000000003,53.97326499999997
007_Emerson_1,13.749433000000002,19.960408,13.213332999999999,7.918368000000001,14.254308000000002,7.94229,19.21401399999999,4.477687000000003,11.256916000000004,31.374581000000006,17.764149000000003,16.624036999999987,14.988072000000017,27.130112999999994,25.382131999999984,36.349683,43.873265
008_Hagen_1,19.329433,28.934217999999998,22.570634,10.427256999999997,19.094308000000012,14.682289999999995,18.97401400000001,4.644761999999986,11.88984099999999,41.67458100000002,19.62414899999999,26.984037,14.528072000000009,23.930113000000006,20.933425,50.138390000000015,49.23326499999996
009_Prazak_1,15.989432999999998,21.134218,15.123967999999998,9.333923000000006,15.654308,11.222290000000001,19.834013999999996,3.924762000000001,9.649840999999995,34.99458100000001,18.844148999999987,22.324037000000004,17.968072000000006,27.830112999999983,23.702132000000034,42.189683,47.21326499999998
010_Janacek_1,16.149433,24.840408,18.057778,9.013922999999998,16.914308000000005,13.022289999999998,19.774013999999994,4.744762000000009,11.109841000000003,39.15458100000001,20.12414899999999,27.384037000000006,17.54807199999999,27.470112999999998,27.373424999999997,43.67838999999998,36.933265000000006
011_Belcea_1,18.809433,24.354218,17.063968000000003,12.093923000000004,19.734308,10.482289999999992,18.774014000000008,4.5047619999999995,11.02984099999999,33.43458100000001,16.044149000000004,22.604037000000005,14.648071999999985,27.590113000000002,26.022132000000028,38.52968299999998,57.51326499999999
012_AlbanBerg_1,14.709432999999999,25.100407999999998,16.197778000000007,8.633923000000003,16.894307999999995,14.002290000000002,18.094014,4.157686999999996,11.516915999999995,35.794580999999994,15.864148999999998,20.864037000000025,13.54807199999999,26.070112999999992,27.093425000000025,42.598389999999995,41.11326500000001
013_Jerusalem_1,16.389433,23.474218,15.723968,8.933923000000007,16.014308,10.61208599999999,20.364218000000008,4.724761999999998,11.729841000000008,35.11458099999999,19.004149000000012,20.144036999999997,14.24807199999998,29.530113,26.67342500000001,37.338390000000004,40.693265
014_Panocha_1,13.439592,21.494218000000004,15.38619,8.391700999999998,15.374308000000006,11.742289999999997,21.634013999999993,4.124762000000004,9.529841000000005,36.07458100000001,16.984148999999974,21.384037000000006,15.688072000000005,25.410112999999996,21.442131999999987,36.84968300000003,50.753265
015_PavelHass_1,18.889433,23.814218000000004,17.043968,8.897324000000005,15.970906999999997,13.102289999999996,18.934014000000005,3.997686999999999,9.236915999999994,35.294580999999994,18.784149000000014,26.144036999999997,16.02807200000001,31.070112999999992,21.802131999999972,44.529683000000034,49.35621299999997
016_Wallinger_1,17.789433,22.074218,15.223968,9.753923000000007,17.154308,10.30229,22.394014,4.304761999999997,9.609841000000003,35.874581000000006,19.94414899999998,25.22403700000001,15.088072000000011,25.410112999999996,21.513424999999984,35.81839000000002,46.753265
017_Excelsior_1,18.229433,24.494218,16.903968,10.072426000000007,17.99580499999999,11.447188000000011,19.80911599999999,4.677687000000006,12.25691599999999,38.594581000000005,18.824149000000006,23.824354,16.667755,30.810112999999973,28.01342500000004,43.01839000000001,51.83916099999999
