,motif1,motif2,motif3,motif4,motif5,motif6,motif7,motif8,motif9,motif10,motif11,motif12,motif13,motif14,motif15,motif16
001_Brodsky_4,-0.4548327171148626,-0.8132005569354087,-1.0435451055157563,-0.6816648776349709,-0.762132093013901,0.4060086014364076,-0.6206128433210835,0.4314748219097847,0.351370131535045,0.24726984467081348,-0.07363395476870425,-0.32864198210993717,-0.38855338082292185,-0.37057287417532325,0.2938775583141312,0.22858381945227438
002_Duke_4,-0.1988906374017695,0.19274256229019576,-0.2026530703100782,-0.38744591466551287,-0.06946815873559661,0.15144427668445418,-0.05327325077757172,-0.6444697840171093,-0.9753414858139998,-0.9182617073138241,-0.10508231004440084,-0.016400623094907342,-1.119857934862628,-0.8645414025474362,-0.9167113870830054,-0.512478362654171
003_Skampa_4,0.7395636548795735,0.5461820366126969,0.4825182176352978,0.25448636817695525,0.2999526062128105,-0.23040221044352116,-0.14782984953480688,0.9111127787687726,0.1846978177977191,0.21639483667122666,0.2722979532642709,0.6705303667382086,-0.5985319161412421,0.0915267168824437,0.24236313510571902,0.7820353225444385
004_Prague_4,1.3083238320197843,0.8724338590642462,0.9496804594162264,1.3377470954736224,1.0387941361096247,1.0848468007750203,0.5613446411445911,1.196302915279517,1.5847452531911828,1.4050826446555489,1.5931288748447339,0.11890396581162334,-0.36683146337619654,0.21900246613978214,-0.09248061574877693,0.09840499052452722
005_AlbanBerg_4,-0.19889063740176444,-0.16069691203231992,-0.04693232304976498,-0.46768745002081485,-0.1156457543541721,0.6605729261883911,-0.1005515501561893,-0.812991228318917,-2.0820456490297787,-1.9988869872995814,-0.451014218077376,-0.7553718394305134,-1.4891305314569474,-0.4183762801468195,-0.1439950389571891,-0.24982341203416134
006_Panocha_4,-1.1942209473971321,-1.2210153349998476,-1.1058334044198739,-1.3102235712515617,-1.9627495790962075,-1.927497708790038,-1.8262094774760669,0.4055484458633584,-0.1619805947758964,0.13148856467234651,-1.551706652727784,-1.3694465121601107,-0.4464784940141755,-1.4381822742053685,-1.0454974451039258,-0.9815050601899006
007_PavelHass_4,0.682687637165554,0.7093079478384716,0.5448065165394209,0.2812335466287289,0.25377501059423496,0.15144427668445418,0.5502484242804259,0.053426128791740427,0.3489210485569855,-0.09235524332470714,-0.07363395476870425,0.3166568265211511,0.8206333570447404,-0.4821141547754661,-0.04096619254043799,0.6038051774808634
008_Emerson_4,-0.7392128056849655,-0.8947635125482937,-1.2615541516801927,-0.32057796853608345,-0.9006648798695618,-0.9629237831335502,-1.1107635203840887,-1.2278132450618207,-0.6753313210868284,-0.362511563321152,0.4295413020606924,-1.3174068060598694,1.1981809180903953,3.1167995228960867,-1.2773123495416707,-2.0696469984727903
009_Escher_4,-1.9620471865364115,-1.982269587386783,-1.8532929912693674,-1.6992405527692447,-1.820132383908128,-2.0123524837073457,-2.322631620951652,-1.927825398315469,-0.5598474083445208,-0.6737470814610412,-1.708948429106401,-1.7545441882786592,-0.37407210252509815,-1.0079516204619023,-1.4060984075627012,-0.6344253040134564
010_Talich_4,-0.2517042855505618,0.08399195480634442,0.07764427475848118,-0.41419309311727703,-0.6235993061582401,-0.9516677972407878,-0.43149964580656275,-0.5148379037849594,0.6158990941138097,0.21116152281529085,-0.3881159351081784,-0.07884941530018294,-0.7071415033748685,-0.8645414025474362,-0.5818676362284362,-0.41867302314703037
011_Prazak_4,0.19924148659637758,0.2199302141611574,0.4825182176352978,0.7894299372123478,0.2999526062127777,0.278726439060446,0.01764419829038824,1.4084759507712898,0.9356075929123363,0.46339490066796496,-0.513909356211054,0.06686321890683987,0.08932880300502388,-0.4183762801468195,-0.5561104246242666,-0.16539860647772678
012_Modigliani_4,-1.7914191333943528,-2.2818883860655386,-1.728081052812299,-1.0694989651856273,-1.9627495790962404,-1.8002155464140461,-1.74274909558298,-0.01138981132432532,-0.6044445860204689,0.8493325006628767,-1.1743248170013079,-2.150050430099993,-1.2646707178408034,-1.8843473966059625,-1.586398888792034,-1.8351336497049253
013_Janacek_4,2.1899021065871027,1.8783769782898507,1.323410252840976,0.7359355803088099,1.4082149010580318,2.4849505869108697,1.9560544728140952,2.0389101367885285,1.1980654853206099,2.848489268636522,1.3729919603324388,0.573671535964941,-1.4145077803243977,0.6014297139117522,2.071125159003362,2.4048676960180804
014_Guarneri_4,-1.0235928942550683,-1.221015334999843,-1.4484190483925619,-1.1363669113150519,-0.8083096886324436,-0.9940951846994417,-0.998839238350108,-1.9537517743619044,-0.6553306434383496,-0.6017928753179991,-0.9541879024889681,-1.3069982403570988,-0.2799437935892852,-0.8645414025474362,-1.483370042375246,-1.4130096219227795
015_Tokyo_4,0.9386297168786472,0.6277449922255867,0.2645091714708615,0.10737688669221912,0.39230779744992866,0.32115382651909985,0.24293947831934445,0.2690382980660845,0.5913782633167802,0.9496762766615503,0.3351946638157088,0.6497142761372096,0.07484752470721046,0.5536263079402559,0.7575073671895477,-0.014161416884052157
016_Panocha_4,-0.938278867684039,-0.7316376013225239,-1.1058334044198794,-1.470706641962175,-1.4547960272921725,-0.9940951846994417,-1.4952613818256766,-0.9426231085510854,-0.2686508755677672,0.0465822926734554,-1.9290869160364559,-1.3069982403571134,-0.43199721571636207,-1.2629031189765338,-1.380341195958495,-0.9439829243870497
017_Endellion_4,1.109257770020711,0.5189943847417402,0.3267974703749846,-0.37407232543962604,0.2075974149756923,0.4060086014364076,0.26657862800867005,0.6190443746929132,0.9180559982419171,1.7138327246514717,-0.16797744817807886,-0.005993098196664142,1.305756180021598,-0.22716265626083448,0.24236313510564583,0.09725634414228287
020_Amadeus_4,0.6258116194515344,1.1171227259029106,0.7628155627038461,0.6289468665017295,1.0849717317282002,0.32115382651909985,0.7031795392804607,1.1833397272562947,0.7313830068561313,-0.8719491953144329,0.7440248548179264,0.004414947103827978,-0.10616845401549328,0.5376918392831056,1.40143765729437,1.1666372145237336
021_Concord_4,-1.559852692973042,-1.7647683724190852,-1.915581290173496,-2.233001227837601,-2.5630583221374263,-2.0660358570587922,-1.6891993297917656,-1.4373404938780665,0.2422507677651053,0.8493325006628658,1.5931304472625383,-1.5463838026709031,1.0306118923630814,-1.804675053320143,-2.1788147556884074,-1.2066378750070594
022_Griller_4,-2.1611132485354823,-2.036644891128711,-2.071302037433809,-1.8852879079645957,-1.1777304535808835,-2.4790537457525987,-2.0862401240585307,-1.1193457137557716,0.6489312132841523,-0.44741783532002116,-2.5580524491332084,-2.0251538864939698,-0.07720589741986644,-2.712939766778549,-2.7969878341890606,-2.623098501564954
023_Moyzes_4,0.3698695397384363,0.5739243165818265,0.5441711758906096,0.0003881728851482271,0.2075974149756923,-0.6122486975714965,0.8922927367949814,0.5092539500490912,1.2047323778700965,1.289301364657071,0.6811265718487286,0.5456338231321849,1.1464621187456092,-0.0678179696891501,0.7317501555853051,1.0915929429180318
024_Vlach_4,-0.540146743685892,-0.8132005569354136,-0.5140945648306936,0.7626827587605788,-0.16182334997271478,-0.19923080887762973,-0.28339328125812985,1.118523787140229,1.6714148563345843,0.6718012046652142,0.30374630854001217,1.2117487223642869,-0.0699652582709546,0.3624126840542709,0.010548230667974163,0.16292008179725195
025_Stamic_4,1.0808197611637012,1.5793128077092582,1.8528607935260388,0.6958148126311494,0.39230779744992866,1.0848468007749903,1.3177974312026235,0.6907385823741122,1.1980654853206099,1.7292702286512651,0.7754716376759078,0.6080820949351967,-1.2357081612451664,0.3624126840542709,0.8090217903978867,0.5381414398258677
026_Amadeus_4,2.0761500711590637,2.6124435788058245,2.4445996331152133,1.9529321998643168,1.8238132616250144,1.254556350609666,2.039514854707182,1.4015976832061843,0.3355872634579934,-0.44941313271200295,1.0037410968625304,1.3366447455680321,-0.23649995869584492,1.2388084601983538,1.4529520805027822,1.5981417762565857
027_Albion_4,-1.3364109916821811,-0.8403882088063703,-0.6386711626389509,-0.6014233422796641,-0.43888892368403654,0.19387166414310805,-0.36058219673863634,-0.3592796475063647,-0.5819948253939308,0.16236357267193333,0.14650453216139522,-0.12048107609991729,0.06760688555829861,-0.05188350103199978,-0.35005273179076446,-0.31548714968918373
028_Alexander_4,0.3698695397384363,0.383056125386932,0.42022991873116367,-0.3473251469878571,-0.6235993061582401,-0.230402210443491,-0.549695394253157,-0.5407642798313949,-1.0486773038584092,-1.1266680113110843,0.11505774930345847,0.09808735480834581,-0.8736762037997589,0.18713352882548148,0.5772068859601418,-0.03407113116773529
029_Varese_4,-0.14201461968774487,-0.21507221577424318,-0.14036477140594408,-0.2403364331807815,-0.5312441149211219,-0.35768437281951293,-0.31330389736000197,-0.6185434079706922,0.0646937519068562,0.6949574606649098,-0.8283944813860478,-1.067613198445573,-0.7867885340128578,-0.7530001219472706,-0.4530815782075156,-0.512478362654171
030_CzechPhil_4,-1.1089069208261029,-1.0850770756450299,-0.763247760447197,-0.6682912884090936,-1.1315528579622751,-0.9516677972407878,-0.7262656589425006,-0.22356284681612573,0.6458474421353871,0.029831828958481573,-1.1428764617255667,-0.6096597256257544,1.7836383638495334,-0.8804758712045865,-0.9167113870830054,-0.2685844799356001
031_Sacconi_4,1.1864470574612909,0.32868082164500395,0.7005272637997341,0.7626827587605788,0.9464389448725065,0.5332907638124296,0.8922927367949646,2.4018794014385794,1.0647276343307548,1.096332564659615,1.7798943671562504,0.5983110220070845,0.10381008130284759,0.7926433377976919,0.42266361633505173,0.4630971682201392
032_Lipkind_4,1.2514478143057597,1.3889992446125317,1.323410252840976,0.963286597148848,0.8540837536354211,1.3394111255269738,1.175962533066754,0.15104671251937496,2.942236580062712,2.2774239628632538,0.9327149864722846,1.3086070327352761,0.3477750906902778,1.4140876154271433,1.6074953501279456,2.892655461455222
033_Cypress_4,1.5358279028758628,0.383056125386932,0.13993257366260425,-0.24033643318077672,0.06906462812003145,-0.060692660608845345,-0.14782984953482367,0.04257918121332578,-1.0020090560119745,-0.6712616433170748,0.24085117040633416,0.13971953601035866,-0.8374730080552202,-0.00408009506050353,0.3196347699182275,0.6038051774808634
034_Excelsior_4,1.223009805448755,1.4161868964834885,1.5102751495533453,0.8830450617935413,1.0849717317282002,0.6181455387297071,1.2468799821346803,1.312971607488463,-0.1619805947758964,0.5328636686670517,1.0270600522994637,1.8466389652926194,0.3499918123657066,0.7926433377977372,1.2779073583012661,1.5774666104025106
035_Jupiter_4,-0.938278867684039,-0.8132005569354087,-1.0124009560636893,-0.4944346284725885,-0.5312441149211219,-1.2062321219927714,-1.0933958371073431,0.7814808985366134,-0.18864816497386175,-0.6944178993167813,-0.7654961984168501,-0.21415400420669883,-0.2933907465846852,-0.3728491130229813,-0.09248061574885014,-0.09035433487202497
036_ProArte_4,-0.2232662766935571,1.1443103777738675,1.8528607935260388,3.7717403345846408,2.239411622191997,0.3635812139777537,0.7504578386590951,2.264046360303542,0.8756055599669001,-0.8565116913146394,1.0585068351574451,2.0964325729069158,0.31482294192360183,2.9733893049816436,-0.015208980936268516,-1.2723016126620552
037_Orlando_4,-0.5970227613999115,-0.215072215774248,-0.4518062659265595,-0.4810610392467017,-0.3927113280654938,-0.5273939226541586,-0.2771218148455329,-0.4050474791411467,-0.39532183400813564,-0.323917803321652,-0.8283944813860925,-0.016400623094907342,-0.1568529280578454,-0.976082683147579,-0.11823782735301962,-0.16539860647772678
038_Takacs_4,0.7111256460225638,0.11117960667730122,0.638238964895611,0.5620789203723097,0.39230779744989586,0.27872643906041583,0.5502484242804259,-0.8976486240233292,-1.2553509728926926,-1.0803554993116822,-0.010735671799461909,0.3582884873208855,-0.4175159374185384,0.2190024661397595,-0.2985383085823523,-0.09973486882273104
039_Jerusalem_4,-1.336410991682186,-1.6832054168062003,-1.3549866000363717,-1.4305858742845194,-1.223908049199426,-1.7577881589553621,-1.471622232136368,-1.2018868690153852,0.7047154366581518,0.2009573326714223,-1.551706652727784,-1.8378085506826702,-0.055483979973141175,-1.629395898091331,-1.6636705236045788,-1.1972573410563534
040_Keller_4,-0.6823367879709459,0.24711786603211422,0.2645091714708615,-0.0798533624701585,-0.5774217105396974,-0.6122486975714664,0.04128334797969703,-0.28150051936707665,-1.0153428411109573,-1.1729805233104644,-0.010737244217221725,0.34788096242265704,-0.43199721571636207,-0.753000121947248,-0.8394397522704237,-1.253540544760643
041_Matangi_4,0.28455551316740696,0.3009385416758696,0.8880275011609257,0.25448636817695525,0.6693733711612175,0.40600860143643774,0.810279070862873,-0.5476425473965005,-0.47532454460205054,0.09289480467284657,1.0899551904331417,0.25420855471813925,0.2196603076853755,1.1750705855696846,1.1438655412523826,0.48185823612157797
