start;measure
0.151836735;0.750
0.961451247;1
3.247891156;2
5.572063492;3
7.859954649;4
10.021587302;5
12.270294785;6
14.622766440;7
17.084081633;8
19.870476190;9
23.209795918;10
25.999092971;11
28.480725624;12
32.193015873;13
36.165079365;14
40.063129252;15
43.697052154;16
47.595102041;17
51.500408163;18
55.170612245;19
58.601360544;20
61.975510204;21
65.473015873;22
69.059047619;23
72.690068027;24
76.199183673;25
80.323628118;26
83.004081633;27
86.374603175;28
88.881632653;29
91.475011338;30
94.171428571;31
99.439455782;32
103.437641723;33
107.119455782;34
111.304126984;35
114.775510204;36
118.189569161;37
121.434557823;38
125.191836735;39
128.026122449;40
130.831746032;41
133.622857143;42
136.581224490;43
139.453242630;44
142.232380952;45
145.260408163;46
148.300045351;47
151.971700680;48
154.627482993;49
157.361632653;50
159.956462585;51
162.468571429;52
165.794104308;53
169.295238095;54
173.081541950;55
178.161632653;56
183.199637188;57
187.762358277;58
192.050793651;59
196.223129252;60
200.780045351;61
205.078639456;62
208.956371882;63
212.543854875;64
216.629841270;65
220.556190476;66
224.284444444;67
227.885714286;68
231.357823129;69
235.363265306;70
240.204625850;71
244.195555556;72
247.858503401;73
251.646258503;74
255.512380952;75
260.046077098;76
266.115192744;76.999
