,measure1,measure2,measure3,measure4,measure5,measure6,measure7,measure8,measure9,measure10,measure11,measure12,measure13,measure14,measure15,measure16,measure17,measure18,measure19,measure20,measure21,measure22,measure23,measure24,measure25,measure26,measure27,measure28,measure29,measure30,measure31,measure32,measure33,measure34,measure35,measure36,measure37,measure38,measure39,measure40,measure41,measure42,measure43,measure44,measure45,measure46,measure47,measure48,measure49,measure50,measure51,measure52,measure53,measure54,measure55,measure56,measure57,measure58,measure59,measure60,measure61,measure62,measure63,measure64,measure65,measure66,measure67,measure68,measure69,measure70,measure71,measure72,measure73,measure74,measure75,measure76,measure77,measure78,measure79,measure80,measure81,measure82,measure83,measure84,measure85,measure86,measure87,measure88,measure89,measure90,measure91,measure92,measure93,measure94,measure95,measure96,measure97,measure98,measure99,measure100,measure101,measure102
015_Moyzes_3,5.5726759999999995,5.890612,5.6257139999999985,5.154694000000003,5.884625999999997,5.8823130000000035,5.394965999999997,6.504353000000002,5.433334000000002,5.900272000000001,4.659319999999994,5.425578000000002,5.0285709999999995,4.869523999999998,5.527754999999999,5.354694000000009,5.654013999999989,5.982313000000005,4.792381000000006,5.47374099999999,5.463129000000009,5.103945999999993,4.796734999999998,4.621223999999998,4.295646000000005,4.362584999999996,5.374014000000017,6.598366999999996,4.554693999999984,4.745851000000016,4.924624999999992,4.975375000000014,5.00272099999998,5.185441999999995,4.604081000000008,4.368979999999993,4.066259000000002,4.14503400000001,6.055917999999991,5.729388,5.911088000000007,7.327822999999995,3.2347850000000165,4.646393999999987,5.014603999999991,4.868571000000003,4.386348999999996,4.660318000000018,4.5256689999999935,4.382992999999999,4.3309300000000235,4.490838999999994,4.4970519999999965,4.490158000000008,4.294421999999997,4.569388000000004,3.609568999999965,3.355510000000038,2.8524269999999774,2.7434920000000034,2.5651700000000233,2.746665999999948,2.778096000000005,2.77632600000004,2.7923359999999775,3.1595009999999775,3.3648070000000416,3.96421799999996,4.840272000000027,4.969296999999983,4.789660000000026,4.909296999999981,4.715057000000002,4.876643999999999,4.827437000000032,5.077414999999974,5.0917010000000005,5.656643999999972,4.920816000000002,5.2509750000000395,5.165940999999975,4.76789100000002,4.911791999999991,4.688526000000024,4.357822999999996,4.649931999999978,5.3521089999999845,8.48575900000003,6.7780500000000075,8.553832999999997,8.171382999999992,6.339092999999991,6.121269999999981,4.869478000000015,5.146983999999975,4.947075000000041,5.081133999999963,4.961315000000013,4.7374829999999974,5.175896000000023,6.732969999999966,8.82310700000005
016_Psophos_3,5.518662,4.9446259999999995,5.505713999999999,5.174694000000002,5.004625999999998,5.182313000000004,5.474965999999995,6.464353000000003,4.813333999999998,5.5202719999999985,4.619320000000002,5.885578000000002,4.568571000000006,5.189523999999992,5.647755000000004,6.294693999999993,5.094014000000001,5.6623129999999975,4.941360000000003,5.044762000000006,5.043128999999993,4.981904999999998,4.938776000000004,4.141224000000008,3.995646000000008,4.3825849999999775,4.674014,7.298367000000013,5.2069390000000055,6.033605999999992,5.402857000000012,5.937142999999992,4.982720999999998,5.525441999999998,4.904080999999991,4.788980000000009,4.279047999999989,4.452245000000005,5.537959000000001,6.107347000000004,6.351088000000004,8.447823,3.6747849999999858,5.26639400000002,5.117460999999992,5.105714000000006,4.726348999999999,4.740318000000002,4.7520179999999925,4.516643999999985,5.150930000000017,4.810838999999987,4.4970519999999965,3.910158000000024,3.474422000000004,3.5893879999999854,3.029568999999981,3.1555099999999925,3.132427000000007,3.0634919999999966,3.1051700000000437,3.306666000000007,3.098095999999998,3.276325999999983,3.0523359999999684,3.4795010000000275,3.4048070000000052,4.184217999999987,4.920272000000011,5.009297000000004,4.749660000000006,4.969296999999983,4.755057000000022,4.836643999999978,4.867436999999995,5.517415000000028,5.291700999999989,5.0766439999999875,5.020816000000025,5.5109749999999735,5.105940999999973,5.167891000000054,4.851791999999989,4.588526000000002,4.457822999999962,4.449932000000047,5.23210899999998,7.265759000000003,5.478049999999996,7.073832999999979,6.991383000000042,5.999092999999959,5.981269999999995,5.2494780000000105,5.5069839999999886,5.047075000000007,5.58113400000002,5.581315000000018,5.1574829999999565,6.524331000000018,6.384535000000028,8.023106999999925
017_Melos_3,5.923696,5.319592,6.005714000000001,5.634694,4.544626000000001,6.302313000000002,5.574965999999996,6.304352999999999,5.713334000000003,5.100271999999997,5.19932,6.305577999999997,4.568571000000006,5.509523999999999,5.047754999999995,6.714694000000009,5.654013999999989,6.24231300000001,5.592381000000003,5.173740999999993,5.863129000000001,5.3639459999999985,4.416735000000003,4.581223999999992,3.975646000000012,4.122584999999987,4.494014000000021,8.858366999999987,4.114694000000014,6.045850999999999,5.222856999999976,5.3371429999999975,5.142721000000023,4.965441999999996,4.322176999999982,4.090884000000017,4.266258999999991,3.8850340000000188,5.2783669999999745,6.886939000000012,6.891087999999996,9.847823000000005,3.234784999999988,5.706394000000017,4.677460999999994,5.125713999999988,4.746349000000009,4.900317999999999,4.545668999999975,4.522993000000042,4.622221999999965,4.159547000000032,4.177052000000003,3.6501579999999763,3.214422000000013,3.1693879999999695,2.8695690000000127,2.955510000000004,2.8524270000000342,2.783491999999967,2.845169999999996,3.0866660000000365,3.098095999999998,3.0778229999999667,3.3708389999999895,3.919501000000025,4.205079000000012,6.16394600000001,5.440271999999993,5.669296999999972,4.969660000000033,5.269296999999995,4.995056999999974,5.0766439999999875,5.487437,5.977415000000008,6.411700999999994,5.856644000000017,5.600816000000009,5.4309749999999894,5.28594099999998,4.887891000000025,4.511792000000014,4.408525999999995,4.097823000000005,4.269931999999983,5.072109000000012,7.625759000000016,5.878049999999973,6.413833000000011,6.031383000000005,5.919092999999975,6.121269999999981,4.9094780000000355,5.366984000000002,4.707074999999975,5.101134000000002,5.64131500000002,5.037483000000009,6.315896000000009,6.8729699999999525,7.803107000000068
018_Delme_3,5.9983900000000006,5.544897999999999,5.925713999999999,6.174694000000002,6.164625999999998,6.162313000000001,6.398639000000003,6.740679999999998,6.5878919999999965,5.865714000000004,6.479319999999994,7.725577999999999,5.668571,5.909524000000005,6.227755000000002,7.734694000000005,5.8940139999999985,5.902312999999992,5.832380999999998,5.853740999999999,5.963128999999995,6.123946000000018,5.796734999999984,5.068979000000013,4.467891000000009,4.722584999999981,5.69401400000001,7.058367000000004,5.394693999999987,6.905851000000013,5.542856999999998,6.857143000000008,6.02272099999999,6.145442000000003,5.4295239999999865,6.183537000000001,5.346259000000003,5.205034000000012,7.183264999999977,8.062041000000022,7.491087999999991,9.667822999999999,3.9347849999999767,5.366394000000014,4.957461000000023,5.245713999999964,4.946348999999998,5.240318000000002,5.03369600000002,4.794965999999988,5.290930000000003,4.630839000000037,4.31705199999999,4.55015800000001,4.134421999999972,4.110567000000003,3.568390000000022,3.4955099999999675,2.972427000000039,3.0034919999999943,3.105169999999987,2.806666000000007,2.7380959999999845,2.696325999999999,2.6923360000000116,2.8995009999999866,3.5648070000000303,5.604217999999946,5.300272000000007,5.309297000000015,4.909660000000031,5.7845349999999485,4.599819000000025,5.036644000000024,5.227436999999952,5.997415000000046,5.711701000000005,5.716643999999974,5.500815999999986,5.6709749999999985,6.125941000000012,5.547890999999993,5.351791999999989,5.188526000000024,4.7578229999999735,5.109932000000015,6.912108999999987,8.245759000000021,6.038049999999998,7.773833000000025,7.251382999999976,6.179093000000023,6.04126999999994,5.629478000000063,5.70698399999992,5.327075000000036,5.921134000000052,6.28131499999995,5.797483000000057,6.361201999999935,7.747663999999986,10.643106999999986
019_Novak_3,5.432812,5.610476,6.745714000000001,6.274694,5.744625999999997,6.342313000000004,5.574965999999996,6.624352999999999,5.7933340000000015,5.300272,5.619320000000002,5.683944999999994,5.030203999999998,5.449524000000011,5.5789120000000025,6.843536999999998,5.274013999999994,5.722313,5.712381000000008,5.573740999999998,5.363129000000001,5.1239459999999895,4.616735000000006,4.461223999999987,4.3756460000000175,4.902584999999988,5.794014000000004,6.678367000000009,4.334693999999985,5.065851000000009,5.022856999999988,5.117143000000027,4.50272099999998,5.005442000000016,4.284080999999986,4.188980000000015,3.826258999999993,4.265033999999986,5.606530000000021,5.7787759999999935,6.031087999999983,6.48782300000002,3.234784999999988,3.509568999999999,3.4742860000000064,3.625713999999988,3.706349000000017,3.6803179999999998,3.7056690000000003,3.5429929999999956,3.8309300000000235,3.3908389999999713,3.5570519999999988,3.4501579999999876,3.4544220000000223,3.4893880000000195,3.3295689999999922,3.2555099999999584,3.0749210000000176,3.440997999999979,3.4451700000000187,3.646665999999982,3.2980960000000437,3.490068000000008,3.638593999999955,4.399501000000043,4.044806999999992,4.78421800000001,4.860271999999952,4.8492970000000355,4.469659999999976,4.589296999999988,4.535238000000049,4.676462999999956,4.567437000000041,5.537414999999953,4.971701000000053,4.976643999999965,4.880815999999982,4.930975000000046,5.045940999999971,4.858457999999985,4.961225000000013,4.948526000000015,4.537823000000003,5.109932000000015,6.23210899999998,7.625759000000016,7.3580499999999915,7.673833000000002,6.111382999999989,5.339092999999991,5.356417000000022,3.5743309999999724,4.186983999999995,3.7470749999999953,4.101134000000002,5.401315000000011,4.557482999999991,4.720113000000026,4.988752999999974,4.923107000000016
020_Smetana_3,5.748322,5.094966000000001,5.4257139999999975,5.114694,4.604626000000003,5.102312999999999,4.534965999999997,5.984353000000006,4.473333999999994,4.520272000000006,4.119319999999995,4.625578000000004,3.8085710000000006,4.049523999999991,4.118912000000009,5.563536999999997,4.8940139999999985,4.625714000000002,4.228980000000007,4.713740999999999,4.403128999999993,4.4937419999999975,4.153469000000001,3.634693999999996,3.3756460000000033,3.7625850000000014,4.494014000000007,5.798366999999999,4.874694000000005,4.865850999999992,4.222857000000005,4.3371429999999975,3.8827210000000036,3.985442000000006,3.3640809999999988,3.1289799999999843,2.9998640000000023,3.6514290000000074,6.058367000000004,4.770203999999978,5.240000000000009,6.939999999999998,2.73043100000001,4.646393999999987,3.9974610000000155,4.405713999999989,3.906349000000006,4.260317999999984,3.5456690000000037,3.302993000000015,3.4909299999999917,3.1537409999999966,3.0800000000000125,3.1643080000000054,2.8344219999999893,2.7893880000000024,2.6295690000000036,2.495509999999996,2.2724269999999933,2.2434920000000034,2.2451700000000017,2.1866660000000024,2.2580959999999948,2.136325999999997,2.332335999999998,2.439501000000007,2.6248069999999757,3.684218000000044,4.960271999999975,4.869297000000017,4.849659999999972,5.269296999999995,4.975057000000049,5.236643999999956,5.287437000000011,5.677414999999996,5.031700999999998,5.2366440000000125,4.760815999999977,5.030975000000012,4.765940999999998,4.587891000000013,4.3917920000000095,4.088526000000002,3.777823000000012,4.349931999999967,5.892109000000005,6.885759000000007,4.998049999999978,7.073833000000036,5.451382999999964,5.379093000000012,5.821270000000027,4.66947799999997,4.946983999999986,4.487075000000004,4.881134000000031,5.181314999999984,4.657483000000013,4.8758960000000116,6.212969999999984,7.72310699999997
021_FineArts_3,5.523696,5.519592,5.405714,5.494693999999999,5.904626,5.242313000000003,5.706801999999996,5.692517000000002,5.393333999999996,5.180272000000002,5.399320000000003,5.225577999999999,4.928571000000005,5.829523999999992,5.278912000000005,6.463537000000002,5.274013999999994,5.742312999999996,4.792381000000006,5.533740999999992,5.0231290000000115,5.103945999999993,4.616735000000006,4.321223999999987,4.235646000000003,4.262585000000001,4.934014000000019,6.918366999999989,5.074693999999994,5.325851,5.402311999999995,5.157688000000007,5.02272099999999,5.405442000000022,4.884080999999981,4.748980000000017,4.806258999999983,4.345033999999998,5.858367000000015,6.166938999999985,6.551088000000021,9.007823000000002,3.234784999999988,4.746394000000009,4.617460999999992,4.665714000000008,4.246348999999981,4.880318000000017,4.345668999999987,4.2629929999999945,4.210930000000019,3.990838999999994,3.797052000000008,3.850157999999965,3.5944220000000087,3.841859999999997,3.7570970000000443,3.7555099999999584,3.7724269999999933,3.683492000000001,3.8851700000000164,3.826665999999989,3.7180960000000027,4.06857100000002,4.160090999999966,4.239501000000018,4.344807000000003,5.884218000000033,4.720271999999966,4.469296999999983,4.709660000000042,4.669296999999972,4.515057000000013,4.656643999999972,4.487437,5.217415000000017,4.951701000000014,5.2952829999999835,4.812653000000012,4.920499000000007,5.165940999999975,4.667890999999997,4.691792000000021,4.528525999999999,4.157823000000008,4.289932000000022,4.9166439999999625,7.941224000000034,6.178049999999985,6.993832999999995,6.391383000000019,5.7390929999999685,6.041269999999997,4.5894779999999855,4.546984000000009,4.087075000000027,4.3811339999999745,4.64131500000002,5.177482999999995,5.335895999999991,6.91297000000003,10.263106999999934
022_Prague_3,4.3536280000000005,4.2096599999999995,4.405714,4.034694000000002,4.384625999999997,4.702313,4.414966,5.144352999999999,4.113334000000002,4.080272000000001,4.079320000000003,4.345577999999996,3.868571000000003,4.229523999999998,4.187755000000003,6.074693999999994,4.034013999999999,4.542313000000007,4.112380999999999,4.453740999999994,3.9631290000000092,3.963945999999993,3.5367350000000073,3.1812240000000003,3.0156459999999896,3.582585000000009,4.614013999999997,6.018366999999998,4.234694000000005,4.585851000000005,4.442857000000004,4.737142999999975,4.042721,4.145442000000003,3.7440810000000226,3.6489799999999946,3.4662589999999796,3.5050340000000233,5.778367000000003,4.5069389999999885,4.571088000000003,7.607822999999996,2.154785000000004,2.6463939999999866,2.7574610000000064,2.5257139999999936,2.4863490000000183,2.460318000000001,2.645668999999998,2.562993000000006,2.9309299999999894,2.210838999999993,2.4970519999999965,2.5701580000000206,2.054421999999988,2.2893880000000024,2.1495689999999854,2.195510000000013,2.1924270000000092,2.023491999999976,2.1108839999999987,2.2409520000000214,2.298095999999987,2.156326000000007,2.152335999999991,2.5395010000000013,2.9848070000000178,4.104217999999975,4.620272,4.3892970000000275,4.354195000000004,4.444761999999969,4.295056999999986,4.376644000000056,4.38353699999999,5.501314999999977,4.55170099999998,4.356644000000017,4.280816000000016,4.050974999999994,4.505941000000007,3.9878909999999905,3.9917919999999754,3.808526000000029,3.5978230000000053,4.089931999999976,5.392109000000005,7.725758999999982,6.158050000000003,7.393833000000029,7.347301000000016,6.523174999999981,4.961270000000013,3.0294779999999832,3.2469839999999976,2.6470750000000294,3.0316100000000006,3.4708389999999554,3.8774830000000406,4.564466999999979,6.144399000000021,7.4631069999999795
023_VanDingstee_3,5.023696,4.719592,5.445713999999999,4.919728000000003,5.459591999999997,5.342313000000001,5.459319000000001,5.799999999999997,5.087892000000004,5.4857140000000015,4.7993199999999945,5.465578000000008,4.988570999999993,5.289524,5.484490000000008,5.897959,4.594013999999987,5.502313000000001,4.77238100000001,5.11374099999999,4.923129000000003,5.023946000000009,4.536734999999993,4.301224000000005,4.255645999999999,4.46258499999999,4.934014000000019,5.598366999999996,4.7746939999999825,5.005851000000007,4.651700000000005,4.908299999999997,4.362720999999993,5.0854420000000005,4.66408100000001,4.848979999999983,4.52625900000001,4.185034000000002,5.4383669999999995,5.346938999999992,5.3710880000000145,7.227823000000001,3.234784999999988,4.666393999999997,4.317461000000009,3.9257139999999993,3.946348999999998,3.920318000000009,4.125668999999988,3.7029930000000206,3.770929999999993,3.5508389999999963,3.697051999999985,3.5630840000000035,3.221496000000002,3.1818600000000288,3.297096999999951,3.1555100000000493,3.1524269999999888,3.283491999999967,2.9051699999999983,3.146666000000039,3.198095999999964,3.146938000000034,2.861723999999981,3.439501000000007,4.044806999999992,4.464218000000017,4.460271999999975,4.509297000000004,4.149659999999983,4.649297000000047,3.9750569999999925,4.456643999999983,4.367436999999995,4.957415000000026,4.631700999999964,4.67664400000001,4.560815999999988,4.710975000000019,4.8059410000000184,4.647890999999959,4.331792000000007,4.348525999999993,4.137823000000026,4.149931999999978,4.6721090000000345,6.325759000000005,4.6980499999999665,5.8738329999999905,6.0113830000000235,4.939093000000014,4.341270000000009,4.5894779999999855,4.646983999999975,4.3070749999999975,4.681134000000043,4.961314999999956,4.597483000000011,5.155895999999984,5.63297,7.903107000000034
024_Wihan_3,5.543696,5.239591999999999,5.405714,5.254694000000001,4.624625999999999,6.7823129999999985,5.274965999999999,6.464353000000003,5.513334,5.5202719999999985,5.079320000000003,5.565578000000002,5.0485709999999955,5.1095240000000075,5.327754999999996,6.634693999999996,5.314014,5.5453059999999965,4.969388000000009,5.173740999999993,4.743128999999996,4.923946000000001,4.556735000000003,3.861224000000007,3.6956459999999822,3.994558000000012,5.242041,7.518367000000012,4.074693999999994,5.545850999999999,4.442857000000004,5.417142999999982,4.662721000000005,5.105442000000011,4.3040809999999965,4.708979999999997,3.8462590000000034,3.8964619999999854,6.526939000000027,5.766938999999979,5.551087999999993,7.3678230000000156,3.234784999999988,4.586394000000013,3.877461000000011,3.945713999999981,3.6663489999999967,3.5803180000000054,3.7056690000000003,3.382992999999999,3.8109300000000133,3.3508390000000077,3.4170519999999556,3.4701580000000263,3.1744219999999927,3.4093880000000354,3.109568999999965,3.035509999999988,2.9924270000000206,3.123491999999999,3.005170000000021,3.306666000000007,3.438095999999973,3.5763259999999946,3.312336000000016,3.8195010000000025,3.8848069999999666,4.687982000000034,4.57650799999999,4.629297000000008,4.449659999999994,4.5292969999999855,4.41505699999999,4.376643999999999,4.6074370000000044,5.137415000000033,4.911700999999994,4.836643999999978,4.4608160000000225,4.6709749999999985,4.405940999999984,4.26789100000002,3.9917919999999754,3.972925000000032,3.6134239999999522,4.309932000000003,6.312109000000021,8.845758999999987,5.918049999999994,7.2938330000000065,6.631383000000028,5.679092999999966,5.021270000000015,4.20947799999999,4.286984000000018,3.6470749999999725,3.9316100000000347,4.450838999999974,4.157483000000013,4.335895999999991,5.63297,7.323106999999993
