,measure1,measure2,measure3,measure4,measure5,measure6,measure7,measure8,measure9,measure10,measure11,measure12,measure13,measure14,measure15,measure16,measure17,measure18,measure19,measure20,measure21,measure22,measure23,measure24,measure25,measure26,measure27,measure28,measure29,measure30,measure31,measure32,measure33,measure34,measure35,measure36,measure37,measure38,measure39,measure40,measure41,measure42,measure43,measure44,measure45,measure46,measure47,measure48,measure49,measure50,measure51,measure52,measure53,measure54,measure55,measure56,measure57,measure58,measure59,measure60,measure61,measure62,measure63,measure64,measure65,measure66,measure67,measure68,measure69,measure70,measure71,measure72,measure73,measure74,measure75,measure76
001_PavelHass_3,-0.20001629895915887,-0.2753731539736482,-0.47325200874994955,-0.7000475921583768,-0.6966804689318797,-0.5233706545019692,-0.6422465296896651,-1.3783304721248373,0.9905452067262366,-0.6542819906202768,-0.4232335880095823,0.21025112352608144,0.19138941352492397,0.22289832877973184,0.3937054652463838,-0.3179058528273272,0.1883116320021689,0.17209119541345058,-0.2690162905285537,-0.2240206502305415,-0.29632122028052205,-0.13091553281648366,0.1655880345677902,0.3037050792861373,-0.013720297222241579,1.8097244318963375,-0.6243860055580541,-0.4852446673493852,-0.38547099135908813,-0.5407380739686307,0.028797925874962996,-0.6955921901117295,0.3657086001864331,-0.2435824306695903,1.7434248535493484,0.9216682625214253,1.384505017409478,0.1984458837490543,0.8311236287265381,0.6048360326654395,0.49528187673487095,-1.2739854452205106,0.5464971568488839,-0.638794326817241,-0.28741540330397686,-1.5458768924445512,-0.8758886941070918,-0.53350465047374,-0.29198933210736305,-0.16217414130567734,0.3643040870760649,0.38278651102595823,0.31099393860860125,0.42778539786609887,1.0086978373717634,0.7137105981165014,0.22630840627363713,0.06999205873216446,0.07390092264025384,0.45753382378092594,-0.0532875889909397,0.11980756900324373,0.3025473388871085,0.026397325921133506,-0.25154251934702887,-0.016873530221339507,0.11286396525441698,-0.15485849476351413,0.15126930852792098,1.5225115251673598,0.4376990095673155,-0.9521027777321774,-1.3394448082719976,-0.34700151546571106,-0.1019069983219842,-0.1990488301757567
002_Travnicek_3,-0.20001629895915887,-0.796913218317671,-0.589255497480308,-0.3358639727738986,-0.3167809355000394,-0.6397209571324163,-0.8441849381233175,0.13953915602636704,1.926102562111044,-0.2294010419802283,-0.8365476388001782,0.5379015954951526,-0.2498745376080999,-0.3688671458567421,-0.22853018384990628,-0.4280400772050751,-0.8289029962212493,-0.498216393537474,-0.37926886861402126,-0.35736627536779353,-0.6160923213026419,0.22785770058882238,-0.602459099577374,-0.25302072627879046,-0.20746465372433812,0.8396282172567465,-0.2553180863426561,-0.7974547858453851,-0.3082606715644721,-0.8776581031081571,0.4625364672483553,-0.7826616418110918,-0.550779579690703,-0.4586457927820103,-0.511311583170279,-0.6706904771112285,-0.40663783728112063,-0.0059146776818641625,-0.18895827096168982,-0.6299332802086102,0.042805694740456646,0.5006277116115566,0.05742053040437153,0.1935676205545143,-0.22811209048075642,0.18499824222722294,1.5353624209162655,-0.030295339179490777,-1.200474819357865,-0.74539822958858,-0.919549640792721,-0.7136880644360123,-1.0587458436760842,-0.40771463056770835,-0.3172437150883146,-0.0672203819031249,-1.0539156459606704,-0.5617737846670241,-1.1672989818699444,-0.9546076076416683,-0.2849727585166097,-0.7656264341416222,-0.7599663135876846,-0.9997358930353433,-1.1419585170358548,-0.7199372894439231,-0.8601012524561633,0.14253129159905126,0.5995224808010061,-0.07377846129994114,0.2921199210399088,-0.09940648151656169,0.39869381634846596,-0.5380816451273788,-0.42345820661966405,-0.1318026037650449
003_Prazak_3,-0.41279959572422,-0.2753731539736459,-0.010026877551899705,-0.45643302969811944,-0.3167809355000394,-0.2906700492410645,-0.7432157339065003,-0.6777752591319721,-0.4907539392997142,-0.6542819906202768,-0.5058963981677161,-0.17200776043784466,-0.47050651317460207,-1.3551429369175494,-1.07703334170848,-0.8685769747160862,-0.32029568210955023,-1.0568060509965975,-0.2690162905285341,-0.3129177336553762,-0.40291158728790166,-0.028408894700702743,-0.2558272096587274,-0.07702361183010802,0.9307834407255845,0.11205605627708551,-0.7720131732441714,-0.38117462785074324,-0.5140039792579435,0.02066355408749552,0.24566719656165914,-0.7391269159613951,-0.2452835197316721,0.912383140684691,-1.1990266939737377,-1.1131518507449307,-0.16459150556615257,-0.2474317048274723,-0.7840060457799335,-0.6299332802086102,-0.5906609600515176,-0.43337921303692084,-0.2360254454623637,0.286052281373642,-0.579089851928401,0.46876656618097834,1.6246680177689856,0.7245186277619277,0.19719516102759133,-0.48618752368512913,-0.6788270668173307,-0.38474569179739,-0.6229195493128155,-0.407714630567617,-0.6266300773290497,-0.29034351905158956,-0.2004329444711826,-1.079698376147696,-0.6667886108756594,-0.860464845546784,-0.6904218051866556,-0.13317357475238092,-0.46482363234471447,-0.4622375402486041,0.026712479930615547,-0.5324536203178786,-0.033080817402183896,-0.40268331673235386,-0.9082381895719301,-0.14029054406944746,0.3406462838823547,-0.004662448603663127,0.5567064185866899,0.7230472106399972,1.2585019598602154,-0.921945764091016
004_Dante_3,0.43833359133602445,0.14185889750157005,0.918789856014321,0.7566868853795249,0.9178925481534399,0.523782069172076,0.7713223293459377,1.1903719755156543,-1.7381637464794804,0.8752894244839282,1.3953482354690843,-0.20754691496408195,-0.9861896296662054,-0.1716119876445841,0.11087107929351919,-0.15270451626069562,0.0752877844217735,-1.112665016742498,-0.15876371244308612,-0.8463002342042896,0.39651616526743577,-0.5921954043375706,-0.2558272096587274,0.15763920743473245,0.18002405927987217,0.5364731501818986,-0.32913167018576717,-0.4852446673493852,0.15478007314793854,0.784133655713225,-1.1991448006558256,0.04331400478961909,0.3657086001864331,0.08455990309554193,-0.15081407286556683,-0.2419785087485977,-0.6486841689960543,-0.3774793348289587,-0.6139923958319157,0.1558290098022357,-0.1381847780572319,0.31382632668178145,-0.725102071906876,-0.2688556835408615,-0.10950546483423128,-0.56504764946386,-1.1735740169495061,-1.036713961767989,-0.29198933210726374,-0.5509902001609458,0.1235815131005606,-0.20411247023582715,-0.018665070447723045,-0.47198386352418314,-0.273045663339683,-0.9597129304969306,-1.0539156459606704,-1.1891927032791778,-0.45516302987108054,-0.9546076076416014,-0.0532875889909397,-0.44940000444704653,-0.5238521685932582,0.026397325921133506,-0.36284451905818155,-0.06374444750280067,0.2101604870254612,0.1425312915991217,-0.2969838637451063,0.3585500767016136,-0.8967759686002402,-0.762614711906515,-1.8661534823992112,-0.5762976710597991,-0.9181523732313601,-0.3167297263945143
005_Skampa_3,-1.0511494860194008,-0.9012212311864756,-0.589255497480308,-0.7000475921583768,-0.6966804689318713,-1.1051221676542256,-0.9451541423401527,-0.44425685480100324,0.21091407723888092,0.7053370450279087,-1.0845360692745505,0.37407635951062673,1.0187593218993167,1.9488809631361579,1.4119092546766803,0.5631679421946754,0.9794785650647964,0.7865398186184945,0.9988883574543527,0.34383169441635975,0.6216616679787845,-0.23342217093230097,-0.5034214167434599,0.5096334363319723,0.0831518810288325,0.09968126643909918,-0.2402527338802966,-0.7974547858453851,-0.5140039792579435,-0.6979937716690648,0.3550849725987959,-0.7403110605045171,-0.4896803676989055,0.15966137329120192,1.8664104773704244,1.656603065428774,0.22268262517778947,-0.15529946135294934,0.23954838270865542,-1.0789403030718139,-1.1336323784448405,-0.993783367825848,-1.2141786983515275,-1.8410949174652442,-1.1176617828298214,-1.315093541155025,-0.9354257586755578,-0.4706034865620147,-0.9209408232807339,-0.48618752368503704,-0.27762277685838505,0.4924339685722176,0.014513762733095638,0.47675212645555515,0.9644997856231319,0.23027713429486318,0.8130777635475936,1.1101881664807762,0.12680731789141736,0.5516765858757433,0.4100827500604826,0.4360339986978195,1.0699183101188476,0.31957824562300385,1.195383476897165,0.07686830434171604,1.0371809220795098,-0.055728565975992336,-0.15560481321018552,-0.3554371782038219,1.4567526292588522,0.8954058640683347,0.5567064185866899,0.4555350291135973,-0.7450094149172736,-0.7202070848588328
007_Panocha_3,-1.0511494860194033,-1.3184532826616915,-1.4012799185927967,-1.4284148309273221,-1.1715548857216782,-0.9887718650237785,-0.5412773254728389,0.022779953860892994,-0.3348277134022486,-1.0791629392603406,-0.25790796769334384,-0.44504982041208035,-0.24987453760808032,-0.22092577719763234,-0.45479769261218994,0.39796660562804376,0.7534308699040456,0.11623222966755012,-0.9856580480841026,0.4871560171680255,-0.24302603677684173,-0.13091553281648366,-0.8005344652451669,-0.8983434792570705,-0.5222992330403031,0.05142504286212453,0.8518856713033806,0.24324560914125654,-1.2341055561851662,-1.2369867659864693,0.13723256121833677,-0.5649880125627326,-0.9784740636333723,-0.6737091548944303,-0.30633554346850533,-2.201804649834904,-0.9875490333969821,-0.43321403340102616,0.15106902893428548,0.4925842769497183,-0.22868001445614047,0.03362424928738424,-0.04039479488458655,-0.45382500517898555,-0.8211452187134664,-0.565047649463942,-0.07213832243265346,0.4100128082030331,0.2670786600468989,0.5506552999289509,0.6852675190430617,-0.768511793209064,-0.4983977509233227,-0.9218684942191415,-0.2288476115910514,-0.40190508762576904,0.2263084062735613,-0.5869739040563383,-0.7196950061267477,-1.0487503697364855,0.46800404244194127,0.24629814088105606,-0.40579509609608694,0.9059400850267445,-0.3071935192026052,-0.06374444750286729,-0.8601012524561633,-0.15485849476358457,0.7217733459663825,-0.4063388751473309,1.1413312707828676,-0.11358492604191932,-0.5862882738768427,-0.9966739563156636,-0.819213539909035,-1.2245537829392907
008_EnergieNove_3,0.43833359133602445,0.5590909489767906,1.1505300254509465,0.8783606326158822,1.012867431511398,0.7564826744329807,0.9732607377795902,-0.21073845047007586,0.05498785134142919,0.1954799066598354,0.1554060830972668,-0.44504982041208035,-0.47050651317460207,-0.9113188309401853,-1.3033008504707837,-1.4192480966048255,-0.9419268438016246,-0.7216522565211353,-0.765152891913148,-1.1129914844787778,0.2366306147563948,-0.5921954043375706,-0.404383733909581,-0.07702361183014969,0.010497747340535548,1.7490934184813334,2.0329030127926333,2.116506320117182,2.263530674604504,1.3681460398809426,0.35410183190498157,1.1328662955745987,0.549006236161869,0.40160765566768875,2.194372140893274,1.840336766155622,1.4329142837524578,0.8301058008991348,1.851205528414766,2.513115879834614,2.0337008955154166,1.6214360211896763,1.3607363783850495,1.273395399112813,2.5591436122132163,1.8581775390765745,0.8085637051965587,3.832779642462689,3.691370111991182,3.4667757413432803,3.0122524008052434,1.6985560015804475,2.1165600152565553,0.7491315626482903,-0.7592242325750701,-0.9597129304969306,-0.41380361984351666,-0.3679852497934522,0.2855265036447575,0.2692482995912244,-0.342894050897986,-0.8288717200805734,-0.051623878604489214,-0.9508724064184111,-0.1958915194915316,-0.6730663721623953,-0.17902560005871562,-0.4026833167324243,-0.5165362300100115,-0.3269317623308881,-1.1879341456550192,1.8902182096534328,-0.8127361341446343,2.78671261098679,0.12070537665322985,2.860654471512275
009_Lindsay_3,-0.5191912441067505,-0.37968116684245046,-0.009238053828526058,-0.5786530523635542,-0.03185628542615692,0.1747311612807242,-2.7625998182430513,0.2562983581918411,-0.8407927238169551,-0.6126606528915056,-0.8365476388001782,-2.301735828236856,-2.2355623177066586,-1.9962222011070716,-2.491205271472803,-2.7408587891378393,-2.3547249385563265,-2.2298443316607455,-1.7022998056396517,-2.1253292462497577,-2.6532740631395195,-2.2835549332483196,-1.790911293584132,-2.303926834089652,-1.5646632454573473,-2.1312914400769016,-0.6981995894011127,-0.6933847463467432,-0.7197472869514148,-0.42849727451036274,-0.8748240353195701,0.21863705273143458,-0.6729780036743415,-0.5124116333101058,-1.6181821975599329,0.37046716034088123,0.1742733588347752,-0.08022760911129627,0.15106902893434587,0.15582900980231548,0.2237961675381452,0.6874290965412654,0.1552358556931906,-0.2688556835408615,-0.05020215201092657,-0.21887262252948883,-0.7865830972544141,-0.4706034865619253,-0.43175633014587883,-0.2269768177815861,-0.5183453508336613,-0.9329829795284531,-1.4174869187463803,-2.2225556577149255,-2.7075472804419563,-2.778848883184612,-2.713827480753166,-2.5809641460140678,-2.172520491641525,-2.0372493717322344,-2.42806057662951,-2.3467585826145907,-1.9519147889215287,-2.3584950812653007,-2.7558375128466985,-2.313548477015068,-2.1736042963655713,-1.8896322485454626,-2.334498283167968,-1.6700684477672894,-0.0960909816997275,-1.2682375609532857,-1.0406192755491677,-0.5762976710597991,0.4422565849509097,-0.131802603765021
010_Talich_3,0.6511168881010856,0.03755088463276547,-0.3572485200196014,-0.3358639727738986,-0.6017055855739134,0.17473116128071386,0.4684147166954591,0.13953915602636704,-0.6466801651971936,-0.9092105598043211,0.0727432729391476,0.26485953552092667,1.901287224165345,1.3078016989466357,1.1856417459143966,1.003704839705667,1.4880858791765155,1.456847407569419,1.3847723807535186,0.3538103920307734,0.023449880741635627,0.842897529283617,0.7345496186802375,0.09897350261853274,-0.425427054789229,-1.1005642120223926,-0.3092130745857061,-0.20111784901211036,-0.4111323254111347,-0.2488329430712705,-0.6208267454913111,0.4786612632863683,0.12131175221919971,-0.32423119146175255,0.14461174387544928,0.12548889270509836,-0.6486841689960543,-0.6933092934040254,-1.2090401706500384,-1.14486575920365,-0.8994940533100255,-2.394793754798498,1.4268350844490896,-0.5463096659981133,0.6614376018683928,0.5311732691615941,0.10647287127278669,-0.030295339179580168,-0.7112903262229106,-0.5509902001609458,-0.3578636348501058,-0.6588643356629605,-0.12483235575466756,-0.022099232829042137,-0.6708281290777441,0.3026285302342221,0.7092942670464417,0.17948638586364643,1.1849352229141614,2.434531827772424,0.9892956738748222,1.4479585737205878,2.132431962593557,0.7593496251758094,1.4736384761748884,1.2486412363792443,1.4263670091638248,0.8364407931118447,0.8847744995201791,0.3918061180863668,0.2921199210399088,0.6230973018719109,1.228170437624579,-0.30878548953339924,-0.3739887899584663,0.10355918867251805
011_Talich_3,-0.8383661892543421,-0.796913218317671,-0.5892554974803028,-0.45725851256873185,-0.7916553522898377,-0.7560712597628635,0.16550710404496255,-0.21073845047007586,-1.0364957299408577,-0.48432961116425743,-0.7538848286420591,-0.20754691496409164,0.11697024816634455,1.0119189616283812,0.45027234243696473,1.168906176272279,0.6404070223236904,0.6189629213807336,1.5501512478817296,0.398258933743175,0.5564017157785525,0.4328709768204206,1.0316626671819447,0.6736568804276336,-0.2751758845173787,-0.6761471181175795,-1.7315897632041433,-1.630015101834669,-1.1312339023385036,-1.1471546002668593,-0.8025342784239962,-0.4343838350136738,0.6101054481536665,-0.35111411172580026,-0.019369087886004645,0.0029997588871851725,-0.40663783728112063,-0.5446834305451611,-0.6989992208058642,-0.9666885473559332,-0.22868001445614047,-0.7135812904314508,-1.2141786983513885,0.37853694219263834,-0.10950546483423128,-0.16117678470706628,-0.13167538700111941,-1.0367139617680785,-1.2004748193577655,-1.1342142884438486,-1.481235646735336,-1.4263965384863087,-1.183267642065577,-1.2432146590014241,-0.44983787033439776,-0.40190508762576904,-0.6271742952159265,-0.0395022683992397,-0.031911867861998,-0.6721793213571494,-0.748343097568032,0.24629814088105606,0.4206044113842798,0.9548035716437461,0.36061847906391536,0.6393193117197162,0.3074570087965745,1.87730504538107,0.5920386903384243,0.032097134854564634,-0.7997232429153485,-0.8573587448193463,0.2933520815230831,-0.232353437668667,-0.4481929149502277,0.019501405659092474
