,measure1,measure2,measure3,measure4,measure5,measure6,measure7,measure8,measure9,measure10,measure11,measure12,measure13,measure14,measure15,measure16,measure17,measure18,measure19,measure20,measure21,measure22,measure23,measure24,measure25,measure26,measure27,measure28,measure29,measure30,measure31,measure32,measure33,measure34,measure35,measure36,measure37,measure38,measure39,measure40,measure41,measure42,measure43,measure44,measure45,measure46,measure47,measure48,measure49,measure50,measure51,measure52,measure53,measure54,measure55,measure56,measure57,measure58,measure59,measure60,measure61,measure62,measure63,measure64,measure65,measure66,measure67,measure68,measure69,measure70,measure71,measure72,measure73,measure74,measure75,measure76
023_Smetana_3,2.56644,2.7041720000000002,2.667892,2.581631999999999,2.768708,2.792471000000001,2.7613160000000008,2.6663940000000004,3.69932,2.949296999999998,2.641632999999999,3.6122900000000016,3.7320630000000037,3.7580499999999972,3.5339230000000015,3.8580499999999986,3.865305999999997,3.890204000000004,3.530749,3.754148999999991,3.657506000000012,3.806032000000002,3.9710199999999958,3.749116000000001,4.244444000000001,2.3804540000000003,2.770520999999988,2.407030000000006,2.493378000000007,2.636417999999992,3.868026999999998,4.39818600000001,4.081813999999994,4.644671000000002,3.251383000000004,3.1740589999999997,3.1849889999999874,3.277279000000007,2.9142849999999925,2.825624000000005,2.7511110000000087,3.0183669999999836,2.932018999999997,2.8391380000000197,2.9680270000000064,2.9196369999999945,3.55165599999998,2.7557820000000106,2.8741500000000144,2.7948299999999904,2.4321079999999995,2.9455329999999833,3.2411340000000166,3.466304000000008,4.480090999999987,4.158004000000005,3.942721000000006,4.0884360000000015,4.012334999999979,4.116916000000003,3.6185940000000016,3.6577330000000075,3.5274829999999895,4.1059860000000015,3.906349000000006,3.848253999999997,3.761269999999996,3.5521090000000015,3.945442000000014,4.881360999999998,4.070930000000004,4.022946999999988,3.887755999999996,4.006122000000005,4.233695999999981,4.7091159999999945
024_Prazak_3,2.36644,2.584172,2.5278919999999996,2.5616320000000012,2.5887079999999987,2.5924709999999997,2.4813159999999996,2.8492510000000024,3.3364629999999984,3.0292969999999997,2.701633000000001,4.072290000000002,3.5320629999999937,3.7580500000000043,3.5139229999999984,3.95805,4.0253060000000005,3.890203999999997,3.9107490000000027,3.994149,3.897506000000007,4.386032,3.9010879999999872,3.8990480000000076,4.704443999999995,2.820453999999998,2.990521000000001,2.3670299999999997,2.533377999999999,2.3164179999999988,5.148027000000013,4.118185999999994,4.061813999999998,4.964670999999996,2.8913830000000047,3.0940590000000014,3.2049889999999976,3.677279000000013,2.6542849999999873,2.7656240000000025,2.591111000000012,2.7183669999999722,2.8120190000000207,3.019137999999998,3.0080269999999985,3.1396369999999933,4.211656000000005,2.915782000000007,2.7741499999999917,2.558367000000004,2.368571000000003,2.9455329999999833,2.9211340000000234,3.4263039999999876,4.420090999999985,4.338004000000012,4.1027210000000025,4.168435999999986,3.8123350000000187,3.816915999999992,3.958594000000005,4.057732999999985,3.9474830000000054,4.245986000000016,4.1463489999999865,4.048254000000014,4.301269999999988,3.612109000000004,3.985442000000006,4.90136099999998,5.690930000000009,4.433967999999993,4.5367350000000215,4.386122,6.133695999999986,5.8691160000000195
025_Wihan_3,2.6664399999999997,2.6841720000000002,2.6478920000000006,2.581631999999999,2.7887079999999997,2.812471000000002,2.901315999999998,2.7863940000000014,3.5993199999999987,3.1692970000000003,2.8816330000000008,4.432290000000002,3.9720629999999986,4.498049999999999,3.9939230000000023,4.658049999999996,4.665306000000001,4.570204000000004,3.990748999999994,4.8141490000000005,4.417506000000003,4.406031999999996,4.711020000000005,4.2091159999999945,5.704444000000009,2.86045399999999,3.3305210000000045,2.647030000000001,2.753377999999998,2.896417999999997,4.94802700000001,4.278185999999991,4.281813999999997,5.344671000000005,3.0713829999999973,3.414059000000009,3.304989000000006,4.117278999999996,2.9342849999999885,2.825624000000005,3.03111100000001,2.9383669999999995,2.932018999999997,2.8591380000000015,3.3680269999999837,3.6196370000000115,5.1716559999999845,2.895781999999997,2.9341500000000167,2.8948299999999847,2.5721080000000143,3.12553299999999,2.9811339999999973,3.466304000000008,5.020091000000008,4.9380040000000065,4.802720999999991,4.6284359999999936,4.472335000000015,4.816915999999992,4.57859400000001,4.6977329999999995,4.047483,4.845985999999982,4.906349000000006,5.008253999999994,4.681269999999984,4.832109000000003,5.305442000000028,5.961361000000011,6.0909299999999575,5.243492000000003,4.667211000000009,5.306122000000016,5.6936959999999885,4.809116000000017
026_Czech_3,2.8264400000000007,2.904172,2.7878920000000003,2.6848069999999993,3.005533,2.7724709999999995,2.801316,2.8263940000000005,3.919319999999999,3.4092970000000022,2.8216329999999985,5.052289999999999,3.9120630000000034,4.758049999999997,4.313923000000003,4.438049999999997,4.2853059999999985,4.330204000000002,4.250748999999999,5.234149000000002,4.557506000000004,4.806032000000002,4.95102,4.809115999999989,7.924444000000008,2.9604539999999986,3.7705210000000022,2.8670299999999997,2.9133779999999945,3.1964180000000084,5.648026999999999,5.118185999999994,4.541813999999988,7.564671000000004,3.9913830000000132,3.774058999999994,4.684989000000002,8.777278999999993,3.514285000000001,3.0256239999999934,2.991111000000018,3.0183669999999836,3.212018999999998,3.5191380000000265,3.469659999999976,3.4380040000000065,4.531655999999998,3.2557820000000106,3.1374150000000043,3.171564999999987,2.9721079999999915,4.4255330000000015,4.101134000000002,4.326349000000022,5.140045999999984,5.27800400000001,4.542721,4.228435999999988,4.272334999999998,4.3969160000000045,4.3785939999999925,4.68870800000002,4.0803630000000055,4.68213099999997,4.1463489999999865,4.44825400000002,4.14127000000002,4.4321089999999685,5.2454420000000255,5.341361000000006,4.630929999999978,4.943491999999992,4.667211000000009,5.3661220000000185,7.573695999999984,8.669116000000031
027_Skampa_3,2.26644,2.3441720000000004,2.387892,2.3216319999999993,2.4287080000000003,2.4324709999999996,2.4013159999999996,2.7863940000000014,3.5993199999999987,3.2292970000000025,2.5416329999999974,4.092289999999998,3.832063000000005,4.178049999999999,3.8539230000000018,3.898049999999998,3.665306000000001,3.7502039999999965,3.6707490000000007,3.894149000000006,3.637506000000002,3.646031999999991,3.6510200000000026,3.569115999999994,4.464444,2.8804540000000003,3.23052100000001,2.285396999999989,2.415011000000007,2.5564179999999936,5.028027000000009,3.5781860000000023,3.3618139999999954,4.404670999999993,3.3113830000000064,3.1740589999999997,3.2249889999999937,3.47727900000001,2.5942849999999993,2.5256239999999934,2.4911109999999894,2.5783670000000143,2.492018999999999,2.499137999999988,2.6680270000000235,2.539636999999999,3.271655999999979,2.5357820000000117,2.4141500000000065,2.5748299999999915,2.292108000000013,3.165532999999982,3.101134000000002,3.466304000000008,4.600090999999992,3.858003999999994,4.202720999999997,4.288436000000019,3.3323350000000005,4.136915999999985,3.898594000000003,3.9777330000000006,3.6274830000000122,4.225986000000006,3.8663489999999854,3.848253999999997,3.941270000000003,3.4342860000000144,3.9832649999999887,4.621361000000007,5.870929999999987,4.662947000000003,4.227755999999999,4.146121999999991,4.593696000000023,8.58911599999999
